ID_Review,aspect,original_label,v3_label,Platform,Nama_Hotel,Review_Date,Text_Review,original_reason,v3_reason
149,Kenyamanan,netral,none,Agoda,Hotel Santika Bandung,12/30/2023,hotel ini memiliki lokasi yang bagus. ada supermarket di seberang hotel dan ada banyak jajanan pinggir jalan di dekat hotel. bangunan hotel merupakan bangunan tua namun memiliki perawatan yang baik sehingga bangunan hotel masih bagus dan bersih.,bangunan hotel merupakan bangunan tua namun memiliki perawatan yang baik sehingga,
330,Kenyamanan,netral,positif,Agoda,Hotel Santika Bandung,12/13/2013,"ini mungkin salah satu hotel bernilai terbaik di bandung. terletak di pusat kota, kamar dan layanan bagus. kamar standar tapi bersih dan luas, dapatkan lantai tinggi untuk pemandangan lebih baik.","kamar standar tapi bersih dan luas, dapatkan lantai tinggi untuk pemandangan lebih baik.","kamar standar tapi bersih dan luas, dapatkan lantai tinggi untuk pemandangan lebih baik."
750,Kenyamanan,none,negatif,Agoda,Hotel Santika Bogor,6/12/2025,"perdana stay, pasca drop off di lobby, effortnya susah cari parkir, untungnya ada akses dari dalam mall ke dalam hotel. request connecting room, hanya dapat 1 aksesdoor masing², jadi repot kalau mau naik lantai izin staf bantu tap lift. minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang. plusnya ada hiburan smarttv dan wi-fi superngebut. breakfastnya b aja, wafflenya rasa adonan pukis, dan roti tawar terlihat kurang fresh, tapi westernfoodnya lumayan enak. pelayanan staf fo kurang senyum, dan jangan lupa bawa struk parkir untuk stamp free parking.",,"minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang."
1184,Kenyamanan,none,positif,Agoda,Hotel Santika Bogor,3/14/2012,ruangan itu bersih dan nyaman. kualitas makannya tidak bagus untuk makan malam tapi cukup bagus untuk sarapan. layanan binatu buruk - setrika perlu ditingkatkan.,,ruangan itu bersih dan nyaman.
1200,Kenyamanan,netral,negatif,Agoda,Hotel Santika Bogor,1/9/2012,"santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi. sarapannya baik, orangnya baik tapi terlalu ramai jadi ketika saya minta piring, mereka memberi saya piring kotor dengan saus di dasar piring. tempat parkir sangat ramai, tidak ada ruang untuk tamu karena ini adalah tempat yang sama untuk mal.","terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang","santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi."
1385,Kenyamanan,none,positif,Agoda,Hotel Santika Bogor,4/12/2024,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu"
1754,Kenyamanan,none,positif,Agoda,Hotel Santika Cirebon,6/20/2025,"kenyamanan kamar dan kolam renang menjadi nilai jual terbesarnya. tapi untuk sarapannya terasa agak kurang. butuh lebih banyak protein. dan ya, tidak ada smart televisi juga. tapi saya sangat senang ada tukang cuci mobil yang membersihkan mobil kami setiap pagi. tapi mungkin mereka memerlukan pelatihan? hanya untuk tetap profesional.",,kenyamanan kamar dan kolam renang menjadi nilai jual terbesarnya.
2080,Kenyamanan,netral,negatif,Agoda,Hotel Santika Cirebon,12/30/2022,"hotel tua yang menempati lahan luas dan lokasi yang strategis. seharusnya bisa mempertahankan ""keklasikan"" hotel santika yang sudah terkenal. sayangnya tidak bisa menjaga itu. sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor. semoga segera diperbaiki ya",hotel tua yang menempati lahan luas dan lokasi yang strategis.,"sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor."
2287,Kenyamanan,none,positif,Agoda,Hotel Santika Cirebon,1/5/2015,"sangat menyenangkan dan terjaga privacy, sehingga kami dapat dengan leluasa menikmati fasilitas hotel yang disediakan.",,"sangat menyenangkan dan terjaga privacy, sehingga kami dapat dengan leluasa menikmati fasilitas hotel yang disediakan."
2293,Kenyamanan,none,positif,Agoda,Hotel Santika Cirebon,10/19/2014,"cek in dan cek out cepat dan mudah, kamar pun luas dan bersih",,"cek in dan cek out cepat dan mudah, kamar pun luas dan bersih"
