aspect,label,original_count,v3_count,delta,original_pct,v3_pct
Kenyamanan,positif,3885,3909,24,0.263443,0.265071
Kenyamanan,negatif,1574,1579,5,0.106734,0.107073
Kenyamanan,netral,260,252,-8,0.017631,0.017088
Kenyamanan,none,9028,9007,-21,0.612192,0.610768
Kebersihan,positif,3469,3480,11,0.235234,0.23598
Kebersihan,negatif,588,591,3,0.039873,0.040076
Kebersihan,netral,73,70,-3,0.00495,0.004747
Kebersihan,none,10617,10606,-11,0.719943,0.719197
Pelayanan,positif,4945,4955,10,0.335322,0.336001
Pelayanan,negatif,847,844,-3,0.057435,0.057232
Pelayanan,netral,367,360,-7,0.024886,0.024412
Pelayanan,none,8588,8588,0,0.582356,0.582356
Harga,positif,609,616,7,0.041297,0.041771
Harga,negatif,239,241,2,0.016207,0.016342
Harga,netral,142,138,-4,0.009629,0.009358
Harga,none,13757,13752,-5,0.932868,0.932529
Lokasi,positif,4079,4088,9,0.276599,0.277209
Lokasi,negatif,257,258,1,0.017427,0.017495
Lokasi,netral,186,183,-3,0.012613,0.012409
Lokasi,none,10225,10218,-7,0.693361,0.692887
Fasilitas,positif,1401,1418,17,0.095002,0.096155
Fasilitas,negatif,1505,1514,9,0.102055,0.102665
Fasilitas,netral,568,554,-14,0.038516,0.037567
Fasilitas,none,11273,11261,-12,0.764427,0.763613
Makanan,positif,3773,3780,7,0.255849,0.256323
Makanan,negatif,890,894,4,0.060351,0.060622
Makanan,netral,567,558,-9,0.038448,0.037838
Makanan,none,9517,9515,-2,0.645352,0.645216
