aspect,original_label,v3_label,count,is_changed
Fasilitas,netral,positif,11,True
Fasilitas,none,positif,9,True
Fasilitas,none,negatif,9,True
Fasilitas,positif,none,4,True
Fasilitas,netral,negatif,3,True
Fasilitas,negatif,positif,2,True
Fasilitas,negatif,none,2,True
Fasilitas,positif,negatif,1,True
Harga,none,positif,4,True
Harga,netral,positif,3,True
Harga,none,negatif,2,True
Harga,positif,none,1,True
Harga,negatif,positif,1,True
Harga,netral,negatif,1,True
Kebersihan,none,positif,10,True
Kebersihan,none,negatif,3,True
Kebersihan,netral,positif,2,True
Kebersihan,positif,none,1,True
Kebersihan,negatif,none,1,True
Kebersihan,netral,negatif,1,True
Kenyamanan,none,positif,27,True
Kenyamanan,positif,none,8,True
Kenyamanan,netral,positif,5,True
Kenyamanan,none,negatif,5,True
Kenyamanan,negatif,none,2,True
Kenyamanan,netral,negatif,2,True
Kenyamanan,netral,none,1,True
Lokasi,none,positif,6,True
Lokasi,netral,positif,3,True
Lokasi,none,negatif,1,True
Makanan,none,positif,7,True
Makanan,netral,positif,5,True
Makanan,positif,none,3,True
Makanan,netral,negatif,3,True
Makanan,positif,negatif,2,True
Makanan,negatif,none,1,True
Makanan,netral,none,1,True
Pelayanan,none,positif,9,True
Pelayanan,positif,none,5,True
Pelayanan,negatif,none,5,True
Pelayanan,netral,positif,5,True
Pelayanan,netral,negatif,2,True
Pelayanan,negatif,positif,1,True
Pelayanan,none,negatif,1,True
