aspect,original_label,v3_label,count,is_changed
Kenyamanan,positif,positif,3877,False
Kenyamanan,positif,none,8,True
Kenyamanan,negatif,negatif,1572,False
Kenyamanan,negatif,none,2,True
Kenyamanan,netral,positif,5,True
Kenyamanan,netral,negatif,2,True
Kenyamanan,netral,netral,252,False
Kenyamanan,netral,none,1,True
Kenyamanan,none,positif,27,True
Kenyamanan,none,negatif,5,True
Kenyamanan,none,none,8996,False
Kebersihan,positif,positif,3468,False
Kebersihan,positif,none,1,True
Kebersihan,negatif,negatif,587,False
Kebersihan,negatif,none,1,True
Kebersihan,netral,positif,2,True
Kebersihan,netral,negatif,1,True
Kebersihan,netral,netral,70,False
Kebersihan,none,positif,10,True
Kebersihan,none,negatif,3,True
Kebersihan,none,none,10604,False
Pelayanan,positif,positif,4940,False
Pelayanan,positif,none,5,True
Pelayanan,negatif,positif,1,True
Pelayanan,negatif,negatif,841,False
Pelayanan,negatif,none,5,True
Pelayanan,netral,positif,5,True
Pelayanan,netral,negatif,2,True
Pelayanan,netral,netral,360,False
Pelayanan,none,positif,9,True
Pelayanan,none,negatif,1,True
Pelayanan,none,none,8578,False
Harga,positif,positif,608,False
Harga,positif,none,1,True
Harga,negatif,positif,1,True
Harga,negatif,negatif,238,False
Harga,netral,positif,3,True
Harga,netral,negatif,1,True
Harga,netral,netral,138,False
Harga,none,positif,4,True
Harga,none,negatif,2,True
Harga,none,none,13751,False
Lokasi,positif,positif,4079,False
Lokasi,negatif,negatif,257,False
Lokasi,netral,positif,3,True
Lokasi,netral,netral,183,False
Lokasi,none,positif,6,True
Lokasi,none,negatif,1,True
Lokasi,none,none,10218,False
Fasilitas,positif,positif,1396,False
Fasilitas,positif,negatif,1,True
Fasilitas,positif,none,4,True
Fasilitas,negatif,positif,2,True
Fasilitas,negatif,negatif,1501,False
Fasilitas,negatif,none,2,True
Fasilitas,netral,positif,11,True
Fasilitas,netral,negatif,3,True
Fasilitas,netral,netral,554,False
Fasilitas,none,positif,9,True
Fasilitas,none,negatif,9,True
Fasilitas,none,none,11255,False
Makanan,positif,positif,3768,False
Makanan,positif,negatif,2,True
Makanan,positif,none,3,True
Makanan,negatif,negatif,889,False
Makanan,negatif,none,1,True
Makanan,netral,positif,5,True
Makanan,netral,negatif,3,True
Makanan,netral,netral,558,False
Makanan,netral,none,1,True
Makanan,none,positif,7,True
Makanan,none,none,9510,False
