aspect,label,v2_before,v3_after,delta
Kenyamanan,positif,3889,3909,20
Kenyamanan,negatif,1577,1579,2
Kenyamanan,netral,260,252,-8
Kenyamanan,none,9021,9007,-14
Kebersihan,positif,3469,3480,11
Kebersihan,negatif,590,591,1
Kebersihan,netral,73,70,-3
Kebersihan,none,10615,10606,-9
Pelayanan,positif,4946,4955,9
Pelayanan,negatif,847,844,-3
Pelayanan,netral,367,360,-7
Pelayanan,none,8587,8588,1
Harga,positif,611,616,5
Harga,negatif,240,241,1
Harga,netral,142,138,-4
Harga,none,13754,13752,-2
Lokasi,positif,4079,4088,9
Lokasi,negatif,258,258,0
Lokasi,netral,186,183,-3
Lokasi,none,10224,10218,-6
Fasilitas,positif,1404,1418,14
Fasilitas,negatif,1510,1514,4
Fasilitas,netral,568,554,-14
Fasilitas,none,11265,11261,-4
Makanan,positif,3776,3780,4
Makanan,negatif,890,894,4
Makanan,netral,567,558,-9
Makanan,none,9514,9515,1
