source,change_type,count
needs_manual_review_after_step_1_4,apply_missing_label_from_manual_review,68
needs_manual_review_after_step_1_4,change_neutral_sentiment_after_manual_review,30
needs_manual_review_after_step_1_4,clear_reason_wrong_aspect,24
needs_manual_review_after_step_1_4,clear_false_positive_label,22
needs_manual_review_after_step_1_4,change_sentiment_after_manual_review,17
needs_manual_review_after_step_1_4,clear_aspect_no_sufficient_evidence,12
needs_manual_review_after_step_1_4,resolve_sentiment_by_text_evidence,8
needs_manual_review_after_step_1_4,adjust_or_keep_label_with_evidence,1
needs_manual_review_after_step_1_4,clear_label_without_evidence,1
needs_manual_review_after_step_1_4,keep_label_add_reason,1
