ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan
1,Agoda,Hotel Santika Bandung,5/17/2026,"saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.",,positif,positif,,,,positif,,mereka menjaga kebersihan yang baik,keramahtamahan yang baik dari staf,,,,makanan sarapan yang enak
2,Agoda,Hotel Santika Bandung,5/11/2026,"bisa jalan kaki langsung ke bip, karena lokasinya strategis 9/10. sarapannya 7/10. kamarnya sangat luas dan nyaman 8/10. sayangnya parkirnya relatif kecil 6/10.",positif,,,,positif,negatif,positif,kamarnya sangat luas dan nyaman,,,,lokasinya strategis,parkirnya relatif kecil,sarapannya 7/10
3,Agoda,Hotel Santika Bandung,5/5/2026,"lokasinya strategis di pusat kota. makanan saat sarapan enak dan beragam. namun air conditioner di kamar agak lambat, mungkin sudah tua. perlu diperbaharui. secara keseluruhan saya senang tinggal di sini.",negatif,,,,positif,,positif,air conditioner di kamar agak lambat mungkin sudah tua,,,,lokasinya strategis di pusat kota,,makanan saat sarapan enak dan beragam
4,Agoda,Hotel Santika Bandung,3/31/2026,"hotel ini agak ketinggalan jaman. stafnya ramah. hotel ini terletak di pusat kota, dekat dengan mall dan tempat wisata lainnya, dengan banyak toko dan kafe/restoran yang bagus di dekat hotel.",negatif,,positif,,positif,,,hotel ini agak ketinggalan jaman,,stafnya ramah,,terletak di pusat kota dekat dengan mall dan tempat wisata lainnya,,
5,Agoda,Hotel Santika Bandung,3/26/2026,"pengalaman menginap yang sangat berkesan, proses check-in lancar, dan saya mendapatkan kamar sesuai permintaan saya saat memesan. terima kasih hotel santika riau bandung telah memenuhi permintaan saya.",,,positif,,,,,,,proses check-in lancar dan saya mendapatkan kamar sesuai permintaan,,,,
6,Agoda,Hotel Santika Bandung,3/25/2026,"berlokasi strategis di jantung kota bandung, dekat dengan destinasi belanja dan bersantap; nyaman dan ramah keluarga",positif,,,,positif,,,destinasi belanja dan bersantap; nyaman dan ramah keluarga,,,,berlokasi strategis di jantung kota bandung dekat dengan destinasi belanja,,
7,Agoda,Hotel Santika Bandung,3/24/2026,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,positif,negatif,positif,,,,,suasana kamar bersih dan menyenangkan.,ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar,staf yang sangat ramah,,,,
8,Agoda,Hotel Santika Bandung,3/20/2026,"trims kemaren dapat kasur per lebih kokoh tidak tidur miring lagi, atau mungkin beda kamar? breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso juga, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel televisi diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk",negatif,,positif,positif,,negatif,positif,jendela tolong dirapatkan baut kendor suara jalan terlalu masuk,,semua staf ramah,harga kmren dapat wajar,,chanel televisi diperbanyak atau bisa netflik/youtube,breakfast enak tidak keasinan atau over bumbu
9,Agoda,Hotel Santika Bandung,3/17/2026,"dari luar mungkin terlihat tua, namun kamarnya sangat bersih dan nyaman. lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki, karena lalu lintas bandung dikelilingi oleh supermarket, kafe, foodcourt dan toko. aku menyukainya",positif,positif,,,positif,,,kamarnya sangat bersih dan nyaman,kamarnya sangat bersih,,,lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki,,
10,Agoda,Hotel Santika Bandung,3/2/2026,"lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.",,,,,positif,,,,,,,lokasinya berada di antara bip dan yogya riau junction. strategis banget,,
11,Agoda,Hotel Santika Bandung,2/21/2026,"hotel klasik, tenang, estetis, dan layanan pelanggan yang luar biasa.",positif,,positif,,,,,hotel klasik tenang estetis,,layanan pelanggan yang luar biasa,,,,
12,Agoda,Hotel Santika Bandung,2/17/2026,"datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. terimakasih santika.",,,positif,,,,positif,,,doorman yang langsung menyambut dan membukakan pintu hotel,,,,2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan
13,Agoda,Hotel Santika Bandung,2/4/2026,lokasi bagus dan tempat menginap yang bagus di bandung,,,,,positif,,,,,,,lokasi bagus,,
14,Agoda,Hotel Santika Bandung,1/29/2026,masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. staf dan layanan yang ramah dan baik. lokasi strategis.,,,positif,,positif,,,,,staf dan layanan yang ramah dan baik,,lokasi strategis,,
15,Agoda,Hotel Santika Bandung,1/26/2026,saya suka santika bandung. kenangan indah bersama keluarga tercinta. saya pernah ke sana bersama mendiang papa mama tercinta.,,,,,,,,,,,,,,
16,Agoda,Hotel Santika Bandung,1/15/2026,"semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tapi staf semua ramah bintang 5",,,positif,,,,negatif,,,staf semua ramah bintang 5,,,,makanan perlu di tingkatkan sedikit secara taste
17,Agoda,Hotel Santika Bandung,12/28/2025,"saya tidak tahu apa yang bisa saya katakan, semuanya sempurna",,,,,,,,,,,,,,
18,Agoda,Hotel Santika Bandung,12/20/2025,hebat: dekat tempat dan resto populer di kota bandung,,,,,positif,,,,,,,dekat tempat dan resto populer di kota bandung,,
19,Agoda,Hotel Santika Bandung,12/15/2025,lokasi bijaksana adalah sarapan terbaik dan lezat,,,,,,,positif,,,,,,,sarapan terbaik dan lezat
20,Agoda,Hotel Santika Bandung,12/10/2025,"pengalaman menginap yang menyenangkan, dengan fasilitas hotel yang memadai, lokasi strategis di pusat kota, dan harga terjangkau.",,,,positif,positif,positif,,,,,harga terjangkau,lokasi strategis di pusat kota,fasilitas hotel yang memadai,
21,Agoda,Hotel Santika Bandung,11/29/2025,"hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.",,,positif,positif,positif,,,,,keramahan yang baik,rate cukup bagus juga harganya,lokasi strategis,,
22,Agoda,Hotel Santika Bandung,11/22/2025,"rekomendasi hotel untuk liburan atau bisnis di bandung, saya selalu menginap di hotel santika karena lokasinya yang strategis, fasilitasnya lengkap, terutama sarapannya yang enak dan bervariasi.",,,,,positif,positif,positif,,,,,lokasinya yang strategis,fasilitasnya lengkap,sarapannya yang enak dan bervariasi
