issue,ID_Review,aspect,label,reason,Platform,Nama_Hotel,Review_Date,Text_Review
label_without_reason_remaining,13024,Fasilitas,negatif,,Traveloka,Hotel Santika Mega City Bekasi,2/14/2018,harga terbaik tapi perlu menambahkan lebih banyak saluran televisi
reason_without_label_remaining,13024,Makanan,none,perlu menambahkan lebih banyak saluran televisi,Traveloka,Hotel Santika Mega City Bekasi,2/14/2018,harga terbaik tapi perlu menambahkan lebih banyak saluran televisi
reason_without_label_remaining,13059,Harga,none,pelayanan baik banget,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,pelayanan dan fasilitasnya baik banget.
reason_without_label_remaining,13059,Makanan,none,fasilitasnya baik banget,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,pelayanan dan fasilitasnya baik banget.
reason_without_label_remaining,13196,Harga,none,layanan yang baik,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,fasilitas dan layanan yang baik
reason_without_label_remaining,13196,Makanan,none,fasilitas yang baik,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,fasilitas dan layanan yang baik
reason_without_label_remaining,13225,Lokasi,none,harga murah,Traveloka,Hotel Santika Mega City Bekasi,8/30/2017,harga murah tapi pelayanan tidak murahan
reason_without_label_remaining,13434,Harga,none,pelayanannya baik,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,pelayanannya baik fasilitas hotelnya juga mantab
reason_without_label_remaining,13434,Makanan,none,fasilitas hotelnya juga mantab,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,pelayanannya baik fasilitas hotelnya juga mantab
reason_without_label_remaining,13455,Harga,none,pelayanan baik,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,fasilitas bagus. pelayanan baik.
reason_without_label_remaining,13455,Makanan,none,fasilitas bagus,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,fasilitas bagus. pelayanan baik.
reason_without_label_remaining,13469,Harga,none,pelayanan yang ramah,Traveloka,Hotel Santika Mega City Bekasi,3/1/2017,"pelayanan yang ramah, makanannya enak"
reason_without_label_remaining,13659,Harga,none,pelayanannya sangat ramah,Traveloka,Hotel Santika Tasikmalaya,12/31/2025,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
reason_without_label_remaining,13664,Harga,none,pelayanan ramah,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,semua fasilitas mantul pelayanan ramah
reason_without_label_remaining,13664,Makanan,none,semua fasilitas mantul,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,semua fasilitas mantul pelayanan ramah
reason_without_label_remaining,13728,Harga,none,staf ramah,Traveloka,Hotel Santika Tasikmalaya,12/18/2024,"hotel terfavorit, makanan banyak variasi, staf ramah"
reason_without_label_remaining,13803,Fasilitas,none,sarapan pagi menemukan rambut,Traveloka,Hotel Santika Tasikmalaya,6/8/2022,"kamar kurang bersih, sarapan pagi menemukan rambut."
reason_without_label_remaining,13901,Harga,none,pelayanan memuaskan,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,fasilitas lengkap pelayanan memuaskan.
reason_without_label_remaining,13901,Makanan,none,fasilitas lengkap,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,fasilitas lengkap pelayanan memuaskan.
reason_without_label_remaining,14155,Pelayanan,none,bersih,Traveloka,Hotel Santika Tasikmalaya,9/26/2018,"bahagia, bersih, baik, cantik."
reason_without_label_remaining,14215,Pelayanan,none,bersih,Traveloka,Hotel Santika Tasikmalaya,6/13/2018,"bagus, bagus, bersih, terawat."
reason_without_label_remaining,14220,Harga,none,pesan yang king dikasih kamar yang standard,Traveloka,Hotel Santika Tasikmalaya,5/30/2018,hotelnya bagus. bersih juga. pelayanan baik. tapi pesan yang king dikasih kamar yang standard.
label_without_reason_remaining,14283,Kenyamanan,positif,,Traveloka,Hotel Santika Tasikmalaya,11/15/2017,"pelayanan yang ramah, menu sarapan sangat beragam, check in dan check out dengan proses yang mudah dan cepat. shower besar."
reason_without_label_remaining,14364,Harga,none,pelayanan cukup memuaskan,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,pelayanan dan fasilitas cukup memuaskan
reason_without_label_remaining,14364,Makanan,none,fasilitas cukup memuaskan,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,pelayanan dan fasilitas cukup memuaskan
reason_without_label_remaining,14676,Pelayanan,none,bersih,Traveloka,Hotel Santika Tasikmalaya,8/26/2015,hotel ini bersih dan menarik tempatnya.
