aspect,audit_decision,count
Fasilitas,needs_manual_review,57
Fasilitas,apply_reason_only,13
Fasilitas,apply_label_and_reason,8
Fasilitas,no_dataset_change,3
Harga,needs_manual_review,24
Harga,apply_label_and_reason,3
Harga,no_dataset_change,2
Kebersihan,needs_manual_review,18
Kebersihan,apply_label_and_reason,2
Kebersihan,no_dataset_change,2
Kebersihan,apply_reason_only,1
Kenyamanan,needs_manual_review,54
Kenyamanan,apply_reason_only,19
Kenyamanan,apply_label_and_reason,5
Kenyamanan,no_dataset_change,5
Kenyamanan,apply_label_keep_or_add_reason,2
Lokasi,needs_manual_review,15
Lokasi,apply_label_and_reason,1
Lokasi,apply_reason_only,1
Lokasi,no_dataset_change,1
Makanan,needs_manual_review,45
Makanan,apply_reason_only,14
Makanan,apply_label_and_reason,3
Makanan,no_dataset_change,1
Pelayanan,needs_manual_review,42
Pelayanan,apply_reason_only,13
Pelayanan,no_dataset_change,8
Pelayanan,apply_label_and_reason,1
