aspect,true_label,pred_none,pred_positif,pred_negatif,pred_netral
Lokasi,none,822,31,3,0
Lokasi,positif,13,387,2,6
Lokasi,negatif,4,1,21,0
Lokasi,netral,0,8,0,11
Kenyamanan,none,652,59,20,6
Kenyamanan,positif,29,338,10,12
Kenyamanan,negatif,13,5,134,5
Kenyamanan,netral,3,3,12,8
Pelayanan,none,664,20,8,0
Pelayanan,positif,12,468,6,9
Pelayanan,negatif,8,3,67,7
Pelayanan,netral,4,16,6,11
Kebersihan,none,864,13,18,1
Kebersihan,positif,6,336,4,1
Kebersihan,negatif,5,1,48,5
Kebersihan,netral,3,0,3,1
Harga,none,1189,13,5,3
Harga,positif,6,51,1,3
Harga,negatif,2,1,19,2
Harga,netral,0,5,4,5
Makanan,none,763,10,6,6
Makanan,positif,3,356,5,14
Makanan,negatif,1,4,79,5
Makanan,netral,10,13,12,22
Fasilitas,none,903,17,29,12
Fasilitas,positif,6,114,5,15
Fasilitas,negatif,17,6,115,13
Fasilitas,netral,7,16,16,18
