aspect,error_type,count
Fasilitas,none -> negatif,29
Fasilitas,negatif -> none,17
Fasilitas,none -> positif,17
Fasilitas,netral -> negatif,16
Fasilitas,netral -> positif,16
Fasilitas,positif -> netral,15
Fasilitas,negatif -> netral,13
Fasilitas,none -> netral,12
Fasilitas,netral -> none,7
Fasilitas,positif -> none,6
Fasilitas,negatif -> positif,6
Fasilitas,positif -> negatif,5
Harga,none -> positif,13
Harga,positif -> none,6
Harga,netral -> positif,5
Harga,none -> negatif,5
Harga,netral -> negatif,4
Harga,none -> netral,3
Harga,positif -> netral,3
Harga,negatif -> none,2
Harga,negatif -> netral,2
Harga,positif -> negatif,1
Harga,negatif -> positif,1
Kebersihan,none -> negatif,18
Kebersihan,none -> positif,13
Kebersihan,positif -> none,6
Kebersihan,negatif -> netral,5
Kebersihan,negatif -> none,5
Kebersihan,positif -> negatif,4
Kebersihan,netral -> negatif,3
Kebersihan,netral -> none,3
Kebersihan,negatif -> positif,1
Kebersihan,positif -> netral,1
Kebersihan,none -> netral,1
Kenyamanan,none -> positif,59
Kenyamanan,positif -> none,29
Kenyamanan,none -> negatif,20
Kenyamanan,negatif -> none,13
Kenyamanan,netral -> negatif,12
Kenyamanan,positif -> netral,12
Kenyamanan,positif -> negatif,10
Kenyamanan,none -> netral,6
Kenyamanan,negatif -> positif,5
Kenyamanan,negatif -> netral,5
Kenyamanan,netral -> none,3
Kenyamanan,netral -> positif,3
Lokasi,none -> positif,31
Lokasi,positif -> none,13
Lokasi,netral -> positif,8
Lokasi,positif -> netral,6
Lokasi,negatif -> none,4
Lokasi,none -> negatif,3
Lokasi,positif -> negatif,2
Lokasi,negatif -> positif,1
Makanan,positif -> netral,14
Makanan,netral -> positif,13
Makanan,netral -> negatif,12
Makanan,none -> positif,10
Makanan,netral -> none,10
Makanan,none -> netral,6
Makanan,none -> negatif,6
Makanan,positif -> negatif,5
Makanan,negatif -> netral,5
Makanan,negatif -> positif,4
Makanan,positif -> none,3
Makanan,negatif -> none,1
Pelayanan,none -> positif,20
Pelayanan,netral -> positif,16
Pelayanan,positif -> none,12
Pelayanan,positif -> netral,9
Pelayanan,negatif -> none,8
Pelayanan,none -> negatif,8
Pelayanan,negatif -> netral,7
Pelayanan,positif -> negatif,6
Pelayanan,netral -> negatif,6
Pelayanan,netral -> none,4
Pelayanan,negatif -> positif,3
