aspect,label,count,percentage
Lokasi,none,10225,0.6933613616328744
Lokasi,positif,4079,0.27659863022987724
Lokasi,negatif,257,0.01742727334373093
Lokasi,netral,186,0.012612734793517325
Kenyamanan,none,9028,0.6121923103004001
Kenyamanan,positif,3885,0.26344341221943446
Kenyamanan,negatif,1574,0.10673357293008748
Kenyamanan,netral,260,0.017630704550077984
Pelayanan,none,8588,0.5823557333694989
Pelayanan,positif,4945,0.33532243846206006
Pelayanan,negatif,847,0.05743541059198481
Pelayanan,netral,367,0.024886417576456227
Kebersihan,none,10617,0.7199430392622228
Kebersihan,positif,3469,0.2352342849393097
Kebersihan,negatif,588,0.03987251644402251
Kebersihan,netral,73,0.004950159354444972
Harga,none,13757,0.9328677019054723
Harga,positif,609,0.04129653488845189
Harga,negatif,239,0.016206686105648606
Harga,netral,142,0.009629077100427206
Makanan,none,9517,0.6453515969349698
Makanan,positif,3773,0.2558486471824778
Makanan,negatif,890,0.060351257882959246
Makanan,netral,567,0.038448497999593136
Fasilitas,none,11273,0.7644266630501119
Fasilitas,positif,1401,0.09500237336407405
Fasilitas,negatif,1505,0.10205465518410524
Fasilitas,netral,568,0.038516308401708825
