issue,aspect,ID_Review,Platform,Nama_Hotel,Review_Date,label,alasan,Text_Review
alasan_ada_tapi_label_none,Lokasi,13225,Traveloka,Hotel Santika Mega City Bekasi,8/30/2017,none,harga murah,harga murah tapi pelayanan tidak murahan
label_ada_tapi_alasan_kosong,Lokasi,12790,Traveloka,Hotel Santika Mega City Bekasi,10/3/2018,negatif,,"proses administrasi tidak susah, pukul 14. 00 check-in menerima kunci masuk kamar, kamar nyaman dan aman, karyawannya ramah-ramah dan responsif, sarapan pagi enak, hanya sayangnya akses lift ke hotel gabung dengan pengunjung mal jadi kalau mau naik turun lift agak lama. sisanya baik."
alasan_ada_tapi_label_none,Kenyamanan,12627,Traveloka,Hotel Santika Mega City Bekasi,1/2/2019,none,kolam renangnya nyaman,"pelayanannya bagus, hotelnya bersih, kolam renangnya nyaman."
alasan_ada_tapi_label_none,Kenyamanan,13770,Traveloka,Hotel Santika Tasikmalaya,10/11/2023,none,kamar bau rokok,"senang staycation di hotel santika, sudah langganan kalau lagi ke tasikmalaya, cuma pesan kamar yang non smoking di kasih smoking room."
label_ada_tapi_alasan_kosong,Kenyamanan,13799,Traveloka,Hotel Santika Tasikmalaya,7/13/2022,positif,,"kamar bersih, kebetulan pesan room untuk hari birthday anak free slice cake. sarapan rasa biasa saja, varian banyak. kamar mandi bersih."
label_ada_tapi_alasan_kosong,Kenyamanan,13855,Traveloka,Hotel Santika Tasikmalaya,5/26/2021,positif,,"lokasi strategis, deket ke beberapa lokasi kuliner jd ongkir gofood/grabfood nya lebih murah. kamar juga baik, bersih."
label_ada_tapi_alasan_kosong,Kenyamanan,13940,Traveloka,Hotel Santika Tasikmalaya,1/8/2020,negatif,,"the room was baik, handuk kurang putih, breakfast just normal and receptionist harusnya bisa lebih banyak kasih info alternatif."
label_ada_tapi_alasan_kosong,Kenyamanan,14193,Traveloka,Hotel Santika Tasikmalaya,7/4/2018,negatif,,"pros: lokasi jalan banyak makanan, breakfast baik, kamar roomy dan bersih. con: koridor lantai 5 kalau malam agak bau."
label_ada_tapi_alasan_kosong,Kenyamanan,14199,Traveloka,Hotel Santika Tasikmalaya,6/27/2018,positif,,"makanan lezat, layanan yang baik, kamarnya cukup bersih, dan hotel ini dekat dengan pusat kota."
label_ada_tapi_alasan_kosong,Kenyamanan,14283,Traveloka,Hotel Santika Tasikmalaya,11/15/2017,positif,,"pelayanan yang ramah, menu sarapan sangat beragam, check in dan check out dengan proses yang mudah dan cepat. shower besar."
label_ada_tapi_alasan_kosong,Kenyamanan,14697,Traveloka,Hotel Santika Tasikmalaya,7/29/2015,positif,,"hotel santika tasikmalaya, kami sekeluarga memuaskan, pelayanan kamar, security, makanan, kebersihan dan lokasi dalam kota."
alasan_ada_tapi_label_none,Pelayanan,14155,Traveloka,Hotel Santika Tasikmalaya,9/26/2018,none,bersih,"bahagia, bersih, baik, cantik."
alasan_ada_tapi_label_none,Pelayanan,14215,Traveloka,Hotel Santika Tasikmalaya,6/13/2018,none,bersih,"bagus, bagus, bersih, terawat."
alasan_ada_tapi_label_none,Pelayanan,14676,Traveloka,Hotel Santika Tasikmalaya,8/26/2015,none,bersih,hotel ini bersih dan menarik tempatnya.
label_ada_tapi_alasan_kosong,Pelayanan,13059,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,positif,,pelayanan dan fasilitasnya baik banget.
label_ada_tapi_alasan_kosong,Pelayanan,13196,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,positif,,fasilitas dan layanan yang baik
label_ada_tapi_alasan_kosong,Pelayanan,13225,Traveloka,Hotel Santika Mega City Bekasi,8/30/2017,positif,,harga murah tapi pelayanan tidak murahan
label_ada_tapi_alasan_kosong,Pelayanan,13434,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,positif,,pelayanannya baik fasilitas hotelnya juga mantab
label_ada_tapi_alasan_kosong,Pelayanan,13455,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,positif,,fasilitas bagus. pelayanan baik.
label_ada_tapi_alasan_kosong,Pelayanan,13469,Traveloka,Hotel Santika Mega City Bekasi,3/1/2017,positif,,"pelayanan yang ramah, makanannya enak"
label_ada_tapi_alasan_kosong,Pelayanan,13659,Traveloka,Hotel Santika Tasikmalaya,12/31/2025,positif,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
label_ada_tapi_alasan_kosong,Pelayanan,13664,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,positif,,semua fasilitas mantul pelayanan ramah
label_ada_tapi_alasan_kosong,Pelayanan,13728,Traveloka,Hotel Santika Tasikmalaya,12/18/2024,positif,,"hotel terfavorit, makanan banyak variasi, staf ramah"
label_ada_tapi_alasan_kosong,Pelayanan,13901,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,positif,,fasilitas lengkap pelayanan memuaskan.
label_ada_tapi_alasan_kosong,Pelayanan,14364,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,positif,,pelayanan dan fasilitas cukup memuaskan
