ID_Review,Platform,Nama_Hotel,Review_Date,review_word_len,review_char_len,num_present_aspects,Text_Review,Lokasi,Kenyamanan,Pelayanan,Kebersihan,Harga,Makanan,Fasilitas
3441,Agoda,Hotel Santika Tasikmalaya,12/27/2014,249,1640,7,"kami check in hampir jam 12 malam dengan 3 kamar pada tgl 24 dec, kartu kamar hny diberikan 1. saya meminta supaya diberikan 2 kartu/ kamar karena agak susah kalau hanya 1 untuk mobilisasinya. awalnya tidak bisa diberikan 2 kartu untuk semua kamar, akhirmya setelah sedikit penjelasan baru diberikan 2 kartu/ kamar dengan catatan kalau hilang harus mengganti 50 rb/ kartu. begitu sampai di kamar ternyata untuk kamar superior tidak ada kulkas, mungkin untuk masukan boleh tolong di sebutkan di agoda untuk kamar superior tidak tersedia kulkas supaya bisa dijadikan bahan pertimbangan sblm memesan, terutama jika bepergian dengan membawa obat/ menyimpan susu untuk anak2. karena begitu saya cek kembali spec kamar di agoda, kamar superior dan deluxe memang tidak disebutkan ada kulkas, hanya dari family room ke atas yang ada complimentary kulkas. pada kenyataannya kamar deluxe terdapat kulkas, hanya superior yang tidak ada. sedangkan untuk harga kamar yang saya bayarkan di santika tidak berbeda jauh dengan hotel bintang 4 dan 5 yang saya singgahi di semarang dan jogja beberapa hari sebelumnya. untuk kebersihan kamar, begitu check in tengah malam, saya terpaksa meminta house keeping untuk mengganti bed cover, sprei, dan sarung bantal karena kotor dan berbau kurang sedap. kebersihan kamar mandi juga perlu sedikit diperhatikan, overall bersih hanya di pojokan antar dinding terdapat sedikit hitam2 mungkin karena lumut. untuk breakfast, makanannya so far enak2. anak2 suka dengan poffertjes dan puddingnya, terlebih lagi disediakan tutut yang sudah agak langka sekarang ini. kolaknya juga enak dengan rasa gula merah/aren yang wangi.",negatif,netral,netral,negatif,netral,positif,negatif
2649,Agoda,Hotel Santika Depok,5/14/2014,205,1316,7,"ini pasti hotel terbaik di depok. walaupun mungkin kamar tidurnya paling kecil dibandingkan hotel santika lainnya. bagi saya ini adalah amaris dengan fasilitas lebih banyak dan desain interior mungkin lebih baik. tapi menjadi santika, banyak sekali kelebihannya. hotel ini terletak di jalan margonda, lokasi sentral di depok. hanya berjarak sekitar 20 menit berjalan kaki dari stasiun kereta api depok baru. letaknya di belakang d mall; salah satu mall di depok. banyak restoran di mal. hotel ini berbagi gedung lantai 27 dengan margonda residence; sebuah apartemen. dari pintu masuk di lantai satu yang menghubungkan dengan pintu golden truly di mal, tamu naik lift ke lantai 3 tempat lobi dan restoran berada. saya pikir lantai 2 dan 3 adalah ruang pertemuan. lantai 5 terdapat pusat kebugaran plus kolam renang. dan kamar tidur terletak di lantai paling atas; lantai 25-27. saya menginap di kamar superior yang sangat kecil. namun anda memiliki semua yang anda butuhkan di kamar, termasuk brankas, televisi layar datar, dan wi-fi gratis. saya rasa anda tidak dapat menambahkan tempat tidur tambahan di ukuran kamar ini. kamarnya bersih dan modern. sarapan prasmanan sangat enak. dan para stafnya profesional dan hangat. jika saya harus kembali ke depok dan bermalam, ini pasti pilihan hotel pertama saya di depok.",positif,negatif,positif,positif,positif,positif,positif
6261,Traveloka,Hotel Santika Bandung,12/4/2019,186,1291,7,"saya memesan santika karena kelihatannya bagus di foto, tapi sayangnya, ini cukup menipu. santika terletak di sebuah bangunan tua, dengan fasilitas tua. tapi saya tidak menyalahkan mereka, itu terjadi pada sebagian besar pemesanan hotel. dari segi lokasi, saya suka bahwa santika sangat dekat dengan semua tempat makanan yang ingin saya kunjungi. sarapan adalah baik-baik saja, tidak ada yang istimewa tapi tidak ada yang buruk. kamar bersih dan cukup biasa. apa yang saya sukai tentang ruangan adalah bahwa ketika anda mengeluarkan kunci kartu dari slotnya, listrik segera padam, tanpa penundaan, dan tidak dapat dijangkau dari pintu. sekali lagi, ini bisa dimengerti karena ini adalah fasilitas lama, tetapi mereka setidaknya bisa memperbarui sistem ini karena agak menjengkelkan untuk keluar dalam kegelapan. secara keseluruhan, saya pikir staf sangat ramah dan membantu, yang merupakan nilai tambah dari hotel ini. jika anda mencari hotel yang terjangkau, saya akan merekomendasikan santika, tetapi sedikit menurunkan harapan anda. saya mengharapkan lebih banyak fasilitas modern melihat foto-foto itu, jadi saya tidak puas. tetapi jika saya mengharapkan bangunan tua dengan fasilitas lama, saya akan mengatakan santika pantas 4/5 karena masih terawat dengan baik untuk usia bangunannya.",positif,netral,positif,positif,positif,netral,netral
2962,Agoda,Hotel Santika Tasikmalaya,1/2/2025,185,1352,7,"saya baru-baru ini menginap di hotel santika tasikmalaya bersama keluarga saya, dan itu adalah pengalaman yang benar-benar menyenangkan. dari saat kami tiba, keramahtamahan staf terlihat jelas. mereka menyambut kami dengan hangat dan memastikan bahwa semua kebutuhan kami dipenuhi dengan senyuman. ruangannya luas, bersih, dan terawat, sehingga sangat nyaman untuk sekeluarga. tempat tidurnya nyaman, dan fasilitas yang disediakan lebih dari cukup untuk masa menginap kami. kami sangat menghargai sentuhan penuh perhatian, seperti air kemasan gratis dan pilihan teh dan kopi di kamar. salah satu hal menarik dari kunjungan kami adalah sarapan prasmanan. variasi hidangan yang tersedia, mulai dari masakan tradisional sunda hingga pilihan masakan barat yang lebih familiar, sungguh mengesankan. semuanya baru disiapkan dan lezat. anak-anak saya sangat menyukai pilihan kue-kue dan jus segar! lokasi hotel sangat strategis, tepat di jantung kota tasikmalaya, sehingga nyaman untuk menjelajahi kota. kami juga menikmati fasilitas hotel, terutama kolam renangnya yang bersih dan terawat - cocok untuk bersantai bersama keluarga di sore hari. secara keseluruhan, hotel santika tasikmalaya adalah pilihan yang fantastis untuk keluarga. kami pergi dengan kenangan indah dan pasti akan kembali pada kunjungan berikutnya ke tasikmalaya. sangat direkomendasikan!",positif,positif,positif,positif,positif,positif,positif
12327,Traveloka,Hotel Santika Mega City Bekasi,11/27/2019,162,958,7,"baru pertama nginep di santika mega, karna biasanya cekin di santika harapan indah pas kebetulan di sana full, sampe sana di sambut staf reseps nya laki2 yang kurang ramah, tidak di infokan akses kamar nya jadi bingung ternyata lift hotel ada di belakang, di bikin muter2 pas turun baru di jelasin, kamar nya bersih, cuman kurang luas tidak kaya santika lain, selimut nya tidak tau bahan apa gaenak di pake berisik kresek kresek tidak kaya hotel biasanya, pintu balkon tidak boleh di buka. tidak guna juga dong ada balkon nya, breakfast rasa standart, menu standart, pool nya tidak bgitu luas, dab cenderung bahaya sih karna posisi tingkat naik tangga gitu, dan tidak ada kulkas nya dong, tidak setara sama harga, closet juga kurang nyaman, kamar mandi transparan keliatan dari kamar tidak nyaman, tidak di info juga parkiran nya tau2 di bawah di tagih biaya parkir 83rb enak nya cuman akses ke mall giant mega deket banget nyari makan enak tidak perlu jauh2",positif,negatif,negatif,positif,negatif,netral,negatif
605,Agoda,Hotel Santika Bandung,7/8/2014,147,988,7,"hotel tua dengan design kamar yang sudah usang, butuh renovasi. kamar mandi cukup bersih, air panas menyala dengan baik. televisi layarnya terlalu kecil, tempat tidur besar namun sudah tidak begitu nyaman. air conditioner berfungsi dengan baik. free wi-fi di dalam kamar dengan koneksi yang bagus. breakfast perlu ditingkatkan baik keragaman, kualitas rasa dan pelayanannya. jika anda ingin tinggal di hotel ini, saya sarankan bangun lebih pagi untuk sarapan supaya tidak kehabisan. saya makan bubur ayam hanya dengan cakue dan telur karena pelengkap lainnya habis dan tidak diisi kembali. pelayannya sangat sedikit dan semua terlihat sibuk sekali sehingga susah untuk dimintai tolong. bahkan saya tidak ditawarkan teh/kopi sama sekali. namun lokasi hotel ini strategis sekali bagi tamu yang fokusnya ingin shopping ke factory outlat, karena banyak fo bagus di sepanjang jalan riau dan bisa ditempuh dengan berjalan kaki saja, tidak perlu berurusan dengan kemacetan dan susah cari parkir.",positif,netral,negatif,positif,positif,negatif,netral
5961,Traveloka,Hotel Santika Bandung,8/20/2025,129,841,7,"pesan hotel ini sudah last minute banget karena tidak kepikiran akan extend. eh, ternyata lokasinya dekeet venue acara kerjaan. alhamdulillah takdir allah tidak ada yang buruk! walaupun dapatnya dengan harga lumayan karena pesan pas weekend santika pasti bagus tidak sih soalnya hotel sudah senior mereka pasti juga sudah improve dengan perkembangan zaman lokasi hotelnya strategis, staf ramah-ramah dan helpful, padahal aku mode backpacker tapi mau bawain tas aku yang tidak seberapa itu kamar baik, bersih tidak bau tidak kotor, tapi tidak kedap suara, wi-fi kenceng, kamar mandi baik, air panas berfungsi tapi tidak ada hair dryer sarapan aku suka! banyak variasi dan enaak! oya, ada kids activity juga masak-masak apa hias cupcakes lupa, pokoknya buat ayah bunda yang bawa anak bisa ikutan. overall, it's bagus and recommended for staay!",positif,positif,positif,netral,netral,positif,netral
5631,Tiket,Hotel Santika Cirebon,9/28/2021,123,780,7,"hotel yang kental dengan nuansa jawa, masih sangat terawat dan bersih, masuk lobby langsung adem nyes. lokasi strategis ada di pusat kota, naik grab ke nasi jamblang mang dul cuma 40 rupiah pulang pergi saking deketnya tapi ku malas jalan karena cirebon panas kaya di padang mahsyar. staf ramah, proses check in mudah dan cepat, jangan lupa siapin kartu vaksin atau aplikasi pedulilindungi. sarapan kurang banyak variasinya tapi rasanya enak, sudah bawa tupperware mau bungkus rolade tahu sama kari ayam, tapi malu soalnya tidak bisa ambil sendiri kamarnya luas bisa kalau mau nanggap reog, ada kulkas tapi sayang tidak ada hairdryer. kolam renang airnya hangat jadi bisa berenang sampai malam. recommended, mau nginep sini lagi kalau dikasih voucher menginap gratis, yuk bisa yuk",positif,positif,positif,positif,positif,netral,netral
7774,Traveloka,Hotel Santika Bogor,6/2/2021,110,638,7,"over price tapi boleh lah. range harga 600 - 700 ribuan dengan desain kamar dan peralatan kamar yang (maaf) tidak melebihi hotel dengan range harga 300 - 400 ribuan. plus (+): - fo dan security yang humble, komunikatif dan rensponsif. - masih dalam lingkup mall botani dan pool damri. - ada kolam renang. - kamar nya cukup redam suara dan bersih. minus (-): - over price. - access card cuma di kasih 1 buah (alasan karena stock access card terbatas)- air conditioner kamar berbunyi seperti korslet, seperti nya harus di service. - harga segitu, tidak ada hair dryer. - menu sarapan monoton, 4 hari menginap, sarapan dengan menu yang sama.",positif,positif,positif,positif,negatif,negatif,negatif
2784,Agoda,Hotel Santika Depok,2/12/2024,105,652,7,"kamarnya lumayan nyaman tapi kurang besar, ada sedikit debu yang kelihatan mata, kurang terawat, air conditioner televisi standar sudah agak jadul. menu sarapan gratis tapi hanya berlaku 2 orang, jadi anak2 harus bayar lagi untuk sarapan, tapi untuk menu sarapan nya saya akui enak2, staf2 nya ramah2, mungkin yang perlu ditingkatkan fasilitas hotel nya dirawat dan dijaga kebersihannya. dan plus nya bisa langsung ke mall untuk jajan solaria, icihban ramen, dan es cream, dan kopi di oti o, ( dan sport warehouse, lumayan ada diskonan sepatu anak hehe. ). . tapi sayang nya brend pakaian beberapa sudah tidak ada dmall jadi tidak bisa belanja pakaian.",positif,netral,positif,negatif,positif,positif,negatif
