aspect,recommended_action,count
Fasilitas,sentiment_conflict_needs_expert,29
Fasilitas,likely_missing_label,12
Fasilitas,possible_missing_label,10
Fasilitas,possible_sentiment_label_review,10
Fasilitas,add_missing_reason_keep_label,7
Fasilitas,likely_model_missed_aspect,6
Fasilitas,likely_model_false_aspect,3
Fasilitas,possible_label_false_positive,2
Fasilitas,label_without_evidence_review,1
Fasilitas,reason_likely_wrong_aspect,1
Harga,reason_likely_wrong_aspect,11
Harga,likely_missing_label,6
Harga,sentiment_conflict_needs_expert,6
Harga,possible_sentiment_label_review,3
Harga,likely_model_false_aspect,2
Harga,possible_label_false_positive,1
Kebersihan,likely_missing_label,13
Kebersihan,likely_model_false_aspect,2
Kebersihan,possible_label_false_positive,2
Kebersihan,possible_sentiment_label_review,2
Kebersihan,sentiment_conflict_needs_expert,2
Kebersihan,likely_model_missed_aspect,1
Kebersihan,possible_missing_label,1
Kenyamanan,likely_missing_label,24
Kenyamanan,likely_model_missed_aspect,13
Kenyamanan,possible_missing_label,13
Kenyamanan,sentiment_conflict_needs_expert,10
Kenyamanan,possible_label_false_positive,8
Kenyamanan,add_missing_reason_keep_label,6
Kenyamanan,likely_model_false_aspect,5
Kenyamanan,possible_sentiment_label_review,3
Kenyamanan,likely_missing_label_from_reason,2
Kenyamanan,label_without_evidence_review,1
Lokasi,possible_missing_label,7
Lokasi,likely_missing_label,4
Lokasi,sentiment_conflict_needs_expert,4
Lokasi,add_missing_reason_keep_label,1
Lokasi,likely_model_false_aspect,1
Lokasi,reason_likely_wrong_aspect,1
Makanan,sentiment_conflict_needs_expert,22
Makanan,add_missing_reason_keep_label,10
Makanan,reason_likely_wrong_aspect,8
Makanan,likely_missing_label,7
Makanan,possible_sentiment_label_review,7
Makanan,likely_model_missed_aspect,4
Makanan,possible_label_false_positive,2
Makanan,possible_missing_label,2
Makanan,likely_model_false_aspect,1
Pelayanan,sentiment_conflict_needs_expert,17
Pelayanan,add_missing_reason_keep_label,11
Pelayanan,likely_model_false_aspect,8
Pelayanan,possible_label_false_positive,8
Pelayanan,likely_missing_label,7
Pelayanan,possible_sentiment_label_review,5
Pelayanan,possible_missing_label,3
Pelayanan,reason_likely_wrong_aspect,3
Pelayanan,likely_model_missed_aspect,2
