aspect,label,support,precision,recall,f1,tp,fp,fn
Lokasi,none,856,0.9797377830750894,0.9602803738317757,0.9699115044247788,822,17,34
Lokasi,positif,408,0.9063231850117096,0.9485294117647058,0.9269461077844311,387,40,21
Lokasi,negatif,26,0.8076923076923077,0.8076923076923077,0.8076923076923077,21,5,5
Lokasi,netral,19,0.6470588235294118,0.5789473684210527,0.6111111111111113,11,6,8
Kenyamanan,none,737,0.9354375896700143,0.8846675712347354,0.909344490934449,652,45,85
Kenyamanan,positif,389,0.8345679012345679,0.8688946015424165,0.8513853904282116,338,67,51
Kenyamanan,negatif,157,0.7613636363636364,0.8535031847133758,0.8048048048048047,134,42,23
Kenyamanan,netral,26,0.25806451612903225,0.3076923076923077,0.2807017543859649,8,23,18
Pelayanan,none,692,0.9651162790697675,0.9595375722543352,0.9623188405797102,664,24,28
Pelayanan,positif,495,0.9230769230769231,0.9454545454545454,0.9341317365269461,468,39,27
Pelayanan,negatif,85,0.7701149425287356,0.788235294117647,0.7790697674418604,67,20,18
Pelayanan,netral,37,0.4074074074074074,0.2972972972972973,0.34375,11,16,26
Kebersihan,none,896,0.9840546697038725,0.9642857142857143,0.9740698985343855,864,14,32
Kebersihan,positif,347,0.96,0.968299711815562,0.9641319942611191,336,14,11
Kebersihan,negatif,59,0.6575342465753424,0.8135593220338984,0.7272727272727273,48,25,11
Kebersihan,netral,7,0.125,0.14285714285714285,0.13333333333333333,1,7,6
Harga,none,1210,0.9933166248955723,0.9826446280991735,0.9879518072289156,1189,8,21
Harga,positif,61,0.7285714285714285,0.8360655737704918,0.7786259541984734,51,19,10
Harga,negatif,24,0.6551724137931034,0.7916666666666666,0.7169811320754716,19,10,5
Harga,netral,14,0.38461538461538464,0.35714285714285715,0.3703703703703704,5,8,9
Makanan,none,785,0.9819819819819819,0.9719745222929936,0.9769526248399487,763,14,22
Makanan,positif,378,0.9295039164490861,0.9417989417989417,0.935611038107753,356,27,22
Makanan,negatif,89,0.7745098039215687,0.8876404494382022,0.8272251308900522,79,23,10
Makanan,netral,57,0.46808510638297873,0.38596491228070173,0.4230769230769231,22,25,35
Fasilitas,none,961,0.9678456591639871,0.9396462018730489,0.9535374868004223,903,30,58
Fasilitas,positif,140,0.7450980392156863,0.8142857142857143,0.7781569965870307,114,39,26
Fasilitas,negatif,151,0.696969696969697,0.7615894039735099,0.7278481012658229,115,50,36
Fasilitas,netral,57,0.3103448275862069,0.3157894736842105,0.31304347826086953,18,40,39
