priority_reason,aspect,true_label,pred_label,confidence,ID_Review,Platform,Nama_Hotel,Review_Date,review_word_len,Text_Review
model_high_confidence_disagreement,Kenyamanan,negatif,netral,0.994,5467,Tiket,Hotel Santika Bogor,4/1/2018,30,"kami menginap di kamar 616. saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel. lokasi hotel cukup bagus, memiliki akses langsung ke pusat perbelanjaan botany square. dan botanic. "
model_high_confidence_disagreement,Kenyamanan,negatif,netral,0.9922,9320,Traveloka,Hotel Santika Cirebon,8/29/2018,110,"kamarnya bagus tapi agak gelap terutama di malam hari. meskipun hotel ini adalah hotel tua, tetapi mereka melakukan yang bagus untuk kamar, sangat bagus dan bersih. handuk bersih dan segar. tapi sayangnya kamar mandi membuat kamar mandi agak basah di sisi yang kering (sisi lemari) dan juga drainase wastafel agak lambat sehingga saluran pembuangan tidak cepat. dan juga saya kecewa karena sarapan, terakhir kali saya mengunjungi hotel ini tahun lalu dan makan sarapan, saya punya pengalaman hebat, karena makanannya begitu enak, tapi ketika saya mengunjungi restoran untuk sarapan saya, berbagai makanannya tidak banyak, dan rasanya di bawah harapan saya, terlalu buruk. tapi ada shuttle ke stasiun cirebon, dan itu gratis."
model_high_confidence_disagreement,Fasilitas,positif,netral,0.9902,3258,Agoda,Hotel Santika Tasikmalaya,8/4/2013,34,"saya sangat puas dengan akomodasinya. kamar tidurnya juga nyaman. kamar mandinya juga bersih. kolam renangnya tidak besar, tapi memiliki pesona. udaranya cerah, dan bintang-bintang di langit malam yang dilihat dari kolam renang sangat mengesankan."
model_high_confidence_disagreement,Kebersihan,none,negatif,0.9768,5618,Tiket,Hotel Santika Cirebon,12/1/2021,15,pengharum ruangan? bau linen sangat menyengat sehingga saya tidak bisa tidur. ada lubang di handuk.
model_high_confidence_disagreement,Kenyamanan,netral,negatif,0.974,1200,Agoda,Hotel Santika Bogor,1/9/2012,62,"santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi. sarapannya baik, orangnya baik tapi terlalu ramai jadi ketika saya minta piring, mereka memberi saya piring kotor dengan saus di dasar piring. tempat parkir sangat ramai, tidak ada ruang untuk tamu karena ini adalah tempat yang sama untuk mal."
model_high_confidence_disagreement,Pelayanan,none,negatif,0.974,7465,Traveloka,Hotel Santika Bogor,5/1/2024,61,"kurang sepadan dengan harga yang membayar. fasilitas kamar kurang sesuai. beli paket yang sarapan (saya kesiangan call jam 10 infonya sudah close) tapi tidak ada pengingat. tidak menyalahkan juga karna kesalahan dari saya, tapi setidaknya dari pihak hotel terima kasih telah memperbaiki apa pun. kalau ditanya akan menginap disini lagi, saya tidak akan balik kesini, lebih baik cari pilihan lain aja."
model_high_confidence_disagreement,Lokasi,none,negatif,0.9691,11167,Traveloka,Hotel Santika Depok,12/21/2016,16,sangat berkesan dengan hotel santika. hanya perlu di informasikan akses masuk hotel jika mall sudah tutup.
model_high_confidence_disagreement,Makanan,none,netral,0.9687,8680,Traveloka,Hotel Santika Bogor,1/6/2016,27,untuk liburan keluarga nyaman. apa lagi yang punya anak kecil. untuk cari makanan sangat dekat mall. untuk keseluruhan suka sekali menginap di santika bogor anak2pun sangat suka.
model_high_confidence_disagreement,Harga,none,negatif,0.9683,10647,Traveloka,Hotel Santika Depok,10/31/2018,58,"hotel cukup strategis karena satu kawasan dengan mal, turun lift jalan dikit langsung masuk mall depok, fasilitas kamar cukup baik, view lumayan dari lantai 26 hahaha tetapi ukuran kamar agak sempit agak untuk sholat pas-pasan, air mineral banyak, variasi makanan banyak, rasa lumayan enak, parkir lumayan mahal untuk satu hari check in kemudian check out biaya parkir 40rb."
model_high_confidence_disagreement,Kenyamanan,netral,negatif,0.9675,2080,Agoda,Hotel Santika Cirebon,12/30/2022,59,"hotel tua yang menempati lahan luas dan lokasi yang strategis. seharusnya bisa mempertahankan ""keklasikan"" hotel santika yang sudah terkenal. sayangnya tidak bisa menjaga itu. sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor. semoga segera diperbaiki ya"
model_high_confidence_disagreement,Kenyamanan,netral,negatif,0.9673,4172,Tiket,Hotel Santika Bandung,4/25/2023,15,burik kata anak saya. proses cek ini sangat lama. kamar mandi bau. lift membuat pusing.
model_high_confidence_disagreement,Harga,netral,negatif,0.9617,1630,Agoda,Hotel Santika Bogor,9/22/2012,56,"kurang mengesankan, untuk harga yang di bayarkan tidak sesuai, hal yang perlu di perbaiki 1. breakfast menu: dikit sekali, dan rasanya kurang enak. saya pernah menginap di santika lainnya tidak seperti ini 2. kamar sempit dan kurang luas 3. kunci kamar tidak bisa mendapatkan 2 4. tidak ada tempat bermain untuk anak-anak secara keseluruhan kurang memuaskan"
model_high_confidence_disagreement,Fasilitas,negatif,netral,0.9613,697,Agoda,Hotel Santika Bogor,1/10/2025,49,"lokasinya bagus karena bersebelahan dengan pusat perbelanjaan sehingga tidak perlu jauh-jauh. namun secara keseluruhan fasilitas terasa agak tua, mungkin karena hotelnya sudah tua. stafnya ramah, saya suka lokasinya, dan harganya. juga, ada pembangunan yang sedang berlangsung di sebelah, jadi saya tidur siang, tapi selain kebisingan, saya tidak punya keluhan."
model_high_confidence_disagreement,Fasilitas,none,negatif,0.9597,1630,Agoda,Hotel Santika Bogor,9/22/2012,56,"kurang mengesankan, untuk harga yang di bayarkan tidak sesuai, hal yang perlu di perbaiki 1. breakfast menu: dikit sekali, dan rasanya kurang enak. saya pernah menginap di santika lainnya tidak seperti ini 2. kamar sempit dan kurang luas 3. kunci kamar tidak bisa mendapatkan 2 4. tidak ada tempat bermain untuk anak-anak secara keseluruhan kurang memuaskan"
model_high_confidence_disagreement,Fasilitas,negatif,netral,0.958,10297,Traveloka,Hotel Santika Depok,1/6/2021,86,"saya bepergian dengan anak-anak jadi saya mencari hotel. di area dengan kolam renang. hasil pencarian menunjukkan akomodasi ini memiliki kolam renang. itulah alasan saya memilihnya. ketika saya mulai check-in, resepsionis memberi tahu saya bahwa kolam ditutup selama pandemi. saya kesal dan anak-anak kecewa. staf dengan tegas mengatakan, ada pengumuman yang sesuai tentang penutupan kolam umum di aplikasi, yang saya anggap sebagai kebohongan sederhana dan saran yang berani bahwa saya tidak cukup berhati-hati dalam proses pemesanan saya, yang sama sekali tidak benar dan sangat mengganggu untuk didengar."
model_high_confidence_disagreement,Makanan,negatif,netral,0.9566,6582,Traveloka,Hotel Santika Bandung,8/23/2017,7,"makanannya biasa saja, tidak seperti makanan hotel"
model_high_confidence_disagreement,Fasilitas,none,positif,0.955,10602,Traveloka,Hotel Santika Depok,12/12/2018,43,hotel ini sangat pas untuk liburan bersama keluarga dan pasangan. karena berada satu area dengan mall dan bioskop. sehingga saat selesai berbelanja dan menonton bisa langsung beristirahat di sebelah gedung mall. hotel ini juga memiliki fasilitas dan layanan yang sangat baik bagi pelanggan.
