ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan
170,Agoda,Hotel Santika Bandung,2023-03-23,terima kasih to hotel santika bandung,,,,,,,,,,,,,,
352,Agoda,Hotel Santika Bandung,2013-07-22,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,netral,netral,,,positif,positif,,hotel ini relatif tenang meskipun terletak dekat jalan utama. ... walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih.,walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih.,,,hotel ini relatif tenang meskipun terletak dekat jalan utama.,spa bagus untuk perawatan pijat.,
380,Agoda,Hotel Santika Bandung,2012-10-27,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",netral,negatif,netral,,,,,"kondisi toilet perlu dilakukan renovasi karena sudah tua. ... secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",kondisi toilet perlu dilakukan renovasi karena sudah tua.,"nikmati masa menginap dengan staf yang membantu. ... secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",,,,
412,Agoda,Hotel Santika Bandung,2010-10-04,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,netral,,netral,,positif,netral,,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. ... paling nyam,,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat.,,paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki.,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. ... paling nyam,
477,Agoda,Hotel Santika Bandung,2024-04-23,limayan dengan harga segitu. baik kok,,,,negatif,,,,,,,limayan dengan harga segitu.,,,
488,Agoda,Hotel Santika Bandung,2024-01-03,bersih dan baik aja buat tinggal,,positif,,,,,,,bersih dan baik aja buat tinggal,,,,,
543,Agoda,Hotel Santika Bandung,2017-07-10,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",negatif,,,,,,,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",,,,,,
863,Agoda,Hotel Santika Megacity Bekasi,2023-04-18,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,netral,,,,negatif,,,pendingin di kamar tidak beraza sama skali.,,,,dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,,
885,Agoda,Hotel Santika Megacity Bekasi,2025-04-07,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",,,,,negatif,,positif,,,,,hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga,,untuk hotel dan restonya cukup memuaskan
1007,Agoda,Hotel Santika Megacity Bekasi,2019-09-22,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!",netral,negatif,negatif,netral,netral,negatif,netral,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. ... rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d res","rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah.","rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah.","lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan.","lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan.","rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah.","rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. ... makanannya kurang variatif, selebihnya baik!"
