ID_Review,aspect,from,to,reason
352,Lokasi,none,positif,hotel ini relatif tenang meskipun terletak dekat jalan utama.
863,Kenyamanan,none,negatif,pendingin di kamar tidak beraza sama skali.
1007,Kenyamanan,none,positif,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan."
1007,Makanan,none,positif,"makanannya kurang variatif, selebihnya baik!"
1011,Kenyamanan,none,positif,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda
1108,Kebersihan,none,positif,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini
1140,Kebersihan,none,positif,"hotel nya bersih, lokasi top diatas mall."
1347,Kenyamanan,none,negatif,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat pangg"
1347,Fasilitas,none,negatif,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat pangg"
1731,Makanan,none,positif,"service memuaskan, masakan enak, staf ramah dan baik"
1744,Lokasi,none,positif,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan."
2010,Lokasi,none,positif,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat be"
2089,Kenyamanan,none,positif,saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam.
2089,Kebersihan,none,positif,"salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus."
2089,Pelayanan,none,positif,"stafnya ramah, dan proses check-in dan check-out cepat dan efisien."
2089,Fasilitas,none,positif,kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai.
2089,Makanan,none,positif,menu sahurnya cukup lengkap dan enak.
2237,Kebersihan,none,positif,kamar yang nyaman bersih.
2685,Kenyamanan,none,positif,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool."
2803,Kebersihan,none,negatif,sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki.
3088,Fasilitas,none,positif,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak"
3088,Makanan,none,positif,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak"
3185,Fasilitas,none,negatif,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak"
3185,Makanan,none,positif,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak"
3356,Fasilitas,none,positif,"hotel yang bagus dengan kolam renang, makanan lezat"
3985,Kenyamanan,none,positif,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent"
3985,Lokasi,none,positif,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent"
4013,Pelayanan,none,positif,pelayanan ramah dan bersahabat.
4013,Harga,none,positif,"kebersihan baik hotel terjangkau, pilihan terbaik."
4105,Kebersihan,none,positif,"hotel bersih, pelayanan ramah."
4105,Pelayanan,none,positif,"hotel bersih, pelayanan ramah."
4140,Kebersihan,none,positif,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak
4140,Makanan,none,positif,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak
4297,Kenyamanan,none,positif,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak."
4470,Kenyamanan,none,positif,tempat tidur anak nyaman.
4470,Pelayanan,none,positif,resepsionis yang ramah dan sigap.
4470,Lokasi,none,positif,menyediakan layanan shuttle ke pusat kota.
4561,Kenyamanan,none,positif,"kamarnya bagus sangat bersih, segar, dan nyaman."
4561,Kebersihan,none,positif,"kamarnya bagus sangat bersih, segar, dan nyaman."
4631,Pelayanan,none,positif,staf ramah anak.
4666,Fasilitas,none,positif,parkir dengan pencahayaan yang bagus.
4788,Kebersihan,none,positif,"kamar bersih, sprei kasur juga bersih."
4788,Fasilitas,none,positif,tapi fasilitas baik.
4849,Lokasi,none,positif,strategis dan di atas mall
