review_id,platform,hotel_name,text_review,text_review_original,date
170,Agoda,Hotel Santika Bandung,terima kasih to hotel santika bandung,Thanks to hotel Santika Bandung 👍,2023-03-23
352,Agoda,Hotel Santika Bandung,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,The hotel is relatively quiet despite being situated near major road. Although it's old it has been refurbished so the rooms are clean. Spa is good for massage treatments.,2013-07-22
380,Agoda,Hotel Santika Bandung,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",Enjoy the stay with helpful staff. Got upgraded to suite room. Toilet condition needed to do renovation as its already old. Overalls great hotel room with helpful and friendly staff.,2012-10-27
412,Agoda,Hotel Santika Bandung,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,As in my above review a nice and pleasant hotel with very helpful staff but lack a four star hotel facilities. Most convenient for those who like to shop at Jalan Riau Factory Outlets as it is within walking distance. There are also Shopping Malls and SuperMarkets just across the streets.,2010-10-04
477,Agoda,Hotel Santika Bandung,limayan dengan harga segitu. baik kok,Limayan dengan harga segitu. Ok kok,2024-04-23
488,Agoda,Hotel Santika Bandung,bersih dan baik aja buat tinggal,bersih dan ok aja buat tinggal,2024-01-03
543,Agoda,Hotel Santika Bandung,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain","Ini adalah hotel favorite di Bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",2017-07-10
863,Agoda,Hotel Santika Megacity Bekasi,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,Pendingin di kamar ga beraza sama skali.. dr malem ks pagi keringetan pdahal udah di setting seminimal mungkin..,2023-04-18
885,Agoda,Hotel Santika Megacity Bekasi,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari","Untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yg tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",2025-04-07
1007,Agoda,Hotel Santika Megacity Bekasi,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!","Lokasi strategis krena dekat dengan mall, sya dpat kamar yg agk mengecewakan. Rak handuk d kamar mndinya rusak, bnyak yg kropos d dindingnya, staff d resto ada yg kurang ramah. Makanannya kurang variatif, selebihnya ok!",2019-09-22
1011,Agoda,Hotel Santika Megacity Bekasi,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,Sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,
1036,Agoda,Hotel Santika Megacity Bekasi,harga kompetitif di bekasi,Harga kompetitif di Bekasi,
1108,Agoda,Hotel Santika Bogor,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,Always satisfied with the cleanliness of this Kompas Gramedia Group hospitality,2026-05-04
1140,Agoda,Hotel Santika Bogor,"hotel nya bersih, lokasi top diatas mall.","Hotel nya bersih, lokasi top diatas mall.",2025-06-06
1347,Agoda,Hotel Santika Bogor,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.","No supervision on pool area , staff dishonest about room availibility, did not communicate priviledges, operator seldom picks up call, very small elevator. Lobby and Parking area very inconvenient.",2018-04-16
1374,Agoda,Hotel Santika Bogor,bersenang-senang menginap di sini,Had a wonderful time staying here,2015-11-24
1656,Agoda,Hotel Santika Bogor,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,Melihat Keluarga dan anak yang menyenangkan selama liburan di Hotel Santika Bogor,2025-08-25
1721,Agoda,Hotel Santika Bogor,bagus dekat dengan mall,Mantap dekat dengan Mall,2024-07-20
1731,Agoda,Hotel Santika Bogor,"service memuaskan, masakan enak, staf ramah dan baik","Service memuaskan, masakan enak, staf ramah dan baik",2024-04-16
1744,Agoda,Hotel Santika Bogor,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.","Terbaik untuk kenyamanan ,keamanan,lokasi yg sangat strategis dri transportasi umum serta pusat perbelanjaan.",2024-02-26
1804,Agoda,Hotel Santika Bogor,variasi untuk makanan pagi nya sedikit,Variasi untuk makanan pagi nya sedikit,2022-01-08
1890,Agoda,Hotel Santika Bogor,sangat menyenangkan dan akan kembali lagi untuk liburan thn depan,Sangat menyenangkan dan akan kembali lg untuk liburan thn depan,2015-07-22
1936,Agoda,Hotel Santika Bogor,"kami menginap sayangnya hanya satu hari. anak2 senang bermain di kolam renang, dan jalan2 di mall malam hari","Kami menginap sayangnya hanya satu hari. Anak2 senang bermain di kolam renang, dan jalan2 di Mall malam hari",2013-10-27
2010,Agoda,Hotel Santika Bogor,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.","Lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.",2012-02-04
2089,Agoda,Hotel Santika Cirebon,"saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam. kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai. salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus. menu sahurnya cukup lengkap dan enak. stafnya ramah, dan proses check-in dan check-out cepat dan efisien. secara keseluruhan, menginap di hotel ini adalah pengalaman yang sangat menyenangkan.","I stayed in a Superior Room at Hotel Santika Cirebon for the second time because this hotel is quite comfortable for an overnight stay. The bedroom and bathroom are spacious enough and well-equipped with adequate amenities. One great added value of this hotel is the complimentary vehicle cleaning, which is a nice touch. The sahur menu was quite complete and delicious. The staff was friendly, and the check-in and check-out process was fast and efficient. Overall, staying at this hotel was a very pleasant experience.",2025-03-03
2237,Agoda,Hotel Santika Cirebon,"kamar yang nyaman bersih. namun furniturnya agak kumuh, diperlukan peningkatan / perbaikan. secara keseluruhan, kami menikmati masa menginap kami. direkomendasikan.","Comfy & clean room. But furniture a bit rundown, upgrade / refurbishing needed. Overall, we enjoyed our stay. Recommended.",2020-06-07
2361,Agoda,Hotel Santika Cirebon,tidak ada yang kurang dari luar biasa. saya datang ke tempat ini bersama istri dan bayi saya yang berumur 4 bulan. saya singgah di cirebon selama perjalanan ke semarang. saya mendapatkan istirahat yang sangat baik di cirebon dan saya sangat puas dengan pilihan saya menginap di hotel santika cirebon.,Nothing the less than excellent. I came to this place with my wife and my 4-months old baby. I was stopping in Cirebon during my road trip to Semarang. I have a very good rest in Cirebon and I really satisfied with my choice of staying at Santika Cirebon hotel.,2013-01-02
2677,Agoda,Hotel Santika Cirebon,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,Lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari Jumat terganggu dengan suara musik senam massal... namun menu makanan cukup oke dengan menu tradisional nasi yang dibungkus dengan daun jati....,2013-02-12
2678,Agoda,Hotel Santika Cirebon,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal","Cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi TV yg ada di kamar kecil sekali untuk harga yang lumayan mahal",2013-02-03
