ID_Review,aspect,researcher_label,simulated_domain_expert_label,note
7415,Kenyamanan,negatif,none,controlled simulated disagreement for target-kappa test file
13406,Kenyamanan,positif,none,controlled simulated disagreement for target-kappa test file
14511,Kenyamanan,negatif,none,controlled simulated disagreement for target-kappa test file
9856,Kenyamanan,negatif,none,controlled simulated disagreement for target-kappa test file
9016,Kenyamanan,positif,none,controlled simulated disagreement for target-kappa test file
3985,Kenyamanan,positif,none,controlled simulated disagreement for target-kappa test file
9705,Kenyamanan,negatif,none,controlled simulated disagreement for target-kappa test file
7761,Kenyamanan,netral,none,controlled simulated disagreement for target-kappa test file
3647,Kenyamanan,positif,none,controlled simulated disagreement for target-kappa test file
2089,Kenyamanan,positif,negatif,controlled simulated disagreement for target-kappa test file
9968,Kenyamanan,positif,none,controlled simulated disagreement for target-kappa test file
12484,Kebersihan,netral,positif,controlled simulated disagreement for target-kappa test file
4561,Kebersihan,positif,none,controlled simulated disagreement for target-kappa test file
4013,Kebersihan,positif,netral,controlled simulated disagreement for target-kappa test file
9280,Kebersihan,negatif,none,controlled simulated disagreement for target-kappa test file
9016,Kebersihan,positif,none,controlled simulated disagreement for target-kappa test file
4140,Kebersihan,positif,none,controlled simulated disagreement for target-kappa test file
4297,Kebersihan,positif,netral,controlled simulated disagreement for target-kappa test file
4470,Pelayanan,positif,none,controlled simulated disagreement for target-kappa test file
14845,Pelayanan,positif,none,controlled simulated disagreement for target-kappa test file
13886,Pelayanan,negatif,none,controlled simulated disagreement for target-kappa test file
4631,Pelayanan,positif,none,controlled simulated disagreement for target-kappa test file
12138,Pelayanan,positif,negatif,controlled simulated disagreement for target-kappa test file
5439,Pelayanan,netral,none,controlled simulated disagreement for target-kappa test file
3064,Pelayanan,positif,none,controlled simulated disagreement for target-kappa test file
1731,Pelayanan,positif,none,controlled simulated disagreement for target-kappa test file
12197,Pelayanan,netral,none,controlled simulated disagreement for target-kappa test file
1007,Harga,netral,none,controlled simulated disagreement for target-kappa test file
2803,Harga,netral,none,controlled simulated disagreement for target-kappa test file
10163,Harga,netral,none,controlled simulated disagreement for target-kappa test file
14573,Harga,positif,none,controlled simulated disagreement for target-kappa test file
4849,Harga,positif,none,controlled simulated disagreement for target-kappa test file
13918,Harga,positif,none,controlled simulated disagreement for target-kappa test file
9016,Lokasi,positif,netral,controlled simulated disagreement for target-kappa test file
14573,Lokasi,positif,netral,controlled simulated disagreement for target-kappa test file
8029,Lokasi,netral,positif,controlled simulated disagreement for target-kappa test file
412,Lokasi,positif,none,controlled simulated disagreement for target-kappa test file
12361,Lokasi,netral,positif,controlled simulated disagreement for target-kappa test file
5734,Lokasi,positif,netral,controlled simulated disagreement for target-kappa test file
7761,Lokasi,positif,none,controlled simulated disagreement for target-kappa test file
12484,Lokasi,netral,positif,controlled simulated disagreement for target-kappa test file
863,Lokasi,negatif,none,controlled simulated disagreement for target-kappa test file
3882,Fasilitas,negatif,none,controlled simulated disagreement for target-kappa test file
3356,Fasilitas,positif,none,controlled simulated disagreement for target-kappa test file
4788,Fasilitas,positif,none,controlled simulated disagreement for target-kappa test file
8029,Fasilitas,netral,none,controlled simulated disagreement for target-kappa test file
9712,Fasilitas,netral,none,controlled simulated disagreement for target-kappa test file
1007,Fasilitas,negatif,none,controlled simulated disagreement for target-kappa test file
7140,Fasilitas,negatif,netral,controlled simulated disagreement for target-kappa test file
5837,Fasilitas,positif,none,controlled simulated disagreement for target-kappa test file
11096,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
11482,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
12672,Makanan,negatif,none,controlled simulated disagreement for target-kappa test file
8019,Makanan,positif,netral,controlled simulated disagreement for target-kappa test file
12148,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
11093,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
9361,Makanan,positif,netral,controlled simulated disagreement for target-kappa test file
7177,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
11201,Makanan,netral,positif,controlled simulated disagreement for target-kappa test file
9407,Makanan,netral,negatif,controlled simulated disagreement for target-kappa test file
885,Makanan,positif,none,controlled simulated disagreement for target-kappa test file
