ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000001,Agoda,Hotel Santika Bandung,2026-05-17,"I always stay at Santika when in Bandung. Many good memories with Santika with beloved family in the past. They keep good cleanliness, good hospitality from the staff, good breakfast food. Santika is still my best choice in Bandung whatever there are new hotels in Bandung. Hope Santika will keep moving forward."
REV-000002,Agoda,Hotel Santika Bandung,2026-05-11,"You can walk directly to BIP, because the location is strategic 9/10. The breakfast is 7/10. The room is very spacious and comfortable 8/10. Unfortunately, the parking is relatively small 6/10."
REV-000003,Agoda,Hotel Santika Bandung,2026-05-05,"The location is strategic at the city centre. Food during breakfast was good and variety. However the aircond in the room bit slow, might be old one. Need to refurbish. Overall I’m happy to stay here."
REV-000004,Agoda,Hotel Santika Bandung,2026-03-31,"The hotel is a bit outdated. The staff are friendly. The hotel is located in the city center, close to malls and other attractions, with many shops and good cafes/restaurants near the hotel."
REV-000005,Agoda,Hotel Santika Bandung,2026-03-26,"A very memorable stay experience, the check-in process was smooth, and I got a room according to my request when I booked. Thank you, Hotel Santika Riau Bandung, for fulfilling my request."
REV-000006,Agoda,Hotel Santika Bandung,2026-03-25,"Strategically located in the heart of Bandung, close to shopping and dining destinations; comfortable and family-friendly"
REV-000007,Agoda,Hotel Santika Bandung,2026-03-24,Hotel yg baik dengan staff yg sangat ramah . Suasana kamar bersih dan menyenangkan. Sedikit masukan. Meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yg singgah baik dibtembok maupun sisi atas pilar beton horisontal yg terlihat bila sdg berjalan dilantai 2 atau 3. Tidak mengganggu tapi bila bersih dr bekas burung dan debu akan menyenangkan.
REV-000008,Agoda,Hotel Santika Bandung,2026-03-20,"Trims kemaren dapat kasur per lebih kokoh tidak tidur miring lgi, atau mungkin beda kamar ? Breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso jg, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel tv diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk 🙏"
REV-000009,Agoda,Hotel Santika Bandung,2026-03-17,"It may look old from the outside, but the room is very clean & comfy. The location is exceptional. Very easy to go everywhere by foot, since Bandung traffic is 🥴🥴 Surrounded by supermarkets, cafes, foodcourts n stores. Lovin' it"
REV-000010,Agoda,Hotel Santika Bandung,2026-03-02,"The location is between BIP and Yogya Riau Junction. It is really strategic, just a short walk to pray, and there is a TNI headquarters next door."
REV-000011,Agoda,Hotel Santika Bandung,2026-02-21,"Classic, calm, esthetic hotel and great customer services."
REV-000012,Agoda,Hotel Santika Bandung,2026-02-17,"Datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. Di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. Besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. Terimakasih Santika ..."
REV-000013,Agoda,Hotel Santika Bandung,2026-02-04,good location and good place to stay in Bandung
REV-000014,Agoda,Hotel Santika Bandung,2026-01-29,"Still looking for hotel recommendations in Bandung, especially for families or groups. Friendly and good staff and services. Strategic location."
REV-000015,Agoda,Hotel Santika Bandung,2026-01-26,I love Santika Bandung. Good memories with my beloved families. I had been there with my late beloved Papa Mama.
REV-000016,Agoda,Hotel Santika Bandung,2026-01-15,"semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tp staff semua ramah bintang 5"
REV-000017,Agoda,Hotel Santika Bandung,2026-01-01,Value for money
REV-000018,Agoda,Hotel Santika Bandung,2025-12-28,"I don't know what can I say, just everything was perfect"
