review_id,platform,hotel_name,text_review,text_review_original,date
1,Agoda,Hotel Santika Bandung,"saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.","I always stay at Santika when in Bandung. Many good memories with Santika with beloved family in the past. They keep good cleanliness, good hospitality from the staff, good breakfast food. Santika is still my best choice in Bandung whatever there are new hotels in Bandung. Hope Santika will keep moving forward.",2026-05-17
2,Agoda,Hotel Santika Bandung,"bisa jalan kaki langsung ke bip, karena lokasinya strategis 9/10. sarapannya 7/10. kamarnya sangat luas dan nyaman 8/10. sayangnya parkirnya relatif kecil 6/10.","You can walk directly to BIP, because the location is strategic 9/10. The breakfast is 7/10. The room is very spacious and comfortable 8/10. Unfortunately, the parking is relatively small 6/10.",2026-05-11
3,Agoda,Hotel Santika Bandung,"lokasinya strategis di pusat kota. makanan saat sarapan enak dan beragam. namun air conditioner di kamar agak lambat, mungkin sudah tua. perlu diperbaharui. secara keseluruhan saya senang tinggal di sini.","The location is strategic at the city centre. Food during breakfast was good and variety. However the aircond in the room bit slow, might be old one. Need to refurbish. Overall I’m happy to stay here.",2026-05-05
4,Agoda,Hotel Santika Bandung,"hotel ini agak ketinggalan jaman. stafnya ramah. hotel ini terletak di pusat kota, dekat dengan mall dan tempat wisata lainnya, dengan banyak toko dan kafe/restoran yang bagus di dekat hotel.","The hotel is a bit outdated. The staff are friendly. The hotel is located in the city center, close to malls and other attractions, with many shops and good cafes/restaurants near the hotel.",2026-03-31
5,Agoda,Hotel Santika Bandung,"pengalaman menginap yang sangat berkesan, proses check-in lancar, dan saya mendapatkan kamar sesuai permintaan saya saat memesan. terima kasih hotel santika riau bandung telah memenuhi permintaan saya.","A very memorable stay experience, the check-in process was smooth, and I got a room according to my request when I booked. Thank you, Hotel Santika Riau Bandung, for fulfilling my request.",2026-03-26
6,Agoda,Hotel Santika Bandung,"berlokasi strategis di jantung kota bandung, dekat dengan destinasi belanja dan bersantap; nyaman dan ramah keluarga","Strategically located in the heart of Bandung, close to shopping and dining destinations; comfortable and family-friendly",2026-03-25
7,Agoda,Hotel Santika Bandung,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,Hotel yg baik dengan staff yg sangat ramah . Suasana kamar bersih dan menyenangkan. Sedikit masukan. Meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yg singgah baik dibtembok maupun sisi atas pilar beton horisontal yg terlihat bila sdg berjalan dilantai 2 atau 3. Tidak mengganggu tapi bila bersih dr bekas burung dan debu akan menyenangkan.,2026-03-24
8,Agoda,Hotel Santika Bandung,"trims kemaren dapat kasur per lebih kokoh tidak tidur miring lagi, atau mungkin beda kamar? breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso juga, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel televisi diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk","Trims kemaren dapat kasur per lebih kokoh tidak tidur miring lgi, atau mungkin beda kamar ? Breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso jg, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel tv diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk 🙏",2026-03-20
9,Agoda,Hotel Santika Bandung,"dari luar mungkin terlihat tua, namun kamarnya sangat bersih dan nyaman. lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki, karena lalu lintas bandung dikelilingi oleh supermarket, kafe, foodcourt, dan toko. aku menyukainya","It may look old from the outside, but the room is very clean & comfy. The location is exceptional. Very easy to go everywhere by foot, since Bandung traffic is 🥴🥴 Surrounded by supermarkets, cafes, foodcourts n stores. Lovin' it",2026-03-17
10,Agoda,Hotel Santika Bandung,"lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.","The location is between BIP and Yogya Riau Junction. It is really strategic, just a short walk to pray, and there is a TNI headquarters next door.",2026-03-02
