page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
1,1,RIDWAN,Indonesia,Couple,Deluxe Room Twin,Stayed 1 night in May 2026,10.0,Exceptional,Good Santika Riau,"I always stay at Santika when in Bandung. Many good memories with Santika with beloved family in the past. They keep good cleanliness, good hospitality from the staff, good breakfast food. Santika is still my best choice in Bandung whatever there are new hotels in Bandung. Hope Santika will keep moving forward.","May 17, 2026"
1,2,Fazlur,Indonesia,Solo traveler,Executive Room King,Stayed 1 night in October 2025,9.2,Exceptional,Win Location,"You can walk directly to BIP, because the location is strategic 9/10. The breakfast is 7/10. The room is very spacious and comfortable 8/10. Unfortunately, the parking is relatively small 6/10.","May 11, 2026"
1,3,Meruwan,Malaysia,Solo traveler,Superior Room King,Stayed 3 nights in April 2026,8.8,Excellent,Excellent,"The location is strategic at the city centre. Food during breakfast was good and variety. However the aircond in the room bit slow, might be old one. Need to refurbish. Overall I’m happy to stay here.","May 05, 2026"
1,4,marvin,Indonesia,Family with young children,Executive Room King,Stayed 2 nights in March 2026,9.2,Exceptional,Great location,"The hotel is a bit outdated. The staff are friendly. The hotel is located in the city center, close to malls and other attractions, with many shops and good cafes/restaurants near the hotel.","March 31, 2026"
1,5,Aji,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in March 2026,10.0,Exceptional,Special,"A very memorable stay experience, the check-in process was smooth, and I got a room according to my request when I booked. Thank you, Hotel Santika Riau Bandung, for fulfilling my request.","March 26, 2026"
2,6,joko,Indonesia,Family with teens,Superior Room Twin,Stayed 1 night in March 2026,10.0,Exceptional,Comfortable hotel,"Strategically located in the heart of Bandung, close to shopping and dining destinations; comfortable and family-friendly","March 25, 2026"
2,7,Andry,Indonesia,Family with teens,Superior Room Twin,Stayed 1 night in March 2026,9.2,Exceptional,Hotel yang teduh dengan staff yang ramah,Hotel yg baik dengan staff yg sangat ramah . Suasana kamar bersih dan menyenangkan. Sedikit masukan. Meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yg singgah baik dibtembok maupun sisi atas pilar beton horisontal yg terlihat bila sdg berjalan dilantai 2 atau 3. Tidak mengganggu tapi bila bersih dr bekas burung dan debu akan menyenangkan.,"March 24, 2026"
2,8,ADRYAN,Indonesia,Family with teens,Superior Room Twin,Stayed 1 night in March 2026,8.4,Excellent,Hotel klasik nyaman bersih lokasi strategis,"Trims kemaren dapat kasur per lebih kokoh tidak tidur miring lgi, atau mungkin beda kamar ? Breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso jg, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel tv diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk 🙏","March 20, 2026"
2,9,Charmantha,Indonesia,Family with teens,Superior Room King,Stayed 1 night in March 2026,9.6,Exceptional,Strategic place,"It may look old from the outside, but the room is very clean & comfy. The location is exceptional. Very easy to go everywhere by foot, since Bandung traffic is 🥴🥴 Surrounded by supermarkets, cafes, foodcourts n stores. Lovin' it","March 17, 2026"
2,10,Budhi,Indonesia,Couple,Superior Room King,Stayed 2 nights in February 2026,10.0,Exceptional,Should be all,"The location is between BIP and Yogya Riau Junction. It is really strategic, just a short walk to pray, and there is a TNI headquarters next door.","March 02, 2026"
