page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
1,1,Febriani,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 2 malam pada Oktober 2025,"10,0",Spektakuler,pengalaman menyenangkan,"pengalaman saya menginap disini menyenangkan. kamarnya bersih, amenities nya lengkap, sarapannya enak dan bervariasi. stafnya ramah dan sangat membantu. lokasi strategis karena di atas mall",
1,2,windy,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2024,"10,0",Spektakuler,Spektakuler,Lokasinya strategis buat staycation bareng anak2 dibawahnya mall..ada cooking class buat anak2 juga klo weekend..,
1,3,Pungki,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Agustus 2024,"8,4",Luar biasa,Hotel ditengah kota Bekasi,"Kamarnya bersih, makanannya cukup baik, hotel berada diatas mall sehingga memudahkan mencari kebutuhan",
1,4,Febe,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"10,0",Spektakuler,Menginap di Hotel Santika Mega Bekasi yg nyaman & menyenangkan.,"Saya bersama keluarga sungguh bersyukur, bisa menginap di Hotel Santika Mega Bekasi, krna selain tmptnya bersih, nyaman & menyenangkan itu, disana ada mall Mega Bekasi yg notabene lokasinya masih tersambung dgn hotel. Kita tinggal turun, ke lantai bawah, lgsg disuguhkan dgn berbagai fasilitas belanja, nonton di XXI, bnyak tmpt bermain anak, restoran yg lengkap, serta ada bnyak tmpt ibadah untuk umat Kristiani. Maka dari itu, bagi tmen2 yg mau nyari tmpt penginapan yg bersih, rapi, indah, nyaman & menyenangkan, ya ke Hotel Santika Mega Bekasi. Oh iy, satu lagi,,, klo pesan hotel yg dapat sarapan(makan pagi), sangat rekomended bgt, karna selain lengkap berbagai mkanan ada, masakannya itu,,, enak2 smua,,, jos gandos,,, kotos2 pkoknya... Mantul, uenackt pooolll...",
1,5,Yanti,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 1 malam pada Februari 2026,"10,0",Spektakuler,Hotel nyaman untuk keluarga,"Sofar hotelnya nyaman, ada area bermain untuk anak. Anak saya suka karena ada kolam renang",
1,6,Febriani,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 2 malam pada Oktober 2025,"10,0",Spektakuler,pengalaman menyenangkan,"pengalaman saya menginap disini menyenangkan. kamarnya bersih, amenities nya lengkap, sarapannya enak dan bervariasi. stafnya ramah dan sangat membantu. lokasi strategis karena di atas mall",
1,7,windy,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2024,"10,0",Spektakuler,Spektakuler,Lokasinya strategis buat staycation bareng anak2 dibawahnya mall..ada cooking class buat anak2 juga klo weekend..,
1,8,Pungki,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Agustus 2024,"8,4",Luar biasa,Hotel ditengah kota Bekasi,"Kamarnya bersih, makanannya cukup baik, hotel berada diatas mall sehingga memudahkan mencari kebutuhan",
1,9,Febe,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"10,0",Spektakuler,Menginap di Hotel Santika Mega Bekasi yg nyaman & menyenangkan.,"Saya bersama keluarga sungguh bersyukur, bisa menginap di Hotel Santika Mega Bekasi, krna selain tmptnya bersih, nyaman & menyenangkan itu, disana ada mall Mega Bekasi yg notabene lokasinya masih tersambung dgn hotel. Kita tinggal turun, ke lantai bawah, lgsg disuguhkan dgn berbagai fasilitas belanja, nonton di XXI, bnyak tmpt bermain anak, restoran yg lengkap, serta ada bnyak tmpt ibadah untuk umat Kristiani. Maka dari itu, bagi tmen2 yg mau nyari tmpt penginapan yg bersih, rapi, indah, nyaman & menyenangkan, ya ke Hotel Santika Mega Bekasi. Oh iy, satu lagi,,, klo pesan hotel yg dapat sarapan(makan pagi), sangat rekomended bgt, karna selain lengkap berbagai mkanan ada, masakannya itu,,, enak2 smua,,, jos gandos,,, kotos2 pkoknya... Mantul, uenackt pooolll...",
1,10,Yanti,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 1 malam pada Februari 2026,"10,0",Spektakuler,Hotel nyaman untuk keluarga,"Sofar hotelnya nyaman, ada area bermain untuk anak. Anak saya suka karena ada kolam renang",
2,11,Monic,Indonesia,Wisatawan tunggal,Kamar Family,Menginap 1 malam pada Juni 2025,"10,0",Spektakuler,Spektakuler,"Kolam renangnya keren, kamar nyaman bersih oke banget. Sarapan klo bsa di bnyakin menu lauknya. Staff ramah, cuma playground buat anak kurang. Tp ttp oke lah ke lnt bawah lgs mall,",
2,12,Sari,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada September 2024,"10,0",Spektakuler,The best Hotel,"Hotel yang sangat strategis, bersih & wangi serta menu makanannya yang sangat variatif&sehat.",
2,13,Abdi,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juni 2025,"10,0",Spektakuler,Service memuaskan,"Lift nyaman,makanan banyak pilihan sampai fasilitas oke semua. Ingin balik lagi bareng keluarga",
2,14,Muhamad,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Agustus 2024,"10,0",Spektakuler,Spektakuler,"Kamar bersih dan nyaman, staf melayani dengan ramah, proses check-in mudah, fasilitas terawat dengan baik.. Booking murah sama Bang Jemmyco 085268269398",
2,15,herlin,Indonesia,Keluarga dengan anak kecil,Kamar Deluxe Twin,Menginap 1 malam pada Agustus 2024,"8,4",Luar biasa,staycation menyenangkan,"kamar bersih, nyaman, dekat dengan pusat belanja dan convention hall. kolam renang bersih, ada sesi menghias donat dari manajemen hotel untuk pengunjung anak2, ada playground anak, gym, sarapan banyak variasi dengan rasa yang enak.",
2,16,Febriani,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 2 malam pada Oktober 2025,"10,0",Spektakuler,pengalaman menyenangkan,"pengalaman saya menginap disini menyenangkan. kamarnya bersih, amenities nya lengkap, sarapannya enak dan bervariasi. stafnya ramah dan sangat membantu. lokasi strategis karena di atas mall",
2,17,windy,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2024,"10,0",Spektakuler,Spektakuler,Lokasinya strategis buat staycation bareng anak2 dibawahnya mall..ada cooking class buat anak2 juga klo weekend..,
2,18,Pungki,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Agustus 2024,"8,4",Luar biasa,Hotel ditengah kota Bekasi,"Kamarnya bersih, makanannya cukup baik, hotel berada diatas mall sehingga memudahkan mencari kebutuhan",
2,19,Febe,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"10,0",Spektakuler,Menginap di Hotel Santika Mega Bekasi yg nyaman & menyenangkan.,"Saya bersama keluarga sungguh bersyukur, bisa menginap di Hotel Santika Mega Bekasi, krna selain tmptnya bersih, nyaman & menyenangkan itu, disana ada mall Mega Bekasi yg notabene lokasinya masih tersambung dgn hotel. Kita tinggal turun, ke lantai bawah, lgsg disuguhkan dgn berbagai fasilitas belanja, nonton di XXI, bnyak tmpt bermain anak, restoran yg lengkap, serta ada bnyak tmpt ibadah untuk umat Kristiani. Maka dari itu, bagi tmen2 yg mau nyari tmpt penginapan yg bersih, rapi, indah, nyaman & menyenangkan, ya ke Hotel Santika Mega Bekasi. Oh iy, satu lagi,,, klo pesan hotel yg dapat sarapan(makan pagi), sangat rekomended bgt, karna selain lengkap berbagai mkanan ada, masakannya itu,,, enak2 smua,,, jos gandos,,, kotos2 pkoknya... Mantul, uenackt pooolll...",
2,20,Yanti,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 1 malam pada Februari 2026,"10,0",Spektakuler,Hotel nyaman untuk keluarga,"Sofar hotelnya nyaman, ada area bermain untuk anak. Anak saya suka karena ada kolam renang",
3,21,Suci,Indonesia,Pasangan,Kamar Queen Superior,Menginap 2 malam pada Maret 2026,"8,8",Luar biasa,Great Location and friendly staff,"Lokasi hotel sangat strategis, dan ada akses langsung ke Mega Bekasi Hypermall. Pelayanannya sangat bagus, semua pegawainya sangat ramah dan informatif. Untuk fasilitasnya standar hotel bintang 3, tapi sayang saat saya sarapan di hari pertama ada menu ikannya yang sudah agak bau.",
3,22,Pramudhani,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Januari 2025,"10,0",Spektakuler,Spektakuler,"Menginap di hotel ini karena saudara saya menikah disini.. Utk kamar, pelayanan staff, fasilitas, dan sarapan paginya oke banget...",
3,23,Muhamad,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Agustus 2024,"10,0",Spektakuler,Spektakuler,"Kamar bersih dan nyaman, staf melayani dengan ramah, fasilitas terawat dengan baik, proses check-in mudah. Booking murah sama Bang Jemmyco 085268269398",
3,24,Kurnianto,Indonesia,Keluarga dengan anak kecil,Kamar Deluxe Twin,Menginap 2 malam pada Agustus 2024,"9,6",Spektakuler,Recommended,"Great price to value you're getting. Wonderful staff, khusus nya satpam. Patut diacungi jempol.",
3,25,Endro,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 2 malam pada September 2025,"9,6",Spektakuler,Spektakuler,"Hotelnya bagus letaknya strategis Cm fasilitas perlu ditingkatkan lg,saluran air dikmr mndi ngalirnya ga lancar jd air agak menggenang",
4,26,kang,Indonesia,Keluarga dengan anak kecil,Kamar Deluxe Twin,Menginap 2 malam pada Desember 2025,"10,0",Spektakuler,Liburan,"Fasilitas mudah, mau makan mau belanja tinggal turun ke mall di bawah, banyak foodcourt, wahana permainan anak,pakaian, toko handphone dan lain2..",
4,27,Arsinius,Indonesia,Keluarga dengan anak dewasa,Kamar Superior Twin,Menginap 1 malam pada Desember 2024,"10,0",Spektakuler,Nice Evening,Pelayanan Ramah Tamah. Selangkah langsung ke BCC Menu Sarapan lengkap dan nikmat Good Job. 👍👍,
4,28,liu,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2025,"10,0",Spektakuler,Spektakuler,"Staff FO dan FB saat baik dan ramah Resto utk breakfast..menu variatif, rasa makanan enak ..pelayanan ramah..refill makanan sangat cepat dan baik Untuk Resto FB..sangat rekomendasi pelayanan dan makanannya",
4,29,Achmad,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Oktober 2025,"8,4",Luar biasa,Kenyamanan Hotel,"Sangat nyaman untuk menginap di Hotel ini, fasilitas lengkap pelayanannya juga bagus termasuk menu sarapannya juga enak dan bervariasi. Terimakasih.",
4,30,Adekaori,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 2 malam pada Maret 2025,"10,0",Spektakuler,Trip bisnis,Klo mau beli mkn hanya tinggal turun ke bawah..komplit bgt mknan dlm mall nya..mantap pokoknya tinggal di sini..,
5,31,aliefa,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Juni 2024,"8,0",Luar biasa,Sangat baik,"seneng banget pertama x staycstion disiniii enak pooll , bersihhhh, staf ramahhhhh , breakfast okelah yaa. dan dibawahnya ada mall dan thrifting gituuu seru!!!!",
5,32,Robbi,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Juni 2024,"10,0",Spektakuler,Temlat staycation yang nyaman,"Sangat recomended sekali, tempat strategis, nyaman dan staff2nya sangat ramah, kamar luas dan bersih.. Terimakasih Santika Mega City Terimakasih bu.Nyoman yang sdh memberikan info2 ttg fasilitas2 hotel Sampai berjuma unt agenda staycation saya dan keluarga selanjutnya,",
5,33,Gracesicca,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Februari 2025,"9,6",Spektakuler,ramah dan bersih tempatnya,ini pertama kalinya dan hotel nya sangat baik. mulai dari kebersihan hotel hingga luar kamar hotel semuanya terjaga. letaknya juga strategis jadi mudah mencari makanan,
5,34,Franjo,Inggris,Pasangan,Kamar Queen Superior,Menginap 1 malam pada September 2025,"9,2",Spektakuler,One night in Bekasi,"Nice hotel for very reasonable price. We stayed only one night but everything was good. Rooms are tidy, bed comfortable, breakfast was very nice buffet. Staff were all kind. Hotel is top floor of the shopping mall and there is another nice mall across the road.",
5,35,deddy,Indonesia,Pasangan,Kamar Premiere,Menginap 1 malam pada September 2024,"10,0",Spektakuler,verygood,"saya sudah beberapa kali menginap disini semuanya ok..staf"" ramah, makanan juga enak..ceck in juga cepet ga ribet..dijaga terus ya santika.",
6,36,Wisnu,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Maret 2025,"10,0",Spektakuler,Terbaik,"Terima kasih atas pelayanan yang ramah.. Tetap di jaga yah kebiasaan ke pengunjung ramah, sopan, attitude dll untuk yang kerja di Santika hotel Bekasi",
6,37,Dina,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juni 2025,"9,6",Spektakuler,"Good location, good breakfast and cleanliness",I didn't expected the room is clean and quite big. The water power in the shower is quite strong that we love it..the breakfast quite many varieties. The hotel attached with the mall however the lift access to the mall is off couple of times when its rain. The service is good. The bad thing is we dont have mini fridge in our room other than that we are happy to stay,
6,38,Any,Indonesia,Keluarga dengan anak dewasa,Kamar Superior Twin,Menginap 1 malam pada Desember 2024,"9,2",Spektakuler,Hotel strategis di pusat Kota Bekasi,"Cari hotel di sekitar Bekasi dapat hrg yg murah dari Agoda, lokasi di Mall Mega city sangat strategis posisinya. Dekat dgn pusat2 perbelanjaan di sekitarnya berada ditengah kota. Stafnya sangat ramah dan utk breakfastnya lumayanlah dan kebersihan hotel sangat terjaga. Sayang utk fasilitas kolam renang sangat minim dan seadanya.",
6,39,Diotra,Indonesia,Pasangan,Kamar Queen Deluxe,Menginap 1 malam pada Januari 2026,"8,0",Luar biasa,Good place to stay,"Clean place, smooth check-in, good communication, and convenient location. Overall, a comfortable stay.",
6,40,Felicia,Indonesia,Pasangan,Kamar Premiere,Menginap 1 malam pada Juni 2025,"9,6",Spektakuler,comfy bed,"clean, comfy bed and room. Netflix is provided. The water heater could definitely be better, hot water takes forever to come out. Breakfast is mostly finished at 9.30 am.",
7,41,Hery,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada April 2025,"9,2",Spektakuler,Spektakuler,"Over all ok dr receptonist yg ramah, dan mau upgrade room krn kamar yg book blm ready... masukan tambah makanan khan daerahnya yach",
7,42,Chalinee,Thailand,Rombongan,Kamar Deluxe Twin,Menginap 2 malam pada Februari 2025,"8,0",Luar biasa,Convenience for those going to convention center,Location is super convenient if your destination is Bakasi convention center. Room size is about right and clean. There was water leakage from A/C but they fix it instantly. Staff are very nice. The only thing is there should be fridge in the room.,
7,43,Rully,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juli 2025,"7,6",Sangat baik,menginap bersama keluarga,"saya menginap bersama keluarga kecil saya, hotelnya ada di lantai 5 mall mega city. - proses check in mudah dan cepat, kunci kamar dikasih 1, ternyata liftnya bebas akses, siapapun bisa masuk ke lantai manapun - koridor menuju kamar tidak ber-AC, jadi sedikit gerah dan pengap - masuk kamar, kesan pertama adalah PANAS, ternyata ACnya tidak sentral, AC split, membutuhkan waktu 20-40 menit untuk kamar menjadi dingin. - kamar bersih = kasur bersih, kamar mandi bersih, ada shower gel dan shampoo - kolam renangnya KURANG DIJAGA KEBERSIHANNYA, sangat berangin - fitness center SEADANYA - playground anak SEADANYA - makanannya cukup bervariasi, tapi ENAK",
7,44,Andri,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 1 malam pada Juni 2024,"9,2",Spektakuler,Lobi kurang dingin,"Overall bagus cuma karena lokasinya diatas gedung mall bareng dengan XXI dan convention hall jadi parkirannya agak ribet n lobby panas. Menu sarapan bervariasi dan kids cornernya banyak pilihan. Playground terkesan ala kadarnya aja. Ruang kamar family roomnya ok banget ada 2 kamar dan ac di tiap ruang, kamar mandi enak tapi pencahayaan kurang terang buat saya.",
7,45,Romnah,Singapura,Rombongan,Kamar Superior Twin,Menginap 4 malam pada Desember 2025,"6,0",,Hotel Santika Mega City Bergasi,"Hotel above shopping mall, & road leading to hotel made you giddy (go round & round). On top of that, we have to pay parking fees for grab car. Soap not provided at the sink area for washing face, brushing teeth & washing hand. After cleaning the room, no towels given & upon request, towel given the next morning after calling them the 2nd time. Toilet a bit slippery, extra careful while bathing cos I'm using clutches. Breakfast ordinary.",
8,46,Riyan,Indonesia,Wisatawan tunggal,Kamar Deluxe Twin,Menginap 2 malam pada April 2025,"10,0",Spektakuler,PUAS,"Untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yg tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",
8,47,Muhammad,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juli 2025,"8,0",Luar biasa,Libur akhir pekan,"Yang pertama always santika ga pernah ngeceeain ut breakfast. Lengkap dan enak2. Kecewa kami hanya ut air kolam renang,, kadar klorin terlalu Over shg membuat rasa air kolam asam dan perih di mata dan kulit. Seharusnya Poodeck harus lebih sering kontrol dan treatment bila diperlukan. Apabila ditrmukan hal serupa, langsung infokan e bagian Resepsionis saja. Karena bahaya bagi kulit terutama anak2",
8,48,Joko,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2024,"7,2",Sangat baik,Kamar mandi licin,Untuk kamar mandi licin sampe anak saya terpeleset Untung gak terjadi apa apa Staf nya ramah Makanan enak,
8,49,Abdul,Indonesia,Keluarga dengan anak kecil,Kamar Keluarga - Merokok,Menginap 2 malam pada April 2025,"6,4",Bagus,Komen ttg santika Bekasi,"Lokasinya bagus, tetapi kebersihan ruangan terutama peralatan makan perlu diperbaiki.....teko elektrik gk jadi kami pakai karena ada lehitaman didalamnya terkesan kotor dan beberapa bagian kamar terkelupas....alat gym kesannya tdk terawat walau lokasi bagus dan dibawah hotel mall sangat baik....ada pilihan lain utk menginap di bekasi",
8,50,Anton,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Juli 2024,"8,0",Luar biasa,Perbaikan,"Kelemahan untuk perbaikan, parkir nya jika ada wedding, cukup merepotkan bagi tamu yg menginap di hotel. Harus di parkiran Mall yg juga harus berputar-putar mencari parkiran yg kosong",
9,51,Septhia,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Februari 2026,"10,0",Spektakuler,Spektakuler,Nyaman bersih dan lengkap,
9,52,Deni,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2025,"10,0",Spektakuler,Liburan di Bekasi,Hotel Bersih serta nyaman,
9,53,MEGA,Indonesia,Pasangan,Kamar Deluxe Twin,Menginap 1 malam pada April 2025,"10,0",Spektakuler,Spektakuler,Bagus dan nyaman,
9,54,MEGA,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada April 2025,"10,0",Spektakuler,Spektakuler,Bagus dan nayaman,
9,55,MEGA,Indonesia,Pasangan,Kamar Queen Deluxe,Menginap 1 malam pada April 2025,"10,0",Spektakuler,Spektakuler,Baguss,
10,56,Tri,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Januari 2026,"10,0",Spektakuler,Mantap,Nyaman,
10,57,Albert,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"10,0",Spektakuler,Recomended Hotel,All the best for everything...,
10,58,Arlisa,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"10,0",Spektakuler,Hotel Nyaman,besstt,
10,59,Anta,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Desember 2025,"9,6",Spektakuler,Kids frenly dan menu makananya enak,Aroma d kamar lebih d tingkatkan lagiyaaaa ....mksih,
10,60,mifta,Indonesia,Wisatawan bisnis,Superior Double,Menginap 1 malam pada November 2025,"10,0",Spektakuler,Kamar bersih,Sarapanya enak,
11,61,mifta,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 1 malam pada November 2025,"10,0",Spektakuler,Kamar bersih,Sarapan enak & Kamar bersih,
11,62,Yanti,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada November 2025,"10,0",Spektakuler,Spektakuler,Ok pokoknya,
11,63,Faisal,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Oktober 2025,"10,0",Spektakuler,Quality Time Great place,Very recommended for quality time with spouse,
11,64,Ely,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Oktober 2025,"10,0",Spektakuler,Rekomendasi banget pokonya,"Sarapannya vareatif dan enak,lif langsung mall",
11,65,Irma,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Agustus 2025,"7,6",Sangat baik,Sangat baik,"Ac kurang dingin,yg tdnya mau santai staycation jd mls dikamar",
12,66,sudarwanto,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 2 malam pada April 2025,"10,0",Spektakuler,Spektakuler,Recomenden buat bawa keluarga,
12,67,kurnia,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 1 malam pada Juli 2025,"10,0",Spektakuler,Good,Semua berjalan dengan baik,
12,68,Novita,Indonesia,Keluarga dengan anak dewasa,Kamar Premiere,Menginap 2 malam pada Juli 2025,"7,2",Sangat baik,Sangat baik,"Kamar besar, hanya saja menu dan rasa sarapan biasa saja dan perlu di tingkatkan",
12,69,Teguh,Indonesia,Keluarga dengan anak dewasa,Kamar Family,Menginap 2 malam pada Juli 2025,"10,0",Spektakuler,Holiday,Excelent,
12,70,PERMANA,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Juni 2025,"10,0",Spektakuler,Rekomendasi,Rekomendasi banget hotelnya,
13,71,PERMANA,Indonesia,Pasangan,Kamar Queen Deluxe,Menginap 1 malam pada Juni 2025,"10,0",Spektakuler,Bagus,Rekomendasi banget hotelnya,
13,72,Marketing,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juni 2025,"10,0",Spektakuler,Nyaamaannn banget,Nyaman,
13,73,Ester,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 1 malam pada September 2024,"8,4",Luar biasa,Nice hotel to stay,Nice hotel to stay,
13,74,Winda,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Mei 2025,"10,0",Spektakuler,Terbaik,Terbaik,
13,75,zainal,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada April 2025,"10,0",Spektakuler,Spektakuler,Bagus bersih dan ramah,
14,76,Dessy,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada April 2025,"10,0",Spektakuler,Staycation,Perfect,
14,77,Rudi,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada April 2025,"8,4",Luar biasa,Arena Bermain Anak,"Cukup menarik, perlu ditambahkan film2 dokumentasi utk pendidikan anak",
14,78,Permata,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Mei 2024,"10,0",Spektakuler,Spektakuler,Langganan.. Tiap ingin staycation pasti kesini.. Krn jd satu sama mall.. Strategis pula lokasi nya,
14,79,Lim,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Maret 2025,"10,0",Spektakuler,Liburan,Ingin suasana yg berbeda...,
