page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
1,1,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
1,2,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
1,3,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
1,4,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
1,5,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
1,6,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
1,7,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
1,8,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
1,9,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
1,10,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
2,11,handitya,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in May 2024,9.6,Exceptional,Sangat Bagus,"Menginap yang kedua kali nya di Hotel Santika Bogor, Pelayanan, Keramahan, Kebersihan, Kenyamanan dan Keamanan nya tetap terjaga. Dapat harga Promo 700ribu per kamar di saat weekend panjang..Dapat kamar satu lantai dengan Restoran dan Kolam Renang. kondisi Kamar dan Kamar Mandi sangat bersih dan wangi, pelayanan Security, Room Boy, Receptionist, Waiter, Office Boy nya sangat ramah. Sarapan nya banyak menu dan enak semua. Kekurangan nya Lift nya terlalu kecil untuk sekelas hotel Bintang 4, sehingga hanya muat 4 orang saja (membuat lama antri menuggu Lift) dan Pintu Akses ke Mall Botani nya hanya melalui Lift ke Basement yg mana Lift nya harus menunggu lama antrian dengan tamu hotel yg dari lantai atas ataupun sebalik nya dari Lobby..Seharus nya di berikan akses tangga jalan ke basement untuk ke Mall Botani ataupun ada akses pintu dari Lobby ke Mall Botani",11-May-24
2,12,Imanuel,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in June 2025,9.6,Exceptional,Hotel Strategis di Pusat Kota Bogor,"Saya dan istri senang memilih tempat ini untuk berlibur di Bogor karena lokasinya yang dekat dengan Kebun Raya Bogor dan menempel dengan Botani Square. Hotel bersih, makanan enak, staf ramah, dan fasilitas cukup lengkap. Rekomendasi untuk yang mau berlibur di Bogor",10-Jun-25
2,13,widi,Indonesia,Business traveler,Superior Room Queen,Stayed 1 night in October 2025,10,Exceptional,Healing di Bogor,"Hotel ini lokasinya sangat strategis, terletak di pusat kota Bogor. Tidak jauh dari pintu tol Jagorawi. Hotel ini juga menyatu dengan mall favorit kota Bogor. Jadi oke banget. Fasilitas lengkap, makanan enak, view kota Bogor yg indah , staff hotel yg ramah dan membantu tamu. Rekomendasi banget untuk staycation di sini. Yg ngga mau ribet cari makanan dan hiburan. Semua ada di sini.",16-Oct-25
2,14,석용,South Korea,Solo traveler,Executive Queen,Stayed 1 night in January 2025,9.2,Exceptional,쇼핑몰 위에 있어서 너무 입지가 좋아요,쇼핑몰하고 붙어있어서 멀리 안나가도 되고서 위치너무 좋아요 하지만 호텔이 오래되서 그런지 전체적으로 시설들이 좀 낡은 느낌이 드네요 직원들도 친절하고 위치 가격 맘에들어요 그리고 옆방 공사중이어서 낮잠을 자는데 시끄러운거 빼고 불만없어요,10-Jan-25
2,15,Anggit,Indonesia,Couple,Executive Queen,Stayed 1 night in December 2024,9.6,Exceptional,Santika,"Pas awal masuk sudah hampir dini hari, loby gelap kaya kurang cahaya gitu, terus panas dan kurang wangi hehehehe. Lorong menuju kamar juga redup dan panas sepertinya acnya tidak dinyalakan entah dalam rangka berhemat atau go green. Kamar bersih, rapi, termasuk baru jadi masih terawat, air panas oke, tempat tidur nyaman. Sarapan lumayan variatif dan enak, staff hotel ramah. Lokasi strategis karena diatas Mall",14-Jan-25
2,16,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
2,17,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
2,18,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
2,19,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
2,20,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
3,21,Imam,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in July 2025,10,Exceptional,Exceptional,"Pokoknya semuanya oke banget! Lokasi, staff, fasilitas, breakfast… Bakal balik lagi kalo ke bogor 👌🏻👌🏻",26-Aug-25
3,22,Laurencia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in June 2025,10,Exceptional,Happy staycation,"Sudah sering menginap di sini karena lokasi strategis, bersebelahan dengan Botani Square Mall. Staf sangat ramah & selalu siap membantu. Kamar hotel juga sangat bersih",5-Jun-25
3,23,Nita,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in April 2024,10,Exceptional,Staycation,"Senang bisa menginap disini, letaknya strategis langsung akses ke mall. Staf ramah dan membantu serta kamar yang nyaman, bersih, luas, wangi membuat pengalaman menginap jadi lebih menyenangkan . Thank you, very recommended hotel ❤️💐",29-Sep-24
