page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
1,1,Feby,Indonesia,Solo traveler,Deluxe Twin Room,Stayed 1 night in April 2026,10.0,Exceptional,Experience of staying over,"Strategic location, very helpful when the kids are taking the SNBT exam. There is a special breakfast for those who will take the exam.. thank you..","April 25, 2026"
1,2,Ali,Indonesia,Family with young children,Superior King Room,Stayed 1 night in March 2026,8.8,Excellent,Santika Depok,"The entire staff is very friendly and the breakfast is very delicious and varied, you must try staying here.","March 28, 2026"
1,3,sheila,Indonesia,Group,Superior King Room,Stayed 4 nights in December 2025,10.0,Exceptional,Exceptional,"Stay here for 5 days, friendly and very helpful staff, strategic location, delicious breakfast all around. Comfortable, will be back here next year.","December 22, 2025"
1,4,Takanori,Japan,Business traveler,Deluxe King Room,Stayed 3 nights in February 2025,8.4,Excellent,A hearty breakfast.,"The room is on the 25th to 27th floors, so the view is good. The breakfast has a variety of options and is delicious, so I think it's worth going for the breakfast alone. The rooms are also clean. However, this time I reserved three deluxe queen rooms, but during check-in, I was told that one room has no window, and for some reason, I had to stay in a room without a window, which I find unacceptable.","March 02, 2025"
1,5,NOVITA,Indonesia,Family with young children,Deluxe King Room,Stayed 1 night in April 2026,10.0,Exceptional,Happy Child,"Family happiness exists only in the happiness of the children; if the children are happy, the family will surely always be happy.","April 27, 2026"
1,6,Feby,Indonesia,Solo traveler,Deluxe Twin Room,Stayed 1 night in April 2026,10.0,Exceptional,Experience of staying over,"Strategic location, very helpful when the kids are taking the SNBT exam. There is a special breakfast for those who will take the exam.. thank you..","April 25, 2026"
1,7,Ali,Indonesia,Family with young children,Superior King Room,Stayed 1 night in March 2026,8.8,Excellent,Santika Depok,"The entire staff is very friendly and the breakfast is very delicious and varied, you must try staying here.","March 28, 2026"
1,8,sheila,Indonesia,Group,Superior King Room,Stayed 4 nights in December 2025,10.0,Exceptional,Exceptional,"Stay here for 5 days, friendly and very helpful staff, strategic location, delicious breakfast all around. Comfortable, will be back here next year.","December 22, 2025"
1,9,Takanori,Japan,Business traveler,Deluxe King Room,Stayed 3 nights in February 2025,8.4,Excellent,A hearty breakfast.,"The room is on the 25th to 27th floors, so the view is good. The breakfast has a variety of options and is delicious, so I think it's worth going for the breakfast alone. The rooms are also clean. However, this time I reserved three deluxe queen rooms, but during check-in, I was told that one room has no window, and for some reason, I had to stay in a room without a window, which I find unacceptable.","March 02, 2025"
1,10,NOVITA,Indonesia,Family with young children,Deluxe King Room,Stayed 1 night in April 2026,10.0,Exceptional,Happy Child,"Family happiness exists only in the happiness of the children; if the children are happy, the family will surely always be happy.","April 27, 2026"
2,11,conan,Indonesia,Couple,Superior King Room,Stayed 1 night in October 2025,10.0,Exceptional,Strategic location near the mall.,"Clean room, complete facilities, varied breakfast, friendly staff. Recommended.","October 23, 2025"
2,12,Diah,Indonesia,Family with teens,Superior Twin Room,Stayed 1 night in December 2024,10.0,Exceptional,Short trip with family,"The location is strategic, the breakfast is delicious and complete with friendly service, the facilities are quite good, and it is comfortable, thank you.","January 13, 2025"
2,13,dhanny,Indonesia,Family with young children,Deluxe King Room,Stayed 1 night in January 2026,10.0,Exceptional,Good place,"This property offers great value with a prime location, impeccable cleanliness, and friendly staff that truly enhance the experience. The facilities are top notch, featuring a lovely pool and a delicious breakfast that caters to all tastes. Convenient access to the airport and transport options make it easy to get around, ensuring a hassle-free stay. Overall, a fantastic choice for anyone looking for a comfortable and enjoyable getaway","January 15, 2026"
2,14,Aang,Indonesia,Family with teens,Superior King Room,Stayed 1 night in January 2026,10.0,Exceptional,Proportional,"Comfortable place, decent facilities, okay food, but the towel I received was a bit ragged and I even thought of using it to wipe my feet.","March 25, 2026"
2,15,Anggraeni,Indonesia,Family with teens,Deluxe King Room,Stayed 2 nights in December 2025,9.2,Exceptional,Exceptional,"A comfortable hotel in the center of Depok, it's a bit difficult to find parking, but the hotel staff will assist you. The hotel area is very close to public spots and since it's located near Dmall, it's easier to find places to eat, shop, etc. Overall, it's very enjoyable to stay here, only the bathroom has a somewhat small space.","December 26, 2025"
2,16,Feby,Indonesia,Solo traveler,Deluxe Twin Room,Stayed 1 night in April 2026,10.0,Exceptional,Experience of staying over,"Strategic location, very helpful when the kids are taking the SNBT exam. There is a special breakfast for those who will take the exam.. thank you..","April 25, 2026"
2,17,Ali,Indonesia,Family with young children,Superior King Room,Stayed 1 night in March 2026,8.8,Excellent,Santika Depok,"The entire staff is very friendly and the breakfast is very delicious and varied, you must try staying here.","March 28, 2026"
2,18,sheila,Indonesia,Group,Superior King Room,Stayed 4 nights in December 2025,10.0,Exceptional,Exceptional,"Stay here for 5 days, friendly and very helpful staff, strategic location, delicious breakfast all around. Comfortable, will be back here next year.","December 22, 2025"
2,19,Takanori,Japan,Business traveler,Deluxe King Room,Stayed 3 nights in February 2025,8.4,Excellent,A hearty breakfast.,"The room is on the 25th to 27th floors, so the view is good. The breakfast has a variety of options and is delicious, so I think it's worth going for the breakfast alone. The rooms are also clean. However, this time I reserved three deluxe queen rooms, but during check-in, I was told that one room has no window, and for some reason, I had to stay in a room without a window, which I find unacceptable.","March 02, 2025"
2,20,NOVITA,Indonesia,Family with young children,Deluxe King Room,Stayed 1 night in April 2026,10.0,Exceptional,Happy Child,"Family happiness exists only in the happiness of the children; if the children are happy, the family will surely always be happy.","April 27, 2026"
3,21,Nova,Indonesia,Family with young children,Superior King Room,Stayed 2 nights in May 2024,10.0,Exceptional,Exceptional,The location is strategic... Comfortable for staying here with kids... Everything is clean... Breakfast is also delicious... The swimming pool has floats provided for kids.,"May 25, 2024"
