page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
1,1,Yosef,Indonesia,Family with young children,Deluxe Room Queen,Stayed 3 nights in March 2026,10.0,Exceptional,Liburan hari raya,"Staf yg ramah mulai dari lobby, reception, security dan staf restoran, Ragam menu yv varian lumayan banyak, tiap hari selalu ada menu baru Kebersihan ok bangat","March 21, 2026"
1,2,Yoyok,Indonesia,Family with teens,Superior Room Queen,Stayed 2 nights in March 2025,9.2,Exceptional,Great Hotel di jantung kota,"Hotel terbaik di kota ini, menawarkan lokasi yang sangat strategis. Dengan segala fasilitas. Juga menyediakan makan sahur ketika bepergian di bulan Ramadhan","September 26, 2025"
1,3,Yani,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in April 2024,10.0,Exceptional,LIBURAN SINGKAT,"Kamar bersih, nyaman, pelayanan memuaskan. Datang bawa anak tanpa suami karena suami sedang ada urusan dulu. Alhamdulillah di sambut dengan baik, dilayani dengan baik. Datang langsung di kasih minuman. Tidak menunggu lama akhirnya kamar sudah ready. Kolam renang bersih, playground bersih dan aman. makanan banyak variant nya, dan enak. Untuk lokasi strategis sekali. kemana-mana enak jalan kaki. Insyaallah jika ke tasik akan balik kembali ke santika. Terimakasih banyak hotel santika","July 29, 2024"
1,4,GABSIK,South Korea,Solo traveler,Superior Room Queen,Stayed 2 nights in March 2025,10.0,Exceptional,적극 추천,위치도 좋고 직원들도 친절하고 음식도 맛있다. 하지만 장기간 머물면 식사가 조금 단조롭다고 느낄수 있다. 그리고 .Gym과 수영장은 다른 호텔과 비교했을때 다소 아쉬운 부분이 있다. 그렇지만 전반적으로 훌륭하다. 적극 추천.,"November 21, 2025"
1,5,Tiara,Indonesia,Couple,Superior Room Twin,Stayed 1 night in May 2026,10.0,Exceptional,Satu tempat untuk segala,"Karena tempat hotel yg strategis,kita bisa melancong ke semua tempat. Mulai dr makanan,mall,cafe,dll. Mesjid agung,jalan HZ, pokonya joss","May 02, 2026"
2,6,reina,Indonesia,Family with young children,Deluxe Room Queen,Stayed 1 night in April 2025,10.0,Exceptional,Good place to staycation,"Santika Hotel always be our family favorite. The room, pool, food and staff are best","April 10, 2025"
2,7,Seni,Indonesia,Couple,Superior Room Queen,Stayed 1 night in March 2026,10.0,Exceptional,Libur lebaran di Santika hotel,Tasik Malaya tumben panas bngt ngadem nyaman di Santika hotel Tasik Malaya,"March 28, 2026"
2,8,Reja,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in September 2025,10.0,Exceptional,Tempat menginap favorit keluarga jika ke tasikmalaya,Ini hotel langganan saya ketika ketasik ampir 1 bulan sekali nginep disini karna harus nengok anak yg pesantren di tasikk....makanna ok kolam renang ok...tempat gym bagus...Deket dg pusat kota...pokonya kozy bgt buat kami sekeluarga,"October 16, 2025"
2,9,Rosma,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in November 2025,10.0,Exceptional,Happy with santika,"Kamarnya as always nyaman dan bersih, kamar mandi juga bersih, pelayanan semua memuaskan dan juga makanannya bervariasi dan enak2","November 12, 2025"
2,10,Slamet,Indonesia,Couple,Superior Room Queen,Stayed 1 night in October 2025,10.0,Exceptional,Hotel termewah di tasik,Breakfast nya sgt enak kamar bersih mewah lokasi strategis kolam renang luas,"October 13, 2025"
3,11,Kuntje,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in October 2025,10.0,Exceptional,Ke Tasikmalaya ya ke Santika Hotel,Saya beserta iistri kalau ke Tasik ya pasti ngineo nya di Santika Hotel karena dari sejak pertama nginep sampai dengan sekarang tidak pernah di kecewakan baik dari layanan nya fasilitas nya sampai dengan sarapan pagi nya dan satu hal lokasi nya yang sangat strategis dgn jalan kaki sudah bisa menjangkau yg kita inginkan Makanya kalau ke Tasik saya tidak pernah tidur di Hotel yang lain.,"October 04, 2025"
3,12,Arma,Indonesia,Business traveler,Deluxe Room Queen,Stayed 1 night in March 2025,10.0,Exceptional,Hotel nyaman,"Hotel terbaik di Tasikmalaya dengan sarapan yg enak, kamar yang nyaman, dan lokasi yang strategis di pusat kota. Tempat parkir mobil banyak dan banyak tempat kuliner di sekitar hotel.","March 17, 2025"
3,13,Pany,Indonesia,Couple,Superior Room Queen,Stayed 1 night in May 2025,9.2,Exceptional,Hotel worth it di tasik,"Salah satu hotel yang nyaman, luas, di pusat kota dan kolam renang yang cukup besar","June 03, 2025"
3,14,Agnes,Australia,Couple,Superior Room Queen,Stayed 2 nights in May 2024,10.0,Exceptional,Good Hotel in town,"Room was spacious with city view. Breakfast was fabulous, tasty and varied. Good value of money","June 18, 2024"
3,15,Gilanh,Indonesia,Business traveler,Superior Room Twin,Stayed 1 night in April 2025,10.0,Exceptional,Business Trip Tasik,"Menginap di Santika Saya mendapatkan pengalaman yang Bagi, pelayanannya ramah, kamarnya Lengkap kecuali kulkas mini belum ada atau mungkin kamar yg saya pesan, sarapan diiringi dengan kacapi dan tembang Sunda adalah spesial, Overall Good 9/10","April 14, 2025"
