page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
1,1,Hendrik Trigunawan,19 May 2026,Trip Keluarga,"5,0","Hotel pertama di bandung, emang best banget",Verified review from tiket.com
1,2,MN,9 May 2026,Trip Solo,"5,0",Sangat luar biasa santika always good choices for stay! Informative concierge service.,Verified review from tiket.com
1,3,Chika klarissa,28 Apr 2026,Trip Keluarga,"5,0",Tempatnya deket ke mall!,Verified review from tiket.com
1,4,Yeoung Yi,25 Apr 2026,Trip Solo,"5,0",Shared play area available.,Verified review from tiket.com
1,5,Akbar Yoga Prastya,14 Apr 2026,Perjalanan Bisnis,"5,0",okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Verified review from tiket.com
2,1,BS,8 Apr 2026,Perjalanan Bisnis,"5,0","Friendly customer service. Affordable costs, premium service. Access to rural areas.",Verified review from tiket.com
2,2,VA,7 Apr 2026,Trip Solo,"5,0",High cleanliness standard. Fun family activity.,Verified review from tiket.com
2,3,Yoga Pratama,7 Apr 2026,Trip Keluarga,"5,0",A clean atmosphere is maintained. Family-friendly interior. Special international dishes.,Verified review from tiket.com
2,4,Janitra Maharddhika,30 Mar 2026,Perjalanan Bisnis,"5,0",Close to a busy shopping center.,Verified review from tiket.com
2,5,ADITYA OKTAVIANTO,21 Feb 2026,Trip Keluarga,"5,0",Creative kids' programs available.,Verified review from tiket.com
3,1,Rafik Hasyim,20 Feb 2026,Trip Solo,"5,0",Hygiene is top-notch. Spacious parking. Budget lodging. The dishes served are delicious. Near shopping centers.,Verified review from tiket.com
3,2,WW,18 Feb 2026,Trip Keluarga,"5,0",Quality towels. Neat and organized. Best for your wallet!. Responsive and smart staff.,Verified review from tiket.com
3,3,Miftah Fadil Nasution,13 Feb 2026,Perjalanan Bisnis,"5,0",Rooms are well-polished. Advanced security system. Stunningly beautiful interior.,Verified review from tiket.com
3,4,MK,7 Feb 2026,Trip Solo,"5,0",Easy access to museums. Easy access to museums.,Verified review from tiket.com
3,5,DN,5 Feb 2026,Trip Solo,"5,0","Hotel yg menyenangkan dan tenang, parkiran luas",Verified review from tiket.com
4,1,BH,2 Feb 2026,Trip Keluarga,"5,0",Berkwsan sekali lokasi strategis,Verified review from tiket.com
4,2,Bayu Setiawan,27 Jan 2026,Trip Keluarga,"5,0",Lokasinya strategis dekat dari mal dan beberapa lokasi wisata kuliner. Pelayanannya ramah dan kamarnya luas dan bagus.,Verified review from tiket.com
4,3,RH,21 Jan 2026,Trip Solo,"5,0","Bagus,bersih,nyaman,enak.................",Verified review from tiket.com
4,4,LS,19 Jan 2026,Trip Solo,"5,0","Breakfastnya enak, kamarnya bagus, nyaman, bersih",Verified review from tiket.com
4,5,Sandi Priyandi,19 Jan 2026,Perjalanan Bisnis,"5,0",Comfy children's bed.,Verified review from tiket.com
5,1,Rifki Aditya Pahlawan,19 Jan 2026,Perjalanan Bisnis,"5,0","Lokasi strategis,kesan klasik,staff ramah dan responsif,",Verified review from tiket.com
5,2,miftahul jannah,15 Jan 2026,Trip Keluarga,"5,0","Sesuai harga, lokasi strategis, variasi makanan juga banyak, rasanya ok.",Verified review from tiket.com
5,3,FA,15 Jan 2026,Trip Keluarga,"5,0",Children's pool available. Fast parking service. Comfortable family room.,Verified review from tiket.com
5,4,E Nuryadin,14 Jan 2026,Trip Keluarga,"5,0",Cocok banget..Mantep dan profesional,Verified review from tiket.com
5,5,MP,11 Jan 2026,Trip Keluarga,"5,0",Support facilities for pregnant women. Authentic taste is felt.,Verified review from tiket.com
6,1,SP,9 Jan 2026,Trip Keluarga,"5,0","Bagus, sarapan enak, oke bangeeeeeeeeeeet",Verified review from tiket.com
6,2,MF,6 Jan 2026,Trip Keluarga,"5,0",Delicious traditional dishes. High-quality breakfast offerings.,Verified review from tiket.com
6,3,HS,5 Jan 2026,Trip Keluarga,"5,0","hotel nya bagus, semua pelayanan n fasilitasnya juga oke",Verified review from tiket.com
