page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
2,1,SN,28 April 2026,Trip Keluarga,"5,0","Hotel nya bersih & bagus. Dekat kemana2,.nyambung jg sm mall. Byk tempat makan",Ulasan terverifikasi dari tiket.com
2,2,Ayu Oktaviani,26 April 2026,Trip bareng Teman,"4,0","Ditengah kota , dekat dengan tempat makan",Ulasan terverifikasi dari tiket.com
2,3,Fathul Jamil,23 April 2026,Trip Keluarga,"5,0","Pelayanan ramah, kamar bersih, kolam renangnya asik, makanannya enak, rekomen deh",Ulasan terverifikasi dari tiket.com
2,4,Nabilah Alisdiyanti,18 April 2026,Perjalanan Sendirian,"5,0",Kamar-kamar dibersihkan dengan sangat teliti.,Ulasan terverifikasi dari tiket.com
2,5,AKU,17 April 2026,Trip Pasangan,"4,0",Suasana artistik. Kursi santai tepi kolam renang yang bergaya.,Ulasan terverifikasi dari tiket.com
3,1,Deddy Susanto,12 April 2026,Trip Keluarga,"5,0","Suasana sederhana. Harga terjangkau, kualitas tinggi.",Ulasan terverifikasi dari tiket.com
3,2,DI DALAM,6 April 2026,Perjalanan Bisnis,"5,0","Kebersihannya sangat mencolok. Hemat uang, pelayanan prima.",Ulasan terverifikasi dari tiket.com
3,3,Letnan,2 April 2026,Trip Keluarga,"5,0",Kebersihan sangat baik. Tersedia area bebas rokok. Sarapan lezat dan beragam.,Ulasan terverifikasi dari tiket.com
16,3,Thoriq Ganang Prakoso,30 November 2025,Perjalanan Bisnis,"4,0","Dekat dengan pusat seni. Area parkir luas. Kolam renang bersih berkilau. Hemat uang, kualitas tak tertandingi. Staf ramah dan penuh perhatian.",Ulasan terverifikasi dari tiket.com
16,4,Yukihi,16 November 2025,,"4,0","Pusat perbelanjaan berada di gedung yang sama, yang sangat praktis.",Ulasan terverifikasi dari Expedia
16,5,DAN,13 November 2025,Trip Pasangan,"5,0",Pemandangan indah. Kamar sangat bersih.,Ulasan terverifikasi dari tiket.com
17,1,Deni maulan,13 November 2025,Trip Pasangan,"5,0",Hotel enak untuk healing,Ulasan terverifikasi dari tiket.com
17,2,DM,13 November 2025,Trip Keluarga,"5,0",Hotel teryaman di bogor,Ulasan terverifikasi dari tiket.com
17,3,Deodatus Butar Butar,6 November 2025,Perjalanan Bisnis,"5,0",Kebersihan terjamin.,Ulasan terverifikasi dari tiket.com
17,4,Faturohman,6 November 2025,Trip Pasangan,"4,0",Lampu ruangannya gelap,Ulasan terverifikasi dari tiket.com
17,5,Anidya Dwi Putrina,6 November 2025,Trip Keluarga,"5,0",Sampai jumpa!,Ulasan terverifikasi dari tiket.com
18,1,Nurkhalis hidayatullah,3 November 2025,Trip Keluarga,"5,0",dibantu reschedule dan diupgrade,Ulasan terverifikasi dari tiket.com
19,1,RR,29 September 2025,Perjalanan Sendirian,"4,0",.......................,Ulasan terverifikasi dari tiket.com
19,2,Deni maulan,28 September 2025,Trip Keluarga,"4,0",Hotel bagus di Bogor,Ulasan terverifikasi dari tiket.com
19,3,Nafi Ahmad,24 September 2025,Trip Keluarga,"5,0",Fasilitas bersih dan terawat dengan baik.,Ulasan terverifikasi dari tiket.com
19,4,raditiya cesar prananda,23 September 2025,Trip Keluarga,"5,0",Bersih dan rapi. Makanan lezat. Hidangan khas lokal. Tidak ada gangguan suara dari luar. Staf cekatan dan tepat waktu.,Ulasan terverifikasi dari tiket.com
