page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
1,4,Ayu Pradipta,25 April 2026,Trip Keluarga,"4,0","Bagus, ramah dan lengkap",Ulasan terverifikasi dari tiket.com
1,5,Dan Triwiyanto,22 April 2026,Trip Pasangan,"5,0","Hotel yg nyaman, pelayanan good, next akan kesini lg",Ulasan terverifikasi dari tiket.com
2,1,Papi Cb,22 April 2026,Trip Keluarga,"5,0",Hidangan segar dan lezat. Akses parkir mudah. ​​Kolam renang sangat bersih.,Ulasan terverifikasi dari tiket.com
2,2,Praktik Abiy,20 April 2026,Perjalanan Bisnis,"5,0",Hotel bersih dan lokasi yang strategis. Dekat pusat kota dan kuliner.,Ulasan terverifikasi dari tiket.com
2,3,Ika Syahriany,17 April 2026,Trip Keluarga,"5,0",Bagus tp perlu renov krn sdh old,Ulasan terverifikasi dari tiket.com
2,4,Mifthaul Jannah,13 April 2026,Trip Keluarga,"4,0",Hotelnya aga tua. Tapi katanya mereka mau upgrade ke bintang 4 loh bulan mei ini,Ulasan terverifikasi dari tiket.com
2,5,Dwi Anggraini,9 April 2026,Perjalanan Bisnis,"4,0","Hotel terjangkau, pilihan terbaik. Staf selalu siap melayani.",Ulasan terverifikasi dari tiket.com
3,1,Ahmad Ridho Catur Prakarsa,8 April 2026,Trip Keluarga,"5,0","Hotelnya ok, nyaman, fasilitas bagus, staff nya ramah dan membantu, akses mudah.. Mantapp",Ulasan terverifikasi dari tiket.com
3,2,Rusli S Wibawa,8 April 2026,Trip Keluarga,"3,0",AC kurang dingin Showernya rusak,Ulasan terverifikasi dari tiket.com
3,3,RS,7 April 2026,Trip Keluarga,"5,0","Harga terendah, pemandangan spektakuler.",Ulasan terverifikasi dari tiket.com
3,4,Riantara Herprianda,6 April 2026,Trip Keluarga,"4,0","Bagus, tapi bangunannya sudah tua dan perlu maintenance seperti ac kamar saya tidak dingin awalnya lalu pindah kamar",Ulasan terverifikasi dari tiket.com
3,5,FR,5 April 2026,Perjalanan Sendirian,"5,0",Rapi dan terorganisir. Ranjang anak yang nyaman. Menu yang inovatif.,Ulasan terverifikasi dari tiket.com
4,1,Faisal Agung,2 April 2026,Trip Keluarga,"4,8",Bagus banget lokasi bagus kolamnya bagus,Ulasan terverifikasi dari tiket.com
11,5,Imam Maulana,29 November 2025,Perjalanan Bisnis,"5,0",Sarapan ini cocok untuk anak-anak. Rasanya luar biasa.,Ulasan terverifikasi dari tiket.com
12,1,Safrizal Havia Fazri,28 November 2025,Trip Keluarga,"4,8",Hotelnya nyaman bersih adem Menu sarapannya bervariasi dan rasanya enak,Ulasan terverifikasi dari tiket.com
12,2,PP,27 November 2025,Perjalanan Bisnis,"5,0","good view, sangat dekat dari stasiun dan kamarnya luas 👍🏻",Ulasan terverifikasi dari tiket.com
12,3,PW,25 November 2025,Perjalanan Sendirian,"5,0",Kamarnya bersih dan nyaman. Interiornya estetis.,Ulasan terverifikasi dari tiket.com
12,4,Susanto Susanto,24 November 2025,Trip Keluarga,"5,0",Liburan yg menyenangkan bersama keluarga didukung dgn tiket.com,Ulasan terverifikasi dari tiket.com
12,5,Fransisca Meike Suwandi,20 November 2025,Perjalanan Sendirian,"4,2","OK untuk frontliner, service dari team di resto, kamar lega dingin amenities ok, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan. cuma yang sangat kurang adalah saya menginap di kamar 305, kenyamanan saat tidur sangat kurang karena di kamar berisik sekali bunyi mesin gitu entah dari AC atau apa didalam kamar dan membuat tidur tidak nyenyak dan itu terjadi di malam hari. sudah disampaikan ke frontliner tapi tidak ada tanggapan lebih lanjut hanya memastikan ""tapi dingin kan bu"". yaudah itu aja.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
13,1,FR,19 November 2025,Perjalanan Sendirian,"5,0",Menyajikan hidangan khas daerah. Keamanan parkir terbaik. Hemat biaya.,Ulasan terverifikasi dari tiket.com
13,2,DARI,14 November 2025,Perjalanan Bisnis,"5,0",Fasilitas yang bersih. Interior yang trendi. Pemandangan kota yang fantastis. Area parkir yang luas. Staf yang ahli dan energik.,Ulasan terverifikasi dari tiket.com
13,3,Agam inaldi akbar,10 November 2025,Perjalanan Bisnis,"5,0","Pengaturan Air panas rusak, terlalu panas atau terlalu dingin sisanya menakjubkan",Ulasan terverifikasi dari tiket.com
13,4,Agam inaldi akbar,10 November 2025,Perjalanan Bisnis,"5,0","Kebersihan dan makanannya sangat bagus, air shower terlalu kecil",Ulasan terverifikasi dari tiket.com
13,5,Berkah,9 November 2025,Trip Pasangan,"2,0","Stafnya baik, kondisi hotel perlu direnovasi.",Ulasan terverifikasi dari Expedia
15,1,ermi suganda,24 September 2025,Trip Keluarga,"4,0","Sdh 2x nginep dsni krn sepi enk utk refreshing otak, liburan ank”, kolam nya luas, karyawan nya ramah”",Ulasan terverifikasi dari tiket.com
15,2,Dera Abdurrachman Iskandar,19 September 2025,Perjalanan Bisnis,"4,0",Suasana kolam renang yang menyegarkan.,Ulasan terverifikasi dari tiket.com
15,3,GS,14 September 2025,Perjalanan Bisnis,"4,0",Cukup ok untuk menginap trip bisnis,Ulasan terverifikasi dari tiket.com
