page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
1,1,Wakil Presiden,20 Mei 2026,Perjalanan Sendirian,"3,0",Fasilitas parkir modern.,Ulasan terverifikasi dari tiket.com
1,2,Okvia Nedia Suryo U,13 Mei 2026,Trip Pasangan,"4,0",Receptionist cepat & tanggap. Ada welcome drink. Kamar dan fasilitas lain standar hotel pada umumnya. Makanan lumayan enak namun ketika habis lama untuk refillnya. Kapasitas parkir di rooftop sedikit sehingga harus di parkiran mall yang akses nya ditut Excellent babysitting service.Lihat lebih sedikit,Ulasan terverifikasi dari tiket.com
1,3,Asep Awaludin,12 Mei 2026,Trip Keluarga,"5,0",Tidak pernah kecewa klo menginap di santika..,Ulasan terverifikasi dari tiket.com
1,4,Mesin virtual,12 Mei 2026,Trip bareng Teman,"4,0","Pelayanan staffnya ramah, kamarnya bersih dan wangi. Makanannya lumayan enak.",Ulasan terverifikasi dari tiket.com
1,5,Feri Sontani,11 Mei 2026,Trip Pasangan,"5,0",Resepsionis profesional.,Ulasan terverifikasi dari tiket.com
2,1,Hary Purwanto,8 Mei 2026,Perjalanan Sendirian,"4,6",Bagus Bersih Ramah Minus nya ngga ada lemari es di kamar,Ulasan terverifikasi dari tiket.com
2,2,Kinasih Wahyu Ningtyas,7 Mei 2026,Trip Pasangan,"4,0",Terimakasih untuk fasilitasnya,Ulasan terverifikasi dari tiket.com
2,3,Tahan Jeritan Won Maralo Sidabutar,4 Mei 2026,Trip bareng Teman,"4,0",Kalo sdh malam susah pesan grab food karna gak bisa naek ke lt 5 harus dijemput ka parkiran jayen,Ulasan terverifikasi dari tiket.com
2,4,MS,24 April 2026,Trip bareng Teman,"3,0",Oke utk stay night & sarapannya oke juga,Ulasan terverifikasi dari tiket.com
2,5,Savitrie Oktavia,23 April 2026,Trip Pasangan,"4,6",sangat oke tempatnya,Ulasan terverifikasi dari tiket.com
3,1,Hendra Marbun,9 April 2026,Perjalanan Sendirian,"5,0","Hotel bagus, kamar dalam kondisi baik dan pelayanannya ramah.",Ulasan terverifikasi dari tiket.com
3,2,Naomi Chintia,8 April 2026,Trip Keluarga,"5,0","Sayang bgt budget hotel 500rb tapi bukan smart TV 😭 But overall okay, makanan juga enak bingit. Thankyou Santika ❤",Ulasan terverifikasi dari tiket.com
3,3,FR,5 April 2026,Perjalanan Sendirian,"5,0",Program keamanan keluarga. Secara keseluruhan bersih.,Ulasan terverifikasi dari tiket.com
3,4,DP,4 April 2026,Perjalanan Bisnis,"5,0",Fasilitas kebugaran eksklusif. Hidangan penutup yang lezat.,Ulasan terverifikasi dari tiket.com
3,5,Anggun Nurdiani,2 April 2026,Trip Keluarga,"5,0","Staf ramah semua,AC kurang dingin",Ulasan terverifikasi dari tiket.com
4,1,Reza Ricquardo Karouw,1 April 2026,Perjalanan Sendirian,"4,2","Semuanya oke, kecuali akses parkir motor & balkon yang kotor banget! FYI Mall tutup jam 9, jadi kalau mau jajan direstonya mall better dari jam 7, karena jam 8 sudah close order. Other than that semuanya niceLihat lebih sedikit",Ulasan terverifikasi dari tiket.com
4,2,Fajar Triawan,1 April 2026,Trip Keluarga,"4,0",Tempat strategjs dekat dengan tempat perbelanjaan,Ulasan terverifikasi dari tiket.com
4,3,A A,31 Maret 2026,Trip Keluarga,"5,0",Selalu menyenangkan! dengan pilihan menu sarapan hemat yang banyak,Ulasan terverifikasi dari tiket.com
4,4,ITU,31 Maret 2026,Trip Keluarga,"5,0",Staf yang responsif dan ramah.,Ulasan terverifikasi dari tiket.com
4,5,Daniel Barkah,30 Maret 2026,Trip Keluarga,"5,0",Aktivitas menyenangkan untuk anak-anak.,Ulasan terverifikasi dari tiket.com
5,1,Reffi Sugra Imran,27 Maret 2026,Trip Keluarga,"4,8","Hotelnya nyaman, dibawah ada mallnya",Ulasan terverifikasi dari tiket.com
5,2,Ecep Bayu Wahyudi,27 Maret 2026,Perjalanan Bisnis,"4,0","Enak dan bersih, lagi puasa sarapannya bisa buat sahur",Ulasan terverifikasi dari tiket.com
5,3,Nursauli Patricia T,25 Maret 2026,Trip Keluarga,"5,0","Petugas murah senyum, ramah, akses mudah.",Ulasan terverifikasi dari tiket.com
5,4,TN,23 Maret 2026,Perjalanan Bisnis,"5,0",Suasana bersih di seluruh area. Fasilitas bisnis lengkap. Resepsionis ramah.,Ulasan terverifikasi dari tiket.com
5,5,DAN,23 Maret 2026,Trip Pasangan,"5,0",Suasana bersih dan menyegarkan. Banyak pilihan makanan sehat. Penawaran super. Suasana nyaman seperti di rumah. Resepsionis ramah dan ramah anak.,Ulasan terverifikasi dari tiket.com
6,1,R.A. Rahman,23 Maret 2026,Trip Keluarga,"5,0","Kamarnya nyaman, sarapan pagi enak enak menunya, favorite menginap dibekasi",Ulasan terverifikasi dari tiket.com
6,2,Yuni Damayanti,10 Maret 2026,Trip Keluarga,"5,0",Rapi dan terawat dengan baik.,Ulasan terverifikasi dari tiket.com
6,3,YASSER ARRAFAT,3 Maret 2026,Trip Keluarga,"5,0","Parkir mudah, pelayanan check in dan check out baik..kebersihan dan fasilitas kamar terjaga dengan baik.. Terima kasih",Ulasan terverifikasi dari tiket.com
6,4,Hamid Roziko,2 Maret 2026,Trip Keluarga,"5,0",Room nya nyaman buat stay dengan keluarga,Ulasan terverifikasi dari tiket.com
6,5,iit lukita febriyati,2 Maret 2026,Perjalanan Bisnis,"5,0","Kamar bersih, sarapan variatif dan enak",Ulasan terverifikasi dari tiket.com
7,1,ZF,25 Februari 2026,Trip Keluarga,"5,0",Tempat peristirahatan dengan kolam renang yang indah. Pelayanan yang luar biasa.,Ulasan terverifikasi dari tiket.com
7,2,ZF,25 Februari 2026,Trip Keluarga,"5,0",Kebersihan area parkir sangat baik. Kolam renang yang menakjubkan.,Ulasan terverifikasi dari tiket.com
7,3,ZF,25 Februari 2026,Trip Keluarga,"5,0",Layanan pesan antar makanan tersedia. Berlokasi di kawasan industri. Staf yang luar biasa dan cerdas.,Ulasan terverifikasi dari tiket.com
7,4,ZF,25 Februari 2026,Trip Keluarga,"5,0",Lokasi strategis untuk keluarga. Kursi santai tepi kolam renang yang bergaya.,Ulasan terverifikasi dari tiket.com
7,5,Lutfiah Sari Gumelar,20 Februari 2026,Trip Keluarga,"4,8","Minusnya lebih di kolam renang kurang oke aja, kamar nyaman banget, bersih. Makanan variasi dgn rasa lumayan. Staff helpfull dan ramah",Ulasan terverifikasi dari tiket.com
8,1,Afrian Afrian,17 Februari 2026,Trip Pasangan,"5,0",Kamar terang dan bersih. Kamar mandi bergaya spa.,Ulasan terverifikasi dari tiket.com
8,2,JIKA,16 Februari 2026,Trip Pasangan,"5,0",Sinyal Wi-Fi kuat.,Ulasan terverifikasi dari tiket.com
8,3,II,16 Februari 2026,Perjalanan Sendirian,"5,0",Tersedia sambungan TV kabel. Akses mudah.,Ulasan terverifikasi dari tiket.com
8,4,Selvie Rianita,16 Februari 2026,Perjalanan Sendirian,"5,0",Bagus. Lingkungannya sangat bersih.,Ulasan terverifikasi dari tiket.com
8,5,Octy Anggariny,14 Februari 2026,Perjalanan Bisnis,"4,0",Hotelnya bersih tapi tidak harum.,Ulasan terverifikasi dari tiket.com
9,1,MK,9 Februari 2026,Lainnya,"4,6","Kasur dan Handuk sedikit kotor, kondisi ac tidak berfungsi baik, lumayan bising kareng suara outdoor ac di balkon terdengar sampai dalam.",Ulasan terverifikasi dari tiket.com
9,2,TETAPI,8 Februari 2026,Trip bareng Teman,"4,6",utk keberihan Room nya okee. sarapan pagi enak..,Ulasan terverifikasi dari tiket.com
9,3,DENGAN,5 Februari 2026,Perjalanan Bisnis,"3,0",Staf yang ramah terhadap anak.,Ulasan terverifikasi dari tiket.com
9,4,Muhammad Alif Al Farisi,4 Februari 2026,Perjalanan Sendirian,"5,0",Pencahayaan sangat baik. Kamar sangat bersih.,Ulasan terverifikasi dari tiket.com
9,5,panduan Q,4 Februari 2026,Perjalanan Bisnis,"4,0","Sangat bersih, segar, dan nyaman.",Ulasan terverifikasi dari tiket.com
10,1,Kristina Siagian,3 Februari 2026,Trip Keluarga,"4,0",Kamar-kamar yang bagus tampak berkilau.,Ulasan terverifikasi dari tiket.com
10,2,YS,2 Februari 2026,Trip Keluarga,"5,0",Terletak di sekitar taman nasional.,Ulasan terverifikasi dari tiket.com
10,3,DI DALAM,30 Januari 2026,Perjalanan Sendirian,"4,8","Sarapan enak, lengkap luas tempatnya……..",Ulasan terverifikasi dari tiket.com
10,4,Anindita Millenika Sasmita,28 Januari 2026,Perjalanan Sendirian,"5,0",mantappppopppoopoooopoooooooooppppppppppppp,Ulasan terverifikasi dari tiket.com
10,5,Wigati Nurfadilah Soeparman Putri,27 Januari 2026,Trip Pasangan,"5,0","Hotel oke, makanan enak, sempet trouble karna AC tidak dingin. Ternyata disarankan untuk ganti kamar",Ulasan terverifikasi dari tiket.com
11,1,Meilinda Pratiwi,25 Januari 2026,Trip Keluarga,"4,0","Kamarnya oke, tapi saya baru tahu kalau harus masuk dari mal. Agak jauh untuk masuk, harus naik ke lantai 5 dan melewati mal. Jadi kalau pulang malam hari, jalannya gelap.",Ulasan terverifikasi dari tiket.com
11,2,DK,24 Januari 2026,Trip Pasangan,"4,0","staf ramah, kamar bersih, cuma kalo bisa tvnya di upgrade ke smart tv semua",Ulasan terverifikasi dari tiket.com
11,3,Miranti Dewi Septriana,20 Januari 2026,Perjalanan Sendirian,"5,0",Hotelnya bagus keren mewah ada di mall jadi bs shopping makan,Ulasan terverifikasi dari tiket.com
11,4,M N,19 Januari 2026,Trip Keluarga,"5,0","Okehh, ruang keluarga pribadi tersedia.",Ulasan terverifikasi dari tiket.com
11,5,Nadaa Salsabiila Nuri,19 Januari 2026,Trip Pasangan,"5,0","Bagus, sarapannya juga enak, lokasi strategis",Ulasan terverifikasi dari tiket.com
12,1,DARI,17 Januari 2026,Trip Keluarga,"5,0",Layanan pramutamu profesional.,Ulasan terverifikasi dari tiket.com
12,2,Ritza Aries Munandar,17 Januari 2026,Trip Keluarga,"5,0",baguuuus pelayanannya...kamar nya bersih,Ulasan terverifikasi dari tiket.com
12,3,Febi clara Hutabarat,17 Januari 2026,Trip Keluarga,"5,0",Area relaksasi yang tenang.,Ulasan terverifikasi dari tiket.com
12,4,Anggota parlemen,16 Januari 2026,Perjalanan Sendirian,"4,0",Hidangan yang menakjubkan. Seprai berkualitas baik.,Ulasan terverifikasi dari tiket.com
12,5,FM,16 Januari 2026,Perjalanan Sendirian,"4,2","Bagus. Sangat bersih, segar, dan nyaman.",Ulasan terverifikasi dari tiket.com
13,1,arisperumnasgmailcom arisperumnasgmailcom,16 Januari 2026,Perjalanan Sendirian,"5,0",Gastronomi yang luar biasa.,Ulasan terverifikasi dari tiket.com
13,2,Mellia Ulva,14 Januari 2026,Trip Keluarga,"5,0",Menu breakfast nya aq suka,Ulasan terverifikasi dari tiket.com
13,3,DAN,13 Januari 2026,Trip Pasangan,"5,0","Kamarnya Bagus Sangat bersih, segar, dan nyaman. Taman terawat dengan baik. Ekonomis namun eksklusif.",Ulasan terverifikasi dari tiket.com
13,4,Septian Anryandes,13 Januari 2026,Perjalanan Sendirian,"5,0","Keren, enak, tepat di sebelah mal.",Ulasan terverifikasi dari tiket.com
13,5,Dessy Natalia Harianja,13 Januari 2026,Trip Pasangan,"5,0","Utk kamar secara keseluruhan baik dan bersih... Menu breakfast nya byk bgt, sampai ga sanggup lagi mau cobain yg lain.. Saran saja, mungkin sdh waktunya utk upgrade tv/tontonan yaa.. Thankyou",Ulasan terverifikasi dari tiket.com
14,1,Ade khairunnisa,10 Januari 2026,Trip Keluarga,"5,0",Kebersihan luar biasa. Suasana santai di restoran. Dekorasi tepi kolam renang yang elegan. Harga bersaing. Staf terlatih dengan baik.,Ulasan terverifikasi dari tiket.com
14,2,Hary Purwanto,9 Januari 2026,Trip Keluarga,"4,2",Cukup oke lah utk istirahat,Ulasan terverifikasi dari tiket.com
14,3,DS,7 Januari 2026,Trip Pasangan,"5,0",Kolam renang mewah. Makanan berkualitas bintang lima. Akses transportasi yang mudah.,Ulasan terverifikasi dari tiket.com
14,4,Mella Maulani Saffanah,6 Januari 2026,Trip Keluarga,"5,0","Nyaman banget nginep disini enak banget deket ke mall bisa akses ke mall langsung dari hotel , kamar oke fasilitas juga oke banget",Ulasan terverifikasi dari tiket.com
14,5,Calista Hanurita Rusli,6 Januari 2026,Trip bareng Teman,"5,0","Pelayanan ramah, kamar bersih",Ulasan terverifikasi dari tiket.com
15,1,mastuti mastuti,5 Januari 2026,Trip Keluarga,"3,0",Pintu toilet tidak bisa ditutup di 738 Tidak tersedia mini kulkas sesuatu yg blm pernah saya rasakan setelah menginap dimana²,Ulasan terverifikasi dari tiket.com
15,2,DH,5 Januari 2026,Perjalanan Bisnis,"5,0",Area tempat duduk lobi keluarga. Staf yang ahli dan energik.,Ulasan terverifikasi dari tiket.com
15,3,Muhari Cahyadi,3 Januari 2026,Trip Keluarga,"5,0",Proses check-in cepat. Interior dengan warna-warna ceria.,Ulasan terverifikasi dari tiket.com
15,4,Luqman Hakim,2 Januari 2026,Trip Keluarga,"5,0","Tidak pernah menyesal menginap di sini, selalu menjadi pilihan.",Ulasan terverifikasi dari tiket.com
15,5,Sandra Imelda Lepar,2 Januari 2026,Trip Keluarga,"5,0","AC dingin, Kamar Bersih, Reception Ramah. Sarapan nya Bufee dan Banyak jenisnya dan Enak. Mau nginep lagi.",Ulasan terverifikasi dari tiket.com
16,1,Velicia Vidella,2 Januari 2026,Trip Pasangan,"4,0",Akses parkir yang praktis. Staf yang ramah dan terlatih dengan baik.,Ulasan terverifikasi dari tiket.com
16,2,Gentario Amrina,1 Januari 2026,Trip Keluarga,"5,0","Bagus, nyaman cocok buat liburan keluarga",Ulasan terverifikasi dari tiket.com
16,3,Ryandhita Febriandronikus F,1 Januari 2026,Perjalanan Sendirian,"5,0",Di dalam mall jadi mudah untuk belanja,Ulasan terverifikasi dari tiket.com
16,4,PH,31 Desember 2025,Trip Keluarga,"5,0",Sangat menyenangkan bisa menginap di santika ini karena dari check in hingga check out semua berjalan mantap,Ulasan terverifikasi dari tiket.com
16,5,Azhari Ahmad Annaz,30 Desember 2025,Trip Keluarga,"5,0",Hotel ini untuk Kamar Family Room nya Bagus bgt harga terjangkau fasilitas bagus sarapan pagi juga enak menu restoran nya kami nyaman di Santika Hotel Terima kasih santika 😃,Ulasan terverifikasi dari tiket.com
17,1,SW,29 Desember 2025,Trip Keluarga,"4,0",Kamar bersih dan rapi. Pilihan menu berlimpah. Tempat parkir strategis. Suasana hangat dan nyaman. Kamar bersih.,Ulasan terverifikasi dari tiket.com
17,2,rayya Adila,29 Desember 2025,Trip Pasangan,"5,0",Kebersihan terjaga. Pelayanan luar biasa.,Ulasan terverifikasi dari tiket.com
17,3,Alvin Sentonius,28 Desember 2025,Trip Keluarga,"5,0",Cocok untuk trip keluarga,Ulasan terverifikasi dari tiket.com
17,4,MH,28 Desember 2025,Perjalanan Sendirian,"3,8",Aksesnya saja yg kuras pas khususnya jk lewat jam operasional mall,Ulasan terverifikasi dari tiket.com
17,5,Miranti Dewi Septriana,26 Desember 2025,Perjalanan Sendirian,"5,0",Bagus mewah luas keren,Ulasan terverifikasi dari tiket.com
18,1,Irma widiastuti,22 Desember 2025,Trip Keluarga,"4,0",mantap bangett dekat dengan gerbang tol bekasi barat,Ulasan terverifikasi dari tiket.com
18,2,DC,21 Desember 2025,Trip bareng Teman,"5,0",Area bersih dan hijau. Lingkungan sekitar aman. Rapi dan bersih.,Ulasan terverifikasi dari tiket.com
18,3,Bugi Ardiansyah,17 Desember 2025,Perjalanan Sendirian,"5,0",Kamar-kamarnya sangat bersih dan terawat.,Ulasan terverifikasi dari tiket.com
18,4,Bugi Ardiansyah,17 Desember 2025,Perjalanan Sendirian,"4,0",Kebersihannya tak tertandingi.,Ulasan terverifikasi dari tiket.com
18,5,Rahasiamu,17 Desember 2025,Perjalanan Bisnis,"5,0",Resepsionis yang profesional dan tulus.,Ulasan terverifikasi dari tiket.com
19,1,Rahasiamu,17 Desember 2025,Perjalanan Bisnis,"5,0",Pendingin udara yang sejuk.,Ulasan terverifikasi dari tiket.com
19,2,Victor Albert,7 Desember 2025,Perjalanan Sendirian,"5,0",Kebersihan terjaga maksimal. Desain vintage yang menawan.,Ulasan terverifikasi dari tiket.com
19,3,yudis bhakti putranto,5 Desember 2025,Trip Keluarga,"3,0","Cukup oke, pelayanan jg oke, fasilitas jg oke,",Ulasan terverifikasi dari tiket.com
19,4,ML,4 Desember 2025,Trip Keluarga,"5,0",Kamar bersih dan terawat dengan baik. Parkir terang. Fasilitas modern. Staf ahli dan ramah.,Ulasan terverifikasi dari tiket.com
19,5,Arsita Dewi Kusumaningtyas,2 Desember 2025,Trip Pasangan,"4,0","Mantap banget fasilitas sangat lengkap, breakfast sangat memuaskan enak-enak semua",Ulasan terverifikasi dari tiket.com
20,1,RM,24 November 2025,Trip Keluarga,"5,0",Delicious menu. The parking area is well maintained. Generous pricing. Beautiful minimalist interior. Mesin kopi di kamar bagus dan sangat membantu,Ulasan terverifikasi dari tiket.com
20,2,Septy debby pratiwi,18 November 2025,Perjalanan Sendirian,"5,0",Terawat dan bersih. Desain kontemporer.,Ulasan terverifikasi dari tiket.com
20,3,saipul Imam,18 November 2025,Trip Keluarga,"5,0",Layanan ramah anak.,Ulasan terverifikasi dari tiket.com
20,4,Hotma Megauli,11 November 2025,Trip Keluarga,"5,0","Nginep disana sama mama, tempat tidut nyaman dan sarapannya enak, banyak menunya. Dan staffnya ramah dan kemarin itu saya tidak sengaja pecahin alas kaca di toilet, saya minta dibersihin dan minta diskon ganti rugi dan dikasih heheheLihat lebih sedikit",Ulasan terverifikasi dari tiket.com
20,5,JIKA,13 Oktober 2025,Trip Keluarga,"4,0",Kamar sangat bersih. Fasilitas parkir bagus. Pelayanan membantu. Variasi rasa yang luar biasa.,Ulasan terverifikasi dari tiket.com
21,1,Telinga,13 Oktober 2025,Trip Keluarga,"5,0","Nice stay, semua staff ramah. Mba desi front office best pelayanannya. Pasti datang lagi",Ulasan terverifikasi dari tiket.com
21,2,RISMAWATI RISMAWATI,13 Oktober 2025,Trip Keluarga,"5,0",Sanagt suka kamar nya bantal tidur nya enak,Ulasan terverifikasi dari tiket.com
21,3,SEBUAH,13 Oktober 2025,Trip Pasangan,"5,0","Akses ke hutan lindung tersedia. Akses parkir mudah ditemukan. Suasana kolam renang yang tenang. Hemat biaya, lokasi sangat strategis. Staf terlatih dengan baik.",Ulasan terverifikasi dari tiket.com
21,4,elgha kasanda,11 Oktober 2025,Perjalanan Bisnis,"5,0",Nyaman Wifi perlu diperbaiki,Ulasan terverifikasi dari tiket.com
21,5,elgha kasanda,11 Oktober 2025,Perjalanan Bisnis,"5,0","Nyaman, hanya wifi perlu diperbaiki. Susah signal",Ulasan terverifikasi dari tiket.com
22,1,Luqman Hakim,11 Oktober 2025,Trip Keluarga,"5,0",Layanan resepsionis 24 jam. Layanan resepsionis 24 jam. Area parkir terawat dengan baik. Pelayanan cepat.,Ulasan terverifikasi dari tiket.com
22,2,Oni Andriani,11 Oktober 2025,Perjalanan Bisnis,"5,0",Bagus dan akses mall jadi gampang,Ulasan terverifikasi dari tiket.com
22,3,panduan Q,9 Oktober 2025,Trip Pasangan,"4,0",seru bersih tempatnya,Ulasan terverifikasi dari tiket.com
22,4,Maryam Khomariah,8 Oktober 2025,Trip Keluarga,"4,0",Banyak pilihan makanan di restonya,Ulasan terverifikasi dari tiket.com
