page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
3,5,AP,29 April 2026,Perjalanan Bisnis,"4,0",Makanan super lezat. Lingkungan hijau.,Ulasan terverifikasi dari tiket.com
4,1,Veni Febriany,25 April 2026,Trip Pasangan,"4,0",Bagus sekali,Ulasan terverifikasi dari tiket.com
4,2,Admin Direktorat PDS,24 April 2026,Perjalanan Bisnis,"5,0",Kamar-kamar berkilau. Layanan keluarga khusus. Layanan parkir valet yang efisien. Resepsionis yang ramah dan profesional.,Ulasan terverifikasi dari tiket.com
4,3,TN,19 April 2026,Trip Keluarga,"2,6","Sangat kecewa dengan pelayanan Hotel Santika Tasikmalaya karena adanya pelanggaran privasi yy terjadi pada 19 Maret 2026, di mana staf secara sepihak mencoba membuka pintu kamar menggunakan kunci akses pada pukul 10.35 WIB—saat saya dan istri masih berada di dalam—hanya untuk menanyakan status check-out. Tindakan ini sangat tidak etis dan tidak profesional.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
4,4,heng kiang djie,16 April 2026,Trip Keluarga,"5,0",Kebersihan sangat baik. Banyak pilihan sarapan. Keindahan seni lokal.,Ulasan terverifikasi dari tiket.com
4,5,DAN,16 April 2026,Lainnya,"5,0",Kualitas layanan terbaik. Hidangan yang disajikan lezat. Suasana ramah. Dekat dengan pusat hiburan. Parkir aman.,Ulasan terverifikasi dari tiket.com
5,1,edwin wijaya,12 April 2026,Perjalanan Bisnis,"5,0","Menu yang ditawarkan bervariasi dan lezat. Harganya terjangkau, cocok untuk mendapatkan rating yang bagus.",Ulasan terverifikasi dari tiket.com
5,2,Hendi Saputra,7 April 2026,Trip Keluarga,"3,8",Parkir ramah lingkungan.,Ulasan terverifikasi dari tiket.com
5,3,Sonny Sasotya,7 April 2026,Trip Keluarga,"4,0","Bersih, rapi, dan ramah.",Ulasan terverifikasi dari tiket.com
5,4,NATHAN INDRA GOTAMA,7 April 2026,Perjalanan Sendirian,"5,0",Kamar-kamar dijaga kebersihannya. Taman-taman terawat dengan baik.,Ulasan terverifikasi dari tiket.com
5,5,Yogi Maulana Malik,4 April 2026,Perjalanan Sendirian,"5,0",Tempat nya sangat nyaman dan fasilitas lainnya lengkap,Ulasan terverifikasi dari tiket.com
