url,page,review_index,teks_ulasan,tanggal
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,1,"Ini kali kedua saya dan istri menginap di hotel Heritage. Dua puluh enam tahun lalu saat anak kami masih TK dan SD, kami menginap pertama kalinya di sini. Sekarang saya dan istri sudah pensiun. Kekhasan Santika Cirebon belum hilang dan itu salah satu kelebihannya. Saat kami menginap, hotel ini sedang berbenah untuk mengembalikan kenyamanan buat para pelanggannya biar semakin betah nanti di sini.",Diulas 1 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,2,"Hotel yang direkomendasikan, ramah keluarga, kamar tidurnya luas dan bersih. Menu sarapan bervariasi dan lezat.",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,3,"Staf hotel sangat ramah dan membantu, menu sarapan juga variatif.",Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,4,"Tempatnya nyaman, lokasinya strategis, kamarnya bersih dan kolam renangnya mengenangkan",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,5,"Kalau keluar kota, Hotel Santika selalu jadi pilihan utama, karena punya anak dibawa 8 tahun, untuk sarapannya masih free. Hotelnya terletak di pusat kota tapi cenderung tidak terlalu ramai & macet seperti Jalan Cipto, Tuparev dll. Suasana hotelnya asri, AC kamarnya dingin, makanannya enak-enak. Tadi dapat ayam goreng mentega yang rasanya enak, juga ada donat yang enak & empuk. Thanks untuk all crew Santika Hotel CRB.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,6,"Kami menginap di Santika saat perjalanan pulang dari Solo ke Jakarta. Kami memesan melalui aplikasi, dan mudah mendapatkan kamar. Kami menyukai suasana hotel, kami menyukai sarapannya, stafnya sangat ramah dan membantu. Pasti akan kembali lagi ke Hotel Santika Cirebon.",Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,7,"Yang paling menyenangkan adalah hospitality dari staff-nya, baik itu merespon dengan cepat keinginan dari tamu maupun fasilitas antar jemput yang tersedia.",Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,8,"Seperti biasa, pelayanannya bagus.. ada sedikit masalah yang dilaporkan ke hotel, dan segera teratasi.. Joss
Teruslah bekerja dengan baik, tim.. terima kasih atas keramahannya.",Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,9,AC mati dan penghisap udara kamar mandi mati. Bayangkan suasana kamarnya dan baunya? Bau kotoran semerbak masuk kamar tidur anak kami. Tidak ada tindakan apa-apa sesudah kami mengadu ke pihak hotel.,Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,10,"Kamar bersih, AC dingin, hot & cold shower, sarapan enakkk",Diulas 9 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,11,"Kamar mandi agak mampet tapi room service cepat merespons dan memperbaikinya, nice service.",Diulas 10 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,12,"Tempat bagus, nyaman, tetapi banyak bangunan mulai rusak, perlu perbaikan. Kamar mandi lobi tidak dicek dan dibersihkan. Makanan banyak pilihannya, tetapi taste kurang.",Diulas 12 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,13,"Meskipun bangunannya tua dan beberapa perabotannya juga sudah usang, hotel ini tetap menjadi hotel favorit saya di Cirebon. Mungkin sedikit renovasi akan membuatnya lebih baik lagi...",Diulas 13 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,14,Fasilitas kamar sudah tua tetapi staf ramah.,Diulas 14 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,15,Saya bisa beristirahat dengan nyaman menginap di hotel ini karena suasananya tenang.,Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,16,"untuk masakan yang dihidangkan pada Breakfast harus lebih diperhatikan kembali soal rasa, ada yang keasinan, tanpa rasa terutama pada masakan hidangan ayam harus benar"" diperhatikan rasa dan steril pada aym",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,17,"Jika saya pergi ke Cirebon lagi, saya akan menginap di sini lagi...😊",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,18,"Staf hotel sangat ramah dan membantu saat proses check in. Permintaan agar kamar dekat lift karena membawa lansia, juga diatur dan diberikan. Hotel bersih dan nyaman, hanya saja perabot kayu di kamar agak beraroma kayu tua. Parkiran luas tidak berbayar, karena parkir outdoor, agak sulit jika hujan. Makanan beragam dan menarik namun kualitas rasa dan keseimbangan rasa perlu diperhatikan lagi",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,19,"Alhamdulillah nyaman, lokasi strategis kemana-mana, staf super ramah dan gercep..",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,20,"Hotel ini cukup baik cuma sayang kurang dirawat , banyak hal harus diperhatikan untuk diperbaikin dan dirawat dengan benar , walaupun agak kuno penampakannya tapi kalau dirawat dengan baik harusnya akan jadi hotel pilihan jika saya ke Cirebon lagi.

Secara umum cukup baik , tapi ada beberapa hal yang cukup mengganggu di kamar tempat saya menginap selama 2 malam.
1. Pintu kamar mandi harus dengan agak keras baru bisa tertutup dengan baik
2. Pintu kamar malah tidak bisa dikunci karena patah dan terlihat itu cuma ditempel dari patahan sebelumnya.
3. Shower cukup baik walaupun kadang agak sulit untuk mengatur antara menggunakan shower yg permanen diatas vs shower yg portable karena handle utk switch nya tidak selalu berfungsi dgn baik :)",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,21,Hotel dengan harga terjangkau dan nyaman buat liburan keluarga :),Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,22,"Hotel terbaik di Cirebon, staf sangat membantu dan sarapannya enak.",Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,23,"Kamar luas, staff ramah dan suka menolong, kolam renang oke.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,24,"bangunannya vintage tp nyaman..staf nya ramah, makanannya enak, aplg empal gentongnya..krg nya cuma 1 tdk ada penanda kiblat di kamar.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,25,cek tempat tidurnya sudah ada yang miring terutama yg sy pakai,Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,26,"Staf F&B ramah, tetapi kantor depan tidak.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,27,"Hotel-nya sangat nyaman, strategis di kota Cirebon",Diulas 24 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,28,"Staf front office, bell boy membantu, ramah, baik. Fasilitas kolam renang tidak disediakan handuk, tidak ada staff sama sekali di area kolam renang dan fitness. Nasi jamblang saat breakfast sangat keras, menu lain biasa saja. Untuk ukuran bintang 3 dan Hotel lama, kebersihan cukup, kamar juga cukup. Mohon lebih ditingkatkan. Terima kasih.",Diulas 25 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,29,Sebaiknya mempersiapkan kamar dengan connecting door buat family dengan harga sama,Diulas 26 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,30,Lokasi dan kebersihan cukup terjaga,Diulas 31 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,31,"Badabest lah pokoknya, staf sangat ramah dan helpful. Makanan enak on point.",Diulas 33 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,32,"secara keseluruhan bagus, hanya sarapannya perlu dikoreksi lagi untuk rasanya...cukup puas menginap di hotel santika cirebon.",Diulas 33 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,33,"Pelayanannya oke, kami datang larut malam.
Sarapannya oke, tapi rasanya perlu ditingkatkan.",Diulas 35 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,34,fasilitas gym kurang terawat.,Diulas 36 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,35,"Keren, akan nginep disini terus. Lokasi strategis",Diulas 37 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,36,Ada orang yang membantu membersihkan mobil 😀,Diulas 38 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,37,"Menginap semalam untuk perjalanan singkat. Harga kamarnya memang agak pricey 864 sekian (termasuk pajak) untuk kamar deluxe room king). Butuh hotel yang dekat dengan stasiun, naik goride berangkat 5.26 subuh, 5.31 sudah sampai Stasiun Cirebon Kejaksaan. Hotelnya di dekat pusat kota, seperti mal CSB, Grage, bahkan stasiun. Saya menginap untuk 4 orang dewasa, sofanya bisa dipakai untuk tidur. Bantal 4, dan ada tambahan bantal panjang di lemari. Handuk 2 besar, 2 kecil. Bisa pinjam setrika. Ada kulkas, shower ada 2, air panas bangettt, AC dingin banget, wi-fi-nya per kamar jadi password-nya nama pemesannya. Kamarnya juga luas, bisa untuk meletakkan koper di lantai, dan ada tempat salat jamaah 2-3 orang dewasa. Makanannya, nambah per orang untuk sarapannya cuma Rp100.000 👍🏽 Jangan lupa makan kuitiau siram  Mungkin kapan-kapan bisa nambahin menu khas Cirebon, empal gentong atau nasi jamblang? Overall okeee nginep di Santika Cirebon",Diulas 42 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,38,"Hotel Santika Cirebon terkesan termakan usia, tetapi terjaga kebersihannya. Apabila dapat menjaga kualitas pelayanan-nya maka tamu dapat menikmati staycation-nya.",Diulas 42 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,39,"Staff ramah, nyaman, dekat dengan tempat makanan di daerah Cirebon... Mantap",Diulas 44 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,1,40,"Senang sekali menginap di sini! Sarapannya banyak pilihan lokal dan semuanya super lezat. Tempat tidur dan bantalnya sangat nyaman, kamarnya sangat luas, stafnya sangat ramah dan membantu, dan lokasinya sangat strategis. Pasti akan menginap di sini lagi!",Diulas 44 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,1,"Strategis tempatnya, enak mau ke mana-mana dan dapat view yang bagus.",Diulas 45 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,2,"semua oke, kecuali warna linennya yg tak lagi putih",Diulas 47 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,3,Sangat nyaman dan sangat dekat dengan pusat kota,Diulas 48 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,4,"Saya suka letak hotel strategis, bisa jalan kaki ke Grage Mall, 5 menit ke stasiun kereta",Diulas 49 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,5,"Tidak ada komentar, semuanya baik-baik saja.",Diulas 50 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,6,"Hotel lama, tetapi bersih dan terawat, semua staff baik dan sangat membantu, akses ke hotel menuju tempat wisata dan makanan sangat mudah.",Diulas 51 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,7,"Oke semuanya, pelayanannya juga bagus semua.",Diulas 53 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,8,staf hotel ramah semua dan pelayanannya bagus,Diulas 53 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71859,2,9,"Hotel Santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. Lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",Diulas 53 minggu lalu
