url,page,review_index,teks_ulasan,tanggal
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,1,"Tempat menginap yang sangat direkomendasikan... terutama untuk keluarga... Kerja bagus, Tim Santika 👍",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,2,"Makanan-nya enak loh, tempatnya juga nyaman, bersih.",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,3,Terima kasih Hotel Santika Depok,Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,4,Staff-nya profesional dan ramah dari pertama masuk hotel,Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,5,"Lokasi hotel yang strategis berdampingan dengan mal, enggak akan kesulitan jika lapar, tinggal turun saja.",Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,6,"Cukup bersih kamar-nya, lokasi strategis, FO-nya ramah",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,7,Hotel letaknya strategis dan mudah dijangkau. Berada bersama dengan D'Mall memudahkan berbelanja kebutuhan selama menginap. Layanannya karyawan baik dan ramah. Ruang kamar bersih dan rapi. Terima kasih dan sukses selalu untuk Hotel Santika.,Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,8,"Varian makanan kurang banyak, bosan.",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,9,"Hotelnya bersih, nyaman, tempat tidur empuk",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,10,Semua staf hotel sangat ramah dan pelayanannya sangat baik.,Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,11,Semuanya bagus! Lokasi sempurna.,Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,12,Saya sangat menikmati waktu singkat saya di sini. Terima kasih atas keramahannya!,Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,13,"Menginap di hotel ini sangat nyaman dengan pelayanan yang ramah dan profesional. Fasilitas lengkap, kamar bersih, makanan enak dan lokasi strategis karena dekat dengan mal. Cocok untuk liburan dan kebetulan saya dapat kamar di ujung dengan view yang bagus pagi dan malam harinya.",Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,14,"Pengalaman menginap di Hotel Santika Depok sangat menyenangkan dari awal sampai akhir. Proses check-in berjalan cepat dan mudah, staf di front office sangat ramah serta membantu. Pelayanan yang diberikan terasa hangat sehingga tamu merasa langsung disambut dengan baik sejak datang. Selama menginap, para pegawai hotel juga sangat sopan dan responsif. Jika membutuhkan bantuan, mereka selalu siap membantu dengan senyum dan sikap yang profesional. Hal ini membuat suasana menginap terasa nyaman dan menyenangkan. Salah satu hal yang sangat menyenangkan adalah fasilitas sarapannya. Menu breakfast cukup beragam dan rasanya enak. Yang lebih menyenangkan lagi, anak-anak mendapatkan fasilitas sarapan gratis sehingga sangat membantu bagi tamu yang datang bersama keluarga. Selain itu, hotel juga menyediakan fasilitas parkir gratis yang cukup memudahkan bagi tamu yang membawa kendaraan pribadi. Lokasinya yang strategis di Depok juga menjadi nilai tambah karena dekat dengan berbagai tempat. Secara keseluruhan, Hotel Santika Depok memberikan pengalaman menginap yang nyaman dengan pelayanan yang ramah, fasilitas yang baik, serta suasana yang menyenangkan. Sangat direkomendasikan untuk perjalanan keluarga maupun perjalanan bisnis.",Diulas 9 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,15,Hotel yang nyaman untuk beristirahat bersama keluarga. Staf ramah dan membantu proses check-in dan check-out. Sayang tidak ada kolam renang khusus anak-anak (anak < 5 tahun dan tinggi di bawah 130cm tidak bisa berenang).,Diulas 9 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,16,Hotel terbaik yang direkomendasikan di Depok.,Diulas 11 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,17,"Tiap bulan saya ke sini, kali ini saya dibantu Mba Aliv. Terima kasih FO dan tim. Recommended hotel",Diulas 12 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,18,"Lokasi di pusat kota, selangkah menuju mal, staff ramah",Diulas 13 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,19,"Staff hotel ramah, kamar bersih, makanan enak.",Diulas 14 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,20,"Secara keseluruhan sempurna, lokasi di pusat kota dan mudah diakses, dekat dengan pusat perbelanjaan dan kami akan kembali menginap di sini lagi.",Diulas 14 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,21,"Hotel ini berlokasi strategis dan terintegrasi dengan pusat perbelanjaan. Saya meminta kamar dekat lift, dan pemandangan kota dari lantai 26 sangat menakjubkan. Semua menu enak, terutama puding roti, dan anak-anak di bawah usia 9 tahun dapat menikmati sarapan gratis.",Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,22,"padahal hampir tiap bulan kami menginap disni.
dan kami pun telah menjadi customer setia Santika Group,kami member my value.
baru kali ini merasakan kecewa santika depok.
alabgkah kaget nya saya saat mau chekx out,melihat box tisue cuma selembar pantesan saat mau malam nya saya minta tisue tambahan.
medit bgt sama tisue padahal sekelas santika group loh inih.
semoga ke depan hal ini tidak terjadi kembali.",Diulas 16 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,23,"kami akhirnya jadi extend,nambah hari.
jadinya 3 hari 2 malam menginap santika depok.
saya akhirnya dapat delux yang queen bed karena saya pesen dan beli dihari berikutnya yg  delux queen bed.
proses reservasi extend nya sangat smooth sekali.
trm ksh sekali mba alivia telah kirimkan belboy dan troley untuk membantu kami pindah kamar.
good job mba alivia,mhn kiranya management santika depok bs memberikan apresiasi kepada beliau karena telah menyambut tamu dengan hangat dan baik.
kali ini kami dapat kamar 2707.
seperti biasa makanan2 nya enak.
dikamar delux juga frezer(kulkas) nya juga dingin,ac nya apalagi dingin,nyaman.
many thx santika depok
many thx",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,24,"Kali ini pesan deluxe, namun yang queen bed kehabisan, jadilah kami dapat deluxe yang twin bed di kamar 2717.
Alhamdulillah, many thanks Mbak Alivia dan teman-teman FO juga house keeping-nya ramah-ramah.
Sarapan-nya enak, kali ini cobain western food: salad & potato wedges-nya enak, the best, saya suka.
Many thanks Santika Depok. Many thanks",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,25,Pelayanan resepsionis ramah dan cepat. Kamar bersih dan rapi.,Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,26,"Salah satu pilihan hotel keluarga di Kuningan. Sangat kids friendly, kolam renang dengan air hangat dan juga playground outdoor dan indoor. Kamar luas dan modern, sangat nyaman staycation di sini.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,27,"mantap memang pelayanan nya n enak makanannya.
many thx santika depok.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,28,"Many thanks Santika Depok atas pelayananannya, bulan ini saya sampai menginap beberapa hari di sini, sampai menambah hari karena betah.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,29,"Bisa dikatakan saya jadi tamu langganan Hotel Santika Depok. Mal ada tepat di bawah hotelnya, Dmall. Semua staff FO, security hingga house keeping ramah, makanan enak, lokasi tepat di jantung kota Depok, Margonda.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,30,"Pelayanan ramah dari semua FO, khususnya Mba Stela dan Mba Alivia. Always buat nyaman dan hommy banget vibes-nya.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,31,"trm ksh sekali request untuk saya kasih surprise saya ultah dikabulkan team fo santika depok trm ksh byk khususnya untuk mba stella dan mba alivia.
alhmdlh ga salah saya hampir tiap bln ksni.
Hotel Santika Drpok Recomanded.",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,32,"Enak disini, nyaman, harga terjangkau, sarapan enak dan variatif, mau jajan ke mall tinggal turun ke loby, akses ke pusat kota depok deket kemana mana
Kamar juga bersih kok, nyaman, tv wifi ac dingin, cuma untuk kekedapan suara kamar masih terdengar suara dari luar maupun sebaliknya",Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,33,"Kolam renang diperluas, ditambah perosotan, dan ditambah tempat pelayanan makanan di kolam sehingga tidak perlu ke Restoran Anjani untuk memesan makanan.",Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,34,Ini sih bukan hotel tp apartemen disulap jd hotel,Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,35,"Next mau ke sini lagi, karena dekat dengan mal.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,36,"selama menginap selama 3 hari disantika depok, sangat nyaman, kamar ok, fasilitas ok, kalau lapar banyak makanan yg bisa dibeli disekitar hotel, cuma ketika ada skedul minggu pagi, kita tidak bisa keluar karena ada carfreeday didepan hotel terpaksa sebelum jam 6 pagi harus keluar supaya tidak terjebak maceettt dan transportasi online pun agak susah didapat",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,37,"Staff ramah, makanan enak-enak, tempat nyaman.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,38,"Saya selalu merasa senang menginap di Santika Depok, hotel ini benar-benar memiliki komitmen besar untuk memberikan pelayanan berkualitas.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,39,"para staff sangat ramah. ibu sy menggunakan tongkat, dan ditawarkan pakai kursi roda. juga pelayanan memuaskan.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,40,"Kamarnya bersih, staff-nya ramah.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,2,1,"Nyaman, akses-nya terbatas bagus jadi enggak sembarang orang bisa masuk.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,2,2,Staff hotel baik dan sangat ramah...,Diulas 21 minggu lalu
