url,page,review_index,teks_ulasan,tanggal
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,1,"Overall ok, cuma 1 aja minusnya, saya minta tambahan air mineral, kan katanya free 2 botol lagi per hari dari awal check in sampai besoknya gak diantar, sudah telepon sampai 3x terus bilang ke staf yang antar room service juga.",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,2,"Staycation with my Hubby, keramahan staff saat check-in berkesan karena mereka akhirnya berusaha untuk memenuhi request kamar, ditambah Wi-Fi, lokasi, menu & rasa sarapan cukup oke, bahkan late check out pun dikasih 1 jam pihak hotel Santika. Berkesan, menyenangkan, & God bless for all crew Santika Mega city Hotel yee",Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,3,Sop buntut sama nasi goreng kambing-nya recommended.,Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,4,"Staff hotel ramah, lokasi strategis, fasilitas lengkap, kids friendly 👍",Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,5,"Sangat menyenangkan dan helpful, next will be back",Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,6,Di kamar mandi ada tisu bekas.,Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,7,"Staff semuanya sangat ramah, proses check-in dan check-out juga cepat, se-happy itu menginap di sini, rekomen.",Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,8,"Lokasi sangat strategis, kamar nyaman, karyawan yang ramah, makanan bervariasi dan enak.",Diulas 10 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,9,"Sudah langganan di Santika Hotel, tapi baru kali ini ada yang kurang menurut saya pribadi di area toilet...
Mohon dicek bagian area toilet, terutama di closet.",Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,10,Hotelnya bagus dan bersih. Terima kasih sudah memberikan pelayanan yang terbaik.,Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,11,"Ini adalah pengalaman terburuk yang pernah saya alami. Saat itu sudah larut malam dan sangat melelahkan, dan menuju ke sana sangat merepotkan. Lokasi di dalam Mega City Bekasi tertata dengan buruk, tanpa rambu yang jelas untuk pengguna sepeda motor. Petugas parkir tidak memberikan instruksi yang jelas dan membuat situasi sangat merepotkan. Mereka juga mengajukan terlalu banyak pertanyaan, hampir seperti interogasi, hanya karena saya datang dengan sepeda motor.",Diulas 16 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,12,"Santika selalu the best. (Mega City Bekasi, Kuningan Jabar, Bandung, Jakarta, Surabaya).",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,13,"Ramah anak, dekat mal, bagus, semoga lebih banyak promo",Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,14,seru dan menyenangkan untuk anak2,Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,15,"makanannya enak, kamar nyaman. Kolam renang oke lah",Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,16,Keren👍 semoga bisa ke sini lagi.... Dan bisa bawa keluarga yang lain.,Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,17,"kondisi hotel terlihat ramai pengunjung. baru bisa check in kamar jam 14.30an itupun setelah ditanyakan terus. bau kamar agak kurang enak saat masuk. 
makanannya cukup variatif dan rasanya enak",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,18,"Secara umum fasilitas dan pelayanan yang saya dapatkan baik sesuai dengan informasi yang disampaikan.
Sedikit kekurangan, saat menggunakan shower air tidak segera mengalir akibatnya lantai jadi tergenang.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,19,"Overall bagus dan enggak mengecewakan. Hotelnya dekat mal, jadi enggak sulit kalau mau cari makan.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,20,"staff nya ramah , security ny jg helpfull .. kamar nya luas n bersih hanya saja dapet kamar yg ac nya bocor n ga dingin. sarapannya enak , banyak variasi nyA",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,21,"Lokasi strategis, tapi serasa menginap di dalam pasar. Untuk menuju hotel agak sulit karena di lantai 5.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010022674,1,22,setiap natal dan tahun baru hotel ini deket sama gereja saya,Diulas 21 minggu lalu
