url,page,review_index,teks_ulasan,tanggal
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,1,"Hotel-nya nyaman, fasilitas-nya oke, lokasi strategis.",Diulas 2 hari lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,2,Sangat oke dan pelayanan-nya baik,Diulas 1 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,3,"Terima kasih, harapannya menu sarapan bisa lebih bervariasi lagi hehe.",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,4,"Paket komplit di sini, ramah, suasana nyaman, bersih... apalagi coba... ayo ke Santika. Mantap",Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,5,"Lokasi strategis, di tengah kota. Ada kolam renang juga buat anak-anak, nyaman buat keluarga.",Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,6,"Saya menginap di Hotel Santika Tasikmalaya dan secara keseluruhan sangat puas dengan pengalaman yang saya dapatkan. Proses check-in berjalan cepat dan staf hotel sangat ramah serta membantu, membuat suasana terasa nyaman sejak awal kedatangan. Kamar yang saya tempati bersih, rapi, dan cukup nyaman untuk beristirahat. Fasilitas yang disediakan juga lengkap dan berfungsi dengan baik, sehingga menunjang kenyamanan selama menginap. Salah satu hal yang paling saya nikmati adalah sarapannya. Pilihan menu cukup beragam, mulai dari makanan tradisional hingga menu modern, dengan rasa yang enak dan kualitas yang terjaga. Area restoran juga bersih dan nyaman, cocok untuk memulai hari dengan suasana yang menyenangkan.",Diulas 3 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,7,"Sarapannya enak, menunya lebih beragam.",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,8,"Stafnya ramah dan membantu, lokasinya strategis di pusat kota dengan banyak aktivitas di sekitarnya. Makanannya enak.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,9,"Hotel ini strategis banget lokasinya, beneran di pusat kota. Kalau hobi blusukan, boleh banget pilih nginep di sini. Untuk kebersihan dan kenyamanan sudah standar Santika. Memang bukan gedung baru, tapi bersih dan asri. Sarapan variatif dan yang paling penting harganya kompetitif banget.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,10,"Staff hotel ramah pisan, baik-baik.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,11,"Memang sangat cocok untuk waktu libur singkat keluarga, karena sekitar hotel sudah banyak tempat-tempat untuk makan dan tidak sukar dicapai, apalagi waktu weekend, makanan di hotel juga tersedia sangat baik dan bersih, sesuai selera dan ciri khas makanan Sunda dan lainnya, semua petugasnya sangat ramah dan gercep dalam pelayanan. Sukses terus Santika, tidak rugi menjadi member Santika.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,12,"Staff-nya ramah banget dari mulai saya turun di lobi, security, staff check-in, di pool dapat upgrade ke kamar Executive free. Terima kasih, recommend jajan dekat, kuliner dekat pusat kota banget 🙏🏻😍",Diulas 6 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,13,"Hotelnya nyaman, dekat pusat kota pula, banyak kuliner di sekitar hotel.",Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,14,"Cocok untuk staycation bersama keluarga atau pasangan, cocok juga untuk bisnis trip dan lokasinya dekat pusat kota.",Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,15,"1000/10👌🏻 Staff super ramah, kamar luas bersih, nyaman, harga affordable, breakfast banyak pilihan dan rasanya enak-enak.",Diulas 9 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,16,"Sudah beberapa kali menginap di sini, tempatnya nyaman, dekat dengan pusat kota Tasikmalaya",Diulas 10 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,17,"Hotel nyaman dan staff-nya pun ramah dan sigap, cuma agak disayangkan kebetulan menginap pas Ramadan sore-sore lagi berenang malah crowded sama orang-orang yang bukber dan foto-foto di area kolam jadi enggak nyaman sama sekali sampai-sampai anak-anak minta udahan aja karena berisik dan ramai banget.",Diulas 10 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,18,"Sudah beberapa kali menginap di hotel ini, compare dengan beberapa hotel di Tasik. Untuk breakfast di sini paling enak.",Diulas 11 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,19,Para staf siap membantu dan memberikan pelayanan yang baik.,Diulas 14 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,20,Selalu menginap di sini saat pergi ke danau.,Diulas 16 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,21,"Puas dan berkesan dengan keramahan all staff dari awal sampai akhir, no doubt.",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,22,"Pelayanan-nya ramah polllll, jempol dehhh, bagus banget staff-nya",Diulas 17 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,23,staff hotel sangat ramah dan membantu saat proses check in,Diulas 18 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,24,Santika selalu menjadi pilihan terbaik...,Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,25,"Hotel yang sangat bagus, terawat dengan baik.",Diulas 19 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,26,senang sekali menginap disini,Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,27,hotelnya bagus pelayanan ramah,Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,28,"Hotel nyaman, bersih, kamar juga bersih, dapat view kolam renang. Staff-nya juga ramah-ramah.",Diulas 20 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,29,"Enak dan nyaman, tengah kota. Hotelnya nyaman bangettt, dekat dengan tempat makan",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,30,Kamarnya luas dan kolam renangnya bagus.,Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,31,Semua staf sigap membantu dan kamarnya bersih.,Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,32,"Pelayanannya sangat ramah, kamar pun bersih dan luas",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,33,Pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi,Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,34,"Lokasi yang strategis, fasilitas yang mumpuni, kolam renang merupakan pusat kegiatan anak-anak dan ukurannya cukup luas.",Diulas 21 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,35,"nyaman dan membuat Anda merasa seperti di rumah
jika saya pergi ke danau lagi, saya akan menginap di sini",Diulas 22 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,36,"Hotel cukup nyaman, hanya saya tidak dapat mini kulkas di kamar. Sarapan enak & banyak pilihan",Diulas 23 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,37,Hotel favorit saya di Tasikmalaya,Diulas 27 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,38,semua fasilitas mantulll pelayanan ramah,Diulas 28 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,39,"Keramahan staff, Fasilitas kamar dan hotel memberi kenyaman selama menginap. Recommend 👍👍👍
Cm variasi makanan semoga bisa lebih ditingkatkan ya. Sukses slalu 👍👍👍",Diulas 28 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,1,40,"lantai kamar mandi kurang bersih dan
air tidak lancar keluar",Diulas 29 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,1,"Kamarnya bagus, fasilitasnya lengkap, pelayanannya bagus, stafnya ramah dan membantu, makanannya cukup enak.",Diulas 29 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,2,"Hotel yang nyaman, bersih, dan ramah, sudah kedua kalinya menginap di Hotel Santika Tasikmalaya ini dalam rangka melaksanakan tugas kedinasan.",Diulas 30 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,3,stafnya sangat ramah dan di lobi terdapat banyak informasi tentang tempat tujuan wisata.,Diulas 30 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,4,Anak-anakku sangat suka dengan kolam renangnya...,Diulas 31 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,5,Pengalaman menginap yang luar biasa di hotel ini. Manajemen hotel ini sangat baik.,Diulas 34 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,6,Mantap bagus bagus bagus bagus,Diulas 34 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,7,"Pesan untuk ibu dan adik saya, cukup menyenangkan menginap di hotel santika tasikmalaya cuma kmrn check innya antri lumayan lama",Diulas 35 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,8,Hotel Santika di mana pun selalu bersih dan pelayanan-nya cepat. Kami suka dengan pelayananannya. Semoga dapat terus dipertahankan.,Diulas 36 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,9,"kami menginap 2 malam sangat terkesan, suasana hotel, outdoor dll.
kalau boleh request fasilitas bantal yg lbh empuk lg biar tdrnya lelap.",Diulas 37 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,10,"Staff hotel sangat ramah dan membantu saat proses check in, kamar bersih, handuk wangi, menu sarapan enak",Diulas 37 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,11,cukup bagus ... kamar mandinya kalo bs rapihin,Diulas 37 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,12,"Good.. Mau liburan, mau kerja, mau cari lokasi dekat makanan, tempat ibadah.. Pokoknya semua mudah dan dekat.",Diulas 37 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,13,"Senang menginap di sini, lain waktu kembali lagi.",Diulas 38 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,14,"Hotel yang sangat nyaman, kamar-nya cukup luas dan bersih, breakfast-nya cukup beragam, di area luar hotel banyak cafe dan dekat dengan food street.",Diulas 40 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,15,"Kamar bersih, makanan enak, staff yang ramah",Diulas 40 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,16,Bisakah Anda mengubah waktu check-in dan check-out jika Anda mengalami kendala?,Diulas 41 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,17,"Staff hotel ramah dan pelayanan baik, kamar bersih.",Diulas 41 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,18,"sangat senang menginap di Hotel ini, terima kasih Hotel Santika.. saya akan segera kembali",Diulas 41 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/295653,2,19,"hotelnya bersih, pelayanannya juga ramah.. yang agak kurang menurut saya makanannya.. padahal pilih santika karena mau coba sarapannya..",Diulas 41 minggu lalu
