ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,text_model,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan
1,Agoda,Hotel Santika Bandung,5/17/2026,"saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.","saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.",none,positif,positif,none,none,none,positif
3,Agoda,Hotel Santika Bandung,5/5/2026,"lokasinya strategis di pusat kota. makanan saat sarapan enak dan beragam. namun air conditioner di kamar agak lambat, mungkin sudah tua. perlu diperbaharui. secara keseluruhan saya senang tinggal di sini.","lokasinya strategis di pusat kota. makanan saat sarapan enak dan beragam. namun air conditioner di kamar agak lambat, mungkin sudah tua. perlu diperbaharui. secara keseluruhan saya senang tinggal di sini.",negatif,none,none,none,positif,none,positif
7,Agoda,Hotel Santika Bandung,3/24/2026,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,positif,negatif,positif,none,none,none,none
10,Agoda,Hotel Santika Bandung,3/2/2026,"lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.","lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.",none,none,none,none,positif,none,none
11,Agoda,Hotel Santika Bandung,2/21/2026,"hotel klasik, tenang, estetis, dan layanan pelanggan yang luar biasa.","hotel klasik, tenang, estetis, dan layanan pelanggan yang luar biasa.",positif,none,positif,none,none,none,none
12,Agoda,Hotel Santika Bandung,2/17/2026,"datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. terimakasih santika.","datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. terimakasih santika.",none,none,positif,none,none,none,none
13,Agoda,Hotel Santika Bandung,2/4/2026,lokasi bagus dan tempat menginap yang bagus di bandung,lokasi bagus dan tempat menginap yang bagus di bandung,none,none,none,none,positif,none,none
14,Agoda,Hotel Santika Bandung,1/29/2026,masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. staf dan layanan yang ramah dan baik. lokasi strategis.,masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. staf dan layanan yang ramah dan baik. lokasi strategis.,none,none,positif,none,positif,none,none
15,Agoda,Hotel Santika Bandung,1/26/2026,saya suka santika bandung. kenangan indah bersama keluarga tercinta. saya pernah ke sana bersama mendiang papa mama tercinta.,saya suka santika bandung. kenangan indah bersama keluarga tercinta. saya pernah ke sana bersama mendiang papa mama tercinta.,none,none,none,none,none,none,none
18,Agoda,Hotel Santika Bandung,12/20/2025,hebat: dekat tempat dan resto populer di kota bandung,hebat: dekat tempat dan resto populer di kota bandung,none,none,none,none,positif,none,none
19,Agoda,Hotel Santika Bandung,12/15/2025,lokasi bijaksana adalah sarapan terbaik dan lezat,lokasi bijaksana adalah sarapan terbaik dan lezat,none,none,none,none,none,none,positif
20,Agoda,Hotel Santika Bandung,12/10/2025,"pengalaman menginap yang menyenangkan, dengan fasilitas hotel yang memadai, lokasi strategis di pusat kota, dan harga terjangkau.","pengalaman menginap yang menyenangkan, dengan fasilitas hotel yang memadai, lokasi strategis di pusat kota, dan harga terjangkau.",none,none,none,positif,positif,positif,none
21,Agoda,Hotel Santika Bandung,11/29/2025,"hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.","hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.",none,none,positif,positif,positif,none,none
24,Agoda,Hotel Santika Bandung,11/6/2025,"overall hotel ini recomended, mulai dari pelayanan, makanan, dan lokasinya, kalau harganya relatif pas. satu hal yang selalu saya sukai dari menginap di santika adalah variasi makanan yang tersedia, baik tradisional maupun western, serta rasanya yang menggugah selera.","overall hotel ini recomended, mulai dari pelayanan, makanan, dan lokasinya, kalau harganya relatif pas. satu hal yang selalu saya sukai dari menginap di santika adalah variasi makanan yang tersedia, baik tradisional maupun western, serta rasanya yang menggugah selera.",none,none,positif,positif,positif,none,positif
25,Agoda,Hotel Santika Bandung,11/5/2025,"nyaman, dimana-mana bersih. toiletnya berbau harum. saran: cat ulang pintu kamar mandi agar terlihat lebih segar.","nyaman, dimana-mana bersih. toiletnya berbau harum. saran: cat ulang pintu kamar mandi agar terlihat lebih segar.",negatif,positif,none,none,none,none,none
26,Agoda,Hotel Santika Bandung,11/2/2025,sejauh ini bagus untuk menginap,sejauh ini bagus untuk menginap,none,none,none,none,none,none,none
