name,model_name,lr,batch_size,max_epochs,max_len,warmup_ratio,weight_decay,dropout,scheduler,optimizer,label_smoothing,freeze_layers,class_weight,seed,epochs_ran,val_macro_f1
c4_p1_cw_ls,indobenchmark/indobert-base-p1,3e-05,16,10,128,0.1,0.01,0.2,linear,adamw,0.1,0,True,,10,0.7366142209314865
c8_lem_cw,indolem/indobert-base-uncased,3e-05,16,10,128,0.1,0.01,0.2,cosine,adamw,0.1,0,True,,10,0.7209318626105773
c2_p1_lr3,indobenchmark/indobert-base-p1,3e-05,16,8,128,0.1,0.01,0.1,linear,adamw,0.0,0,False,,8,0.7207141897421397
c10_p1_adafactor,indobenchmark/indobert-base-p1,3e-05,16,8,128,0.1,0.0,0.1,linear,adafactor,0.0,0,False,,8,0.7157896940090749
c3_p1_bs32_cos,indobenchmark/indobert-base-p1,3e-05,32,10,128,0.06,0.01,0.1,cosine,adamw,0.0,0,False,,10,0.7154857479321173
c1_p1_base,indobenchmark/indobert-base-p1,2e-05,16,8,128,0.1,0.01,0.1,linear,adamw,0.0,0,False,,8,0.711225534934863
c5_p1_bs8_lr1,indobenchmark/indobert-base-p1,1e-05,8,8,160,0.1,0.1,0.1,cosine,adamw,0.0,0,False,,8,0.6999138098151317
c6_p1_freeze6,indobenchmark/indobert-base-p1,5e-05,32,10,128,0.1,0.01,0.1,linear,adamw,0.0,6,False,,10,0.6984553379522495
c7_lem_base,indolem/indobert-base-uncased,3e-05,16,8,128,0.1,0.01,0.1,linear,adamw,0.0,0,False,,7,0.6957987365519325
c9_lite_fast,indobenchmark/indobert-lite-base-p1,3e-05,32,10,128,0.1,0.01,0.1,linear,adamw,0.0,0,False,,10,0.6737612742087579
