No.,text_review,Aspek,Label INDOBERT,Label Claude Sonnet 4.6,Label Validasi narasumber
1,terima kasih to hotel santika bandung,Kenyamanan,-,-,-
2,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,Kenyamanan,positif,positif,positif
3,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",Kenyamanan,positif,positif,netral
4,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,Kenyamanan,-,-,netral
5,limayan dengan harga segitu. baik kok,Kenyamanan,-,-,-
6,bersih dan baik aja buat tinggal,Kebersihan,positif,positif,positif
7,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",Kenyamanan,-,-,negatif
8,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,Kenyamanan,-,-,netral
9,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",Lokasi,positif,positif,negatif
10,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!",Kenyamanan,-,-,netral
11,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,Kenyamanan,-,-,positif
12,harga kompetitif di bekasi,Kenyamanan,-,-,-
13,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,Kebersihan,-,-,positif
14,"hotel nya bersih, lokasi top diatas mall.",Kebersihan,-,-,positif
15,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.",Kenyamanan,-,-,negatif
16,bersenang-senang menginap di sini,Kenyamanan,negatif,negatif,-
17,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,Kenyamanan,-,negatif,-
18,bagus dekat dengan mall,Lokasi,netral,netral,positif
19,"service memuaskan, masakan enak, staf ramah dan baik",Pelayanan,positif,positif,positif
20,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",Kenyamanan,positif,positif,positif
