No,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber
1,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,Kenyamanan,Positif,Positif,Negatif
2,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",Pelayanan,Positif,Positif,Negatif
3,bersih dan baik aja buat tinggal,Kebersihan,Positif,Positif,Negatif
4,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,Pelayanan,Positif,Positif,Negatif
5,"service memuaskan, masakan enak, staf ramah dan baik",Pelayanan,Positif,Positif,Negatif
6,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",Kenyamanan,Positif,Positif,Negatif
7,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,Makanan,Netral,Netral,Positif
8,"kami tinggal di sini dua malam. taksi sulit menemukan pintu masuk hotel. lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya. tata letak ruangannya aneh. air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. air conditioner bermasalah dan bocor. sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. kamar mandinya tidak sebersih yang kami inginkan, tapi baik. sarapannya enak dengan makanan lokal yang sangat kami nikmati",Kenyamanan,Netral,Netral,Positif
9,"lokasi dan layanan staf keduanya bagus. tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya. meski kecil, kecoa juga muncul.",Kenyamanan,Negatif,Negatif,Positif
10,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",Pelayanan,Positif,Positif,Negatif
11,"hotel yang bagus dengan kolam renang, makanan lezat",Makanan,Positif,Positif,Positif
12,staf nya baik semua. tambhin menu nya biar lebih byk pilihan. 2 malam disini. menyenangkan. cuma sapet kamar ujung. kalau malem seremm ajahh. krna lorkng kamar nya open space. bukan sprti hotel2 saat ini. old nya dapet. nyaman. anak2 suka kolam nya. kr a tidak langsung kena sina mataharilihat lebih sedikit,Kenyamanan,Positif,Positif,Positif
13,"tempat dekat rs dan riau juction. pelayanan ramah dan bersahabat. kebersihan baik hotel terjangkau, pilihan terbaik.",Lokasi,Positif,Positif,Positif
