No.,ID_Review,Text_Review,IndoBERT_Kenyamanan,IndoBERT_Kebersihan,IndoBERT_Pelayanan,IndoBERT_Harga,IndoBERT_Lokasi,IndoBERT_Fasilitas,IndoBERT_Makanan,Claude_Kenyamanan,Claude_Kebersihan,Claude_Pelayanan,Claude_Harga,Claude_Lokasi,Claude_Fasilitas,Claude_Makanan,Expert_Kenyamanan,Expert_Kebersihan,Expert_Pelayanan,Expert_Harga,Expert_Lokasi,Expert_Fasilitas,Expert_Makanan
1,170,terima kasih to hotel santika bandung,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,352,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,positif,positif,-,-,-,positif,-,positif,positif,-,-,-,positif,-,positif,netral,-,-,positif,positif,-
3,380,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",positif,netral,positif,-,-,-,-,positif,netral,positif,-,-,-,-,netral,negatif,positif,-,-,-,-
4,412,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,-,-,positif,-,positif,negatif,-,-,-,positif,-,positif,negatif,-,netral,-,netral,-,-,-,-
5,477,limayan dengan harga segitu. baik kok,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,-,-
6,488,bersih dan baik aja buat tinggal,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-
7,543,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",-,-,-,-,-,-,-,-,-,-,-,-,-,-,negatif,-,-,-,-,-,-
8,863,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,-,-,-,-,netral,-,-,-,-,-,-,netral,-,-,netral,-,-,-,negatif,-,-
9,885,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",-,-,-,-,positif,negatif,-,-,-,-,-,positif,negatif,-,-,-,-,-,negatif,-,positif
10,1007,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!",-,-,positif,-,negatif,-,-,-,-,positif,-,negatif,-,-,netral,-,negatif,negatif,netral,negatif,netral
11,1011,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,-,-,negatif,negatif,-,negatif,-,-,-,netral,negatif,-,negatif,netral,positif,-,positif,positif,-,-,-
12,1036,harga kompetitif di bekasi,-,-,positif,-,positif,-,netral,-,-,positif,-,positif,-,netral,-,-,-,-,-,-,-
13,1108,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,positif,positif,-,-,-,-
14,1140,"hotel nya bersih, lokasi top diatas mall.",-,-,positif,-,-,-,netral,-,-,positif,-,-,-,netral,-,positif,-,-,-,-,-
15,1347,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,negatif,-,-,-,-,netral,-
16,1374,bersenang-senang menginap di sini,negatif,-,positif,positif,-,positif,positif,negatif,-,positif,positif,-,positif,positif,-,-,-,-,-,-,-
17,1656,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,-,-,-,-,positif,negatif,-,negatif,-,-,-,positif,negatif,-,-,-,-,-,-,-,-
18,1721,bagus dekat dengan mall,-,-,positif,-,netral,netral,positif,-,-,positif,-,netral,netral,positif,-,-,-,-,positif,-,-
19,1731,"service memuaskan, masakan enak, staf ramah dan baik",-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,positif
20,1744,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",positif,-,-,positif,-,positif,-,positif,-,-,positif,-,positif,-,positif,-,-,positif,positif,-,-
21,1804,variasi untuk makanan pagi nya sedikit,positif,-,positif,positif,-,-,positif,positif,-,positif,positif,-,-,positif,-,-,-,-,-,-,negatif
22,1890,sangat menyenangkan dan akan kembali lagi untuk liburan thn depan,-,-,-,-,positif,positif,positif,-,-,-,-,positif,netral,positif,-,-,-,-,-,-,-
23,1936,"kami menginap sayangnya hanya satu hari. anak2 senang bermain di kolam renang, dan jalan2 di mall malam hari",-,-,-,-,-,-,netral,-,-,-,-,-,-,netral,-,-,-,-,-,-,-
24,2010,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.",netral,-,-,-,-,positif,netral,netral,-,-,-,-,positif,netral,positif,positif,-,-,positif,-,positif
25,2089,"saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam. kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai. salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus. menu sahurnya cukup lengkap dan enak. stafnya ramah, dan proses check-in dan check-out cepat dan efisien. secara keseluruhan, menginap di hotel ini adalah pengalaman yang sangat menyenangkan.",-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,positif,positif,-,positif,netral,positif,positif
