No,ID_Review,Platform,Hotel,Tanggal,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber,_score
1,170,Agoda,Bandung,2023-03-23,terima kasih to hotel santika bandung,Kenyamanan,Tidak ada,Tidak ada,Tidak ada,-1
2,352,Agoda,Bandung,2013-07-22,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,Kenyamanan,Positif,Positif,Positif,3
3,380,Agoda,Bandung,2012-10-27,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",Pelayanan,Positif,Positif,Positif,3
4,412,Agoda,Bandung,2010-10-04,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,Lokasi,Positif,Positif,Tidak ada,1
5,477,Agoda,Bandung,2024-04-23,limayan dengan harga segitu. baik kok,Harga,Positif,Positif,Tidak ada,1
6,488,Agoda,Bandung,2024-01-03,bersih dan baik aja buat tinggal,Kebersihan,Positif,Positif,Positif,3
7,543,Agoda,Bandung,2017-07-10,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",Kenyamanan,Tidak ada,Tidak ada,Negatif,0
8,863,Agoda,Megacity Bekasi,2023-04-18,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,Kenyamanan,Tidak ada,Tidak ada,Netral,0
9,885,Agoda,Megacity Bekasi,2025-04-07,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",Fasilitas,Negatif,Negatif,Tidak ada,1
10,1007,Agoda,Megacity Bekasi,2019-09-22,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!",Kenyamanan,Tidak ada,Tidak ada,Netral,0
11,1011,Agoda,Megacity Bekasi,,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,Fasilitas,Negatif,Negatif,Tidak ada,1
12,1036,Agoda,Megacity Bekasi,,harga kompetitif di bekasi,Pelayanan,Positif,Positif,Tidak ada,1
13,1108,Agoda,Bogor,2026-05-04,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,Pelayanan,Positif,Positif,Positif,3
14,1140,Agoda,Bogor,2025-06-06,"hotel nya bersih, lokasi top diatas mall.",Pelayanan,Positif,Positif,Tidak ada,1
15,1347,Agoda,Bogor,2018-04-16,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.",Lokasi,Positif,Positif,Tidak ada,1
16,1374,Agoda,Bogor,2015-11-24,bersenang-senang menginap di sini,Kenyamanan,Negatif,Negatif,Tidak ada,1
17,1656,Agoda,Bogor,2025-08-25,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,Lokasi,Positif,Positif,Tidak ada,1
18,1721,Agoda,Bogor,2024-07-20,bagus dekat dengan mall,Pelayanan,Positif,Positif,Tidak ada,1
19,1731,Agoda,Bogor,2024-04-16,"service memuaskan, masakan enak, staf ramah dan baik",Pelayanan,Positif,Positif,Positif,3
20,1744,Agoda,Bogor,2024-02-26,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",Kenyamanan,Positif,Positif,Positif,3
21,1804,Agoda,Bogor,2022-01-08,variasi untuk makanan pagi nya sedikit,Kenyamanan,Positif,Positif,Tidak ada,1
22,1890,Agoda,Bogor,2015-07-22,sangat menyenangkan dan akan kembali lagi untuk liburan thn depan,Lokasi,Positif,Positif,Tidak ada,1
23,1936,Agoda,Bogor,2013-10-27,"kami menginap sayangnya hanya satu hari. anak2 senang bermain di kolam renang, dan jalan2 di mall malam hari",Makanan,Netral,Netral,Tidak ada,1
24,2010,Agoda,Bogor,2012-02-04,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.",Fasilitas,Positif,Positif,Tidak ada,1
25,2089,Agoda,Cirebon,2025-03-03,"saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam. kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai. salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus. menu sahurnya cukup lengkap dan enak. stafnya ramah, dan proses check-in dan check-out cepat dan efisien. secara keseluruhan, menginap di hotel ini adalah pengalaman yang sangat menyenangkan.",Harga,Positif,Positif,Positif,3
26,2237,Agoda,Cirebon,2020-06-07,"kamar yang nyaman bersih. namun furniturnya agak kumuh, diperlukan peningkatan / perbaikan. secara keseluruhan, kami menikmati masa menginap kami. direkomendasikan.",Pelayanan,Netral,Netral,Tidak ada,1
27,2361,Agoda,Cirebon,2013-01-02,tidak ada yang kurang dari luar biasa. saya datang ke tempat ini bersama istri dan bayi saya yang berumur 4 bulan. saya singgah di cirebon selama perjalanan ke semarang. saya mendapatkan istirahat yang sangat baik di cirebon dan saya sangat puas dengan pilihan saya menginap di hotel santika cirebon.,Kenyamanan,Positif,Positif,Tidak ada,1
28,2677,Agoda,Cirebon,2013-02-12,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,Makanan,Netral,Netral,Netral,3
