No,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber
1,terima kasih to hotel santika bandung,Kenyamanan,Tidak ada,Tidak ada,Tidak ada
2,hotel ini relatif tenang meskipun terletak dekat jalan utama. walaupun sudah tua tapi sudah diperbaharui sehingga kamarnya bersih. spa bagus untuk perawatan pijat.,Kenyamanan,Positif,Positif,Positif
3,"nikmati masa menginap dengan staf yang membantu. telah ditingkatkan ke kamar suite. kondisi toilet perlu dilakukan renovasi karena sudah tua. secara keseluruhan, kamar hotel yang bagus dengan staf yang membantu dan ramah.",Pelayanan,Positif,Positif,Positif
4,seperti pada review saya di atas hotel yang bagus dan menyenangkan dengan staf yang sangat membantu tetapi kurang fasilitas hotel bintang empat. paling nyaman bagi mereka yang suka berbelanja di factory outlet jalan riau karena jaraknya dapat dicapai dengan berjalan kaki. ada juga pusat perbelanjaan dan supermarket di seberang jalan.,Lokasi,Positif,Positif,Tidak ada
5,limayan dengan harga segitu. baik kok,Harga,Positif,Positif,Tidak ada
6,bersih dan baik aja buat tinggal,Kebersihan,Positif,Positif,Positif
7,"ini adalah hotel favorite di bandung yang pertama kali dicari, bila tidak tersedia baru setelah itu cari yang lain",Kenyamanan,Tidak ada,Tidak ada,Negatif
8,pendingin di kamar tidak beraza sama skali. dari malem ks pagi keringetan pdahal sudah di setting seminimal mungkin.,Kenyamanan,Tidak ada,Tidak ada,Netral
9,"untuk hotel dan restonya cukup memuaskan, hanya untuk akses keluar masuk wisatawan yang tidak membawa kendaraan harus dilerhatikan juga, karena akses keluarnya hanya lewat mall dan tidak bisa diakses dimalam hari",Fasilitas,Negatif,Negatif,Tidak ada
10,"lokasi strategis krena dekat dengan mall, sya dpat kamar yang agk mengecewakan. rak handuk d kamar mndinya rusak, bnyak yang kropos d dindingnya, staf d resto ada yang kurang ramah. makanannya kurang variatif, selebihnya baik!",Kenyamanan,Tidak ada,Tidak ada,Netral
11,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,Fasilitas,Negatif,Negatif,Tidak ada
12,harga kompetitif di bekasi,Pelayanan,Positif,Positif,Tidak ada
