ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan,split
1,Agoda,Hotel Santika Bandung,5/17/2026,"saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.",none,positif,positif,none,none,none,positif,,mereka menjaga kebersihan yang baik,keramahtamahan yang baik dari staf,,,,makanan sarapan yang enak,train
2,Agoda,Hotel Santika Bandung,5/11/2026,"bisa jalan kaki langsung ke bip, karena lokasinya strategis 9/10. sarapannya 7/10. kamarnya sangat luas dan nyaman 8/10. sayangnya parkirnya relatif kecil 6/10.",positif,none,none,none,positif,negatif,positif,kamarnya sangat luas dan nyaman,,,,lokasinya strategis,parkirnya relatif kecil,sarapannya 7/10,train
3,Agoda,Hotel Santika Bandung,5/5/2026,"lokasinya strategis di pusat kota. makanan saat sarapan enak dan beragam. namun air conditioner di kamar agak lambat, mungkin sudah tua. perlu diperbaharui. secara keseluruhan saya senang tinggal di sini.",negatif,none,none,none,positif,none,positif,air conditioner di kamar agak lambat mungkin sudah tua,,,,lokasinya strategis di pusat kota,,makanan saat sarapan enak dan beragam,validation
4,Agoda,Hotel Santika Bandung,3/31/2026,"hotel ini agak ketinggalan jaman. stafnya ramah. hotel ini terletak di pusat kota, dekat dengan mall dan tempat wisata lainnya, dengan banyak toko dan kafe/restoran yang bagus di dekat hotel.",negatif,none,positif,none,positif,none,none,hotel ini agak ketinggalan jaman,,stafnya ramah,,terletak di pusat kota dekat dengan mall dan tempat wisata lainnya,,,validation
5,Agoda,Hotel Santika Bandung,3/26/2026,"pengalaman menginap yang sangat berkesan, proses check-in lancar, dan saya mendapatkan kamar sesuai permintaan saya saat memesan. terima kasih hotel santika riau bandung telah memenuhi permintaan saya.",none,none,positif,none,none,none,none,,,proses check-in lancar dan saya mendapatkan kamar sesuai permintaan,,,,,train
6,Agoda,Hotel Santika Bandung,3/25/2026,"berlokasi strategis di jantung kota bandung, dekat dengan destinasi belanja dan bersantap; nyaman dan ramah keluarga",positif,none,none,none,positif,none,none,destinasi belanja dan bersantap; nyaman dan ramah keluarga,,,,berlokasi strategis di jantung kota bandung dekat dengan destinasi belanja,,,test
7,Agoda,Hotel Santika Bandung,3/24/2026,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,positif,negatif,positif,none,none,none,none,suasana kamar bersih dan menyenangkan.,ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar,staf yang sangat ramah,,,,,train
8,Agoda,Hotel Santika Bandung,3/20/2026,"trims kemaren dapat kasur per lebih kokoh tidak tidur miring lagi, atau mungkin beda kamar? breakfast enak tidak keasinan atau over bumbu, ada mesin kopi buat espreso juga, semua staf ramah, harga kmren dapat wajar, sedikit masukan tolong chanel televisi diperbanyak atau bisa netflik/youtube, jendela tolong dirapatkan baut kendor suara jalan terlalu masuk",negatif,none,positif,positif,none,negatif,positif,jendela tolong dirapatkan baut kendor suara jalan terlalu masuk,,semua staf ramah,harga kmren dapat wajar,,chanel televisi diperbanyak atau bisa netflik/youtube,breakfast enak tidak keasinan atau over bumbu,validation
9,Agoda,Hotel Santika Bandung,3/17/2026,"dari luar mungkin terlihat tua, namun kamarnya sangat bersih dan nyaman. lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki, karena lalu lintas bandung dikelilingi oleh supermarket, kafe, foodcourt dan toko. aku menyukainya",positif,positif,none,none,positif,none,none,kamarnya sangat bersih dan nyaman,kamarnya sangat bersih,,,lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki,,,train
10,Agoda,Hotel Santika Bandung,3/2/2026,"lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.",none,none,none,none,positif,none,none,,,,,lokasinya berada di antara bip dan yogya riau junction. strategis banget,,,train
