ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan
1,Agoda,Hotel Santika Bandung,5/17/2026,"saya selalu menginap di santika bila di bandung. banyak kenangan indah bersama santika bersama keluarga tercinta di masa lalu. mereka menjaga kebersihan yang baik, keramahtamahan yang baik dari staf, makanan sarapan yang enak. santika masih menjadi pilihan terbaik saya di bandung apapun ada hotel baru di bandung. semoga santika terus maju.",none,positif,positif,none,none,none,positif,,mereka menjaga kebersihan yang baik,keramahtamahan yang baik dari staf,,,,makanan sarapan yang enak
2,Agoda,Hotel Santika Bandung,5/11/2026,"bisa jalan kaki langsung ke bip, karena lokasinya strategis 9/10. sarapannya 7/10. kamarnya sangat luas dan nyaman 8/10. sayangnya parkirnya relatif kecil 6/10.",positif,none,none,none,positif,negatif,positif,kamarnya sangat luas dan nyaman,,,,lokasinya strategis,parkirnya relatif kecil,sarapannya 7/10
5,Agoda,Hotel Santika Bandung,3/26/2026,"pengalaman menginap yang sangat berkesan, proses check-in lancar, dan saya mendapatkan kamar sesuai permintaan saya saat memesan. terima kasih hotel santika riau bandung telah memenuhi permintaan saya.",none,none,positif,none,none,none,none,,,proses check-in lancar dan saya mendapatkan kamar sesuai permintaan,,,,
7,Agoda,Hotel Santika Bandung,3/24/2026,hotel yang baik dengan staf yang sangat ramah. suasana kamar bersih dan menyenangkan. sedikit masukan. meski hal ini tidak mengganggu tapi baik bila dilakukan sedikit pembersihan diruang semi outdoor dimana ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar beton horisontal yang terlihat bila sdg berjalan dilantai 2 atau 3. tidak mengganggu tapi bila bersih dari bekas burung dan debu akan menyenangkan.,positif,negatif,positif,none,none,none,none,suasana kamar bersih dan menyenangkan.,ada bekas burung burung yang singgah baik dibtembok maupun sisi atas pilar,staf yang sangat ramah,,,,
9,Agoda,Hotel Santika Bandung,3/17/2026,"dari luar mungkin terlihat tua, namun kamarnya sangat bersih dan nyaman. lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki, karena lalu lintas bandung dikelilingi oleh supermarket, kafe, foodcourt dan toko. aku menyukainya",positif,positif,none,none,positif,none,none,kamarnya sangat bersih dan nyaman,kamarnya sangat bersih,,,lokasinya luar biasa. sangat mudah untuk kemana-mana dengan berjalan kaki,,
10,Agoda,Hotel Santika Bandung,3/2/2026,"lokasinya berada di antara bip dan yogya riau junction. strategis banget, tinggal jalan kaki sebentar untuk salat, dan di sebelahnya ada mabes tni.",none,none,none,none,positif,none,none,,,,,lokasinya berada di antara bip dan yogya riau junction. strategis banget,,
12,Agoda,Hotel Santika Bandung,2/17/2026,"datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. terimakasih santika.",none,none,positif,none,none,none,none,,,doorman yang langsung menyambut dan membukakan pintu hotel,,,,
13,Agoda,Hotel Santika Bandung,2/4/2026,lokasi bagus dan tempat menginap yang bagus di bandung,none,none,none,none,positif,none,none,,,,,lokasi bagus,,
14,Agoda,Hotel Santika Bandung,1/29/2026,masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. staf dan layanan yang ramah dan baik. lokasi strategis.,none,none,positif,none,positif,none,none,,,staf dan layanan yang ramah dan baik,,lokasi strategis,,
15,Agoda,Hotel Santika Bandung,1/26/2026,saya suka santika bandung. kenangan indah bersama keluarga tercinta. saya pernah ke sana bersama mendiang papa mama tercinta.,none,none,none,none,none,none,none,,,,,,,
16,Agoda,Hotel Santika Bandung,1/15/2026,"semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tapi staf semua ramah bintang 5",none,none,positif,none,none,none,negatif,,,staf semua ramah bintang 5,,,,makanan perlu di tingkatkan sedikit secara taste
17,Agoda,Hotel Santika Bandung,12/28/2025,"saya tidak tahu apa yang bisa saya katakan, semuanya sempurna",none,none,none,none,none,none,none,,,,,,,
18,Agoda,Hotel Santika Bandung,12/20/2025,hebat: dekat tempat dan resto populer di kota bandung,none,none,none,none,positif,none,none,,,,,dekat tempat dan resto populer di kota bandung,,
19,Agoda,Hotel Santika Bandung,12/15/2025,lokasi bijaksana adalah sarapan terbaik dan lezat,none,none,none,none,none,none,positif,,,,,,,sarapan terbaik dan lezat
21,Agoda,Hotel Santika Bandung,11/29/2025,"hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.",none,none,positif,positif,positif,none,none,,,keramahan yang baik,rate cukup bagus juga harganya,lokasi strategis,,
22,Agoda,Hotel Santika Bandung,11/22/2025,"rekomendasi hotel untuk liburan atau bisnis di bandung, saya selalu menginap di hotel santika karena lokasinya yang strategis, fasilitasnya lengkap, terutama sarapannya yang enak dan bervariasi.",none,none,none,none,positif,positif,positif,,,,,lokasinya yang strategis,fasilitasnya lengkap,sarapannya yang enak dan bervariasi
